DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,29913.53,1,38826.30,BUY
1,9059.38,20854.15,2,38972.91,BUY
2,9231.14,11623.01,3,39316.43,BUY
3,9334.13,2288.88,4,39625.40,BUY
4,9185.18,2288.88,4,39029.60,HOLD
5,9505.68,2288.88,4,40311.60,HOLD
6,9650.02,2288.88,4,40888.96,HOLD
7,9542.33,2288.88,4,40458.20,HOLD
8,8264.16,2288.88,4,35345.52,HOLD
9,8375.13,2288.88,4,35789.40,HOLD
10,7219.09,2288.88,4,31165.24,HOLD
11,6854.67,2288.88,4,29707.56,HOLD
12,7491.14,2288.88,4,32253.44,HOLD
13,7288.11,2288.88,4,31441.32,HOLD
14,8035.95,2288.88,4,34432.68,HOLD
15,8553.38,2288.88,4,36502.40,HOLD
16,8697.37,2288.88,4,37078.36,HOLD
17,8537.83,2288.88,4,36440.20,HOLD
18,9053.17,2288.88,4,38501.56,HOLD
19,9154.35,2288.88,4,38906.28,HOLD
20,9333.16,11622.04,3,39621.52,SELL
21,9472.08,2149.96,4,40038.28,BUY
22,9863.27,2149.96,4,41603.04,HOLD
23,9748.38,2149.96,4,41143.48,HOLD
24,10112.44,2149.96,4,42599.72,HOLD
25,9863.67,2149.96,4,41604.64,HOLD
26,10350.96,2149.96,4,43553.80,HOLD
27,10420.54,2149.96,4,43832.12,HOLD
28,10627.45,2149.96,4,44659.76,HOLD
29,10464.00,2149.96,4,44005.96,HOLD
30,10943.72,2149.96,4,45924.84,HOLD
31,10877.16,2149.96,4,45658.60,HOLD
32,11132.10,2149.96,4,46678.36,HOLD
33,11507.46,2149.96,4,48179.80,HOLD
34,11836.18,2149.96,4,49494.68,HOLD
35,10875.02,2149.96,4,45650.04,HOLD
36,10783.81,2149.96,4,45285.20,HOLD
37,10520.22,2149.96,4,44230.84,HOLD
38,11240.53,2149.96,4,47112.08,HOLD
39,11384.33,2149.96,4,47687.28,HOLD
40,11559.10,2149.96,4,48386.36,HOLD
41,11369.29,2149.96,4,47627.12,HOLD
42,11030.19,2149.96,4,46270.72,HOLD
43,11784.15,2149.96,4,49286.56,HOLD
44,11666.37,2149.96,4,48815.44,HOLD
45,11760.98,2149.96,4,49193.88,HOLD
46,12154.57,2149.96,4,50768.24,HOLD
47,12376.44,2149.96,4,51655.72,HOLD
48,12246.77,2149.96,4,51137.04,HOLD
49,12654.60,2149.96,4,52768.36,HOLD
50,12827.44,2149.96,4,53459.72,HOLD
51,12665.65,2149.96,4,52812.56,HOLD
52,12963.92,2149.96,4,54005.64,HOLD
53,13329.77,15479.73,3,55469.04,SELL
54,13192.91,2286.82,4,55058.46,BUY
55,13585.34,2286.82,4,56628.18,HOLD
56,13845.47,2286.82,4,57668.70,HOLD
57,13714.35,2286.82,4,57144.22,HOLD
58,13066.38,2286.82,4,54552.34,HOLD
59,12553.96,2286.82,4,52502.66,HOLD
60,13246.33,2286.82,4,55272.14,HOLD
61,13101.92,2286.82,4,54694.50,HOLD
62,12786.81,2286.82,4,53434.06,HOLD
63,13404.18,2286.82,4,55903.54,HOLD
64,13748.35,2286.82,4,57280.22,HOLD
65,13977.05,2286.82,4,58195.02,HOLD
66,13856.83,2286.82,4,57714.14,HOLD
67,13941.63,2286.82,4,58053.34,HOLD
68,13690.75,2286.82,4,57049.82,HOLD
69,13242.97,2286.82,4,55258.70,HOLD
70,13463.26,2286.82,4,56139.86,HOLD
71,13747.61,2286.82,4,57277.26,HOLD
72,13784.89,2286.82,4,57426.38,HOLD
73,14056.67,2286.82,4,58513.50,HOLD
74,13960.04,2286.82,4,58126.98,HOLD
75,14417.20,2286.82,4,59955.62,HOLD
76,14529.80,2286.82,4,60406.02,HOLD
77,14660.19,2286.82,4,60927.58,HOLD
78,14271.23,2286.82,4,59371.74,HOLD
79,14503.76,2286.82,4,60301.86,HOLD
80,14584.09,2286.82,4,60623.18,HOLD
81,14754.48,2286.82,4,61304.74,HOLD
82,14550.88,2286.82,4,60490.34,HOLD
83,14965.54,2286.82,4,62148.98,HOLD
84,15202.67,2286.82,4,63097.50,HOLD
85,15206.61,2286.82,4,63113.26,HOLD
86,14984.68,2286.82,4,62225.54,HOLD
87,14767.01,2286.82,4,61354.86,HOLD
88,14493.67,2286.82,4,60261.50,HOLD
89,14259.07,2286.82,4,59323.10,HOLD
90,14471.88,2286.82,4,60174.34,HOLD
91,15071.15,2286.82,4,62571.42,HOLD
92,15235.84,2286.82,4,63230.18,HOLD
93,15616.44,2286.82,4,64752.58,HOLD
94,15543.68,2286.82,4,64461.54,HOLD
95,15909.39,2286.82,4,65924.38,HOLD
96,15591.36,2286.82,4,64652.26,HOLD
97,15150.12,2286.82,4,62887.30,HOLD
98,15511.12,2286.82,4,64331.30,HOLD
99,15119.49,2286.82,4,62764.78,HOLD
100,15528.91,17815.73,3,64402.46,SELL
101,15643.93,2171.80,4,64747.52,BUY
102,14877.63,2171.80,4,61682.32,HOLD
103,14689.43,2171.80,4,60929.52,HOLD
104,13094.65,2171.80,4,54550.40,HOLD
105,13767.71,2171.80,4,57242.64,HOLD
106,13974.10,2171.80,4,58068.20,HOLD
107,13664.76,2171.80,4,56830.84,HOLD
108,13249.65,2171.80,4,55170.40,HOLD
109,13441.32,2171.80,4,55937.08,HOLD
110,12670.08,2171.80,4,52852.12,HOLD
111,12616.59,2171.80,4,52638.16,HOLD
112,13857.29,2171.80,4,57600.96,HOLD
113,14419.40,2171.80,4,59849.40,HOLD
114,14169.12,2171.80,4,58848.28,HOLD
115,13317.74,2171.80,4,55442.76,HOLD
116,13426.12,2171.80,4,55876.28,HOLD
117,12430.90,2171.80,4,51895.40,HOLD
118,12367.02,2171.80,4,51639.88,HOLD
119,11339.18,2171.80,4,47528.52,HOLD
120,11381.69,2171.80,4,47698.56,HOLD
121,11211.85,2171.80,4,47019.20,HOLD
122,11901.45,2171.80,4,49777.60,HOLD
123,11751.98,2171.80,4,49179.72,HOLD
124,10565.14,2171.80,4,44432.36,HOLD
125,11337.78,2171.80,4,47522.92,HOLD
126,10922.71,2171.80,4,45862.64,HOLD
127,11348.06,2171.80,4,47564.04,HOLD
128,11322.84,2171.80,4,47463.16,HOLD
129,11707.53,2171.80,4,49001.92,HOLD
130,12271.98,2171.80,4,51259.72,HOLD
131,12597.75,2171.80,4,52562.80,HOLD
132,12993.78,2171.80,4,54146.92,HOLD
133,12353.73,2171.80,4,51586.72,HOLD
134,11981.42,2171.80,4,50097.48,HOLD
135,11471.50,2171.80,4,48057.80,HOLD
136,11604.43,2171.80,4,48589.52,HOLD
137,11343.72,2171.80,4,47546.68,HOLD
138,10741.02,2171.80,4,45135.88,HOLD
139,11044.04,2171.80,4,46347.96,HOLD
140,10351.98,2171.80,4,43579.72,HOLD
141,10670.12,2171.80,4,44852.28,HOLD
142,10996.97,2171.80,4,46159.68,HOLD
143,10881.19,2171.80,4,45696.56,HOLD
144,10472.73,2171.80,4,44062.72,HOLD
145,11241.15,2171.80,4,47136.40,HOLD
146,10975.66,2171.80,4,46074.44,HOLD
147,10966.53,2171.80,4,46037.92,HOLD
148,10910.62,2171.80,4,45814.28,HOLD
149,11065.24,2171.80,4,46432.76,HOLD
150,10569.20,2171.80,4,44448.60,HOLD
151,10301.06,2171.80,4,43376.04,HOLD
152,10265.04,2171.80,4,43231.96,HOLD
153,10900.16,2171.80,4,45772.44,HOLD
154,11144.03,2171.80,4,46747.92,HOLD
155,11388.54,2171.80,4,47725.96,HOLD
156,11843.49,2171.80,4,49545.76,HOLD
157,11719.73,2171.80,4,49050.72,HOLD
158,11491.18,2171.80,4,48136.52,HOLD
159,11435.39,2171.80,4,47913.36,HOLD
160,11512.03,2171.80,4,48219.92,HOLD
161,11284.93,2171.80,4,47311.52,HOLD
162,11724.91,2171.80,4,49071.44,HOLD
163,11635.03,2171.80,4,48711.92,HOLD
164,12081.81,2171.80,4,50499.04,HOLD
165,11916.54,2171.80,4,49837.96,HOLD
166,12060.17,2171.80,4,50412.48,HOLD
167,11833.07,2171.80,4,49504.08,HOLD
168,12022.46,2171.80,4,50261.64,HOLD
169,12180.86,2171.80,4,50895.24,HOLD
170,12335.02,2171.80,4,51511.88,HOLD
171,12415.85,2171.80,4,51835.20,HOLD
172,12903.63,2171.80,4,53786.32,HOLD
