DAY,Price,Cash,Shares,PortfolioValue,Action
0,27675.24,141659.96,1,169335.20,BUY
1,28165.13,113494.83,2,169825.09,BUY
2,28264.07,85230.76,3,170022.97,BUY
3,28790.49,56440.27,4,171602.23,BUY
4,27980.50,28459.77,5,168362.27,BUY
5,26330.05,2129.72,6,160110.02,BUY
6,27029.49,2129.72,6,164306.66,HOLD
7,27695.60,2129.72,6,168303.32,HOLD
8,27383.13,2129.72,6,166428.50,HOLD
9,26419.97,2129.72,6,160649.54,HOLD
10,26315.36,2129.72,6,160021.88,HOLD
11,24117.94,2129.72,6,146837.36,HOLD
12,21139.26,2129.72,6,128965.28,HOLD
13,23163.67,2129.72,6,141111.74,HOLD
14,22756.13,2129.72,6,138666.50,HOLD
15,24045.18,2129.72,6,146400.80,HOLD
16,24225.55,2129.72,6,147483.02,HOLD
17,24030.54,2129.72,6,146312.96,HOLD
18,23868.02,2129.72,6,145337.84,HOLD
19,23979.37,2129.72,6,146005.94,HOLD
20,24315.75,2129.72,6,148024.22,HOLD
21,23134.61,2129.72,6,140937.38,HOLD
22,24219.96,2129.72,6,147449.48,HOLD
23,24968.30,2129.72,6,151939.52,HOLD
24,24195.82,2129.72,6,147304.64,HOLD
25,24770.95,2129.72,6,150755.42,HOLD
26,25182.60,2129.72,6,153225.32,HOLD
27,25570.36,2129.72,6,155551.88,HOLD
28,25015.28,2129.72,6,152221.40,HOLD
29,24598.46,2129.72,6,149720.48,HOLD
30,24534.79,2129.72,6,149338.46,HOLD
31,24167.79,2129.72,6,147136.46,HOLD
32,25040.55,2129.72,6,152373.02,HOLD
33,24885.86,2129.72,6,151444.88,HOLD
34,25258.16,2129.72,6,153678.68,HOLD
35,24488.64,2129.72,6,149061.56,HOLD
36,24293.03,2129.72,6,147887.90,HOLD
37,24295.01,2129.72,6,147899.78,HOLD
38,23124.25,2129.72,6,140875.22,HOLD
39,23842.25,2129.72,6,145183.22,HOLD
40,24524.26,2129.72,6,149275.28,HOLD
41,24456.84,2129.72,6,148870.76,HOLD
42,24586.06,2129.72,6,149646.08,HOLD
43,24733.23,2129.72,6,150529.10,HOLD
44,26168.63,2129.72,6,159141.50,HOLD
45,26344.86,2129.72,6,160198.88,HOLD
46,26591.30,2129.72,6,161677.52,HOLD
47,26379.48,2129.72,6,160406.60,HOLD
48,26445.66,2129.72,6,160803.68,HOLD
