DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,123294.84,1,151087.50,BUY
1,28428.17,94866.67,2,151723.01,BUY
2,28504.27,66362.40,3,151875.21,BUY
3,28813.13,37549.27,4,152801.79,BUY
4,27774.50,9774.77,5,148647.27,BUY
5,26491.66,9774.77,5,142233.07,HOLD
6,27436.99,9774.77,5,146959.72,HOLD
7,27496.25,9774.77,5,147256.02,HOLD
8,26667.04,9774.77,5,143109.97,HOLD
9,26233.39,9774.77,5,140941.72,HOLD
10,24978.97,9774.77,5,134669.62,HOLD
11,22676.46,9774.77,5,123157.07,HOLD
12,22383.25,9774.77,5,121691.02,HOLD
13,23238.04,9774.77,5,125964.97,HOLD
14,23796.03,9774.77,5,128754.92,HOLD
15,23854.79,9774.77,5,129048.72,HOLD
16,23806.30,9774.77,5,128806.27,HOLD
17,23584.95,9774.77,5,127699.52,HOLD
18,24470.18,9774.77,5,132125.67,HOLD
19,23722.17,9774.77,5,128385.62,HOLD
20,22519.73,9774.77,5,122373.42,HOLD
21,23539.91,9774.77,5,127474.32,HOLD
22,24678.55,9774.77,5,133167.52,HOLD
23,23684.96,9774.77,5,128199.57,HOLD
24,24391.17,9774.77,5,131730.62,HOLD
25,24271.77,9774.77,5,131133.62,HOLD
26,25849.78,9774.77,5,139023.67,HOLD
27,25299.36,9774.77,5,136271.57,HOLD
28,25057.94,9774.77,5,135064.47,HOLD
29,24671.51,9774.77,5,133132.32,HOLD
30,24868.29,9774.77,5,134116.22,HOLD
31,24685.44,9774.77,5,133201.97,HOLD
32,25079.25,9774.77,5,135171.02,HOLD
33,25360.03,9774.77,5,136574.92,HOLD
34,24931.17,9774.77,5,134430.62,HOLD
35,24213.36,9774.77,5,130841.57,HOLD
36,24635.24,9774.77,5,132950.97,HOLD
37,23559.99,9774.77,5,127574.72,HOLD
38,23368.49,9774.77,5,126617.22,HOLD
39,24059.29,9774.77,5,130071.22,HOLD
40,24194.41,9774.77,5,130746.82,HOLD
41,24683.25,9774.77,5,133191.02,HOLD
42,24232.66,9774.77,5,130938.07,HOLD
43,25950.41,9774.77,5,139526.82,HOLD
44,26191.54,9774.77,5,140732.47,HOLD
45,26369.34,9774.77,5,141621.47,HOLD
46,26322.68,9774.77,5,141388.17,HOLD
47,26256.40,9774.77,5,141056.77,HOLD
48,26318.11,9774.77,5,141365.32,HOLD
49,26274.65,9774.77,5,141148.02,HOLD
50,26432.91,9774.77,5,141939.32,HOLD
51,27389.78,9774.77,5,146723.67,HOLD
52,28136.64,9774.77,5,150457.97,HOLD
53,29676.54,9774.77,5,158157.47,HOLD
54,29194.37,9774.77,5,155746.62,HOLD
55,28967.01,9774.77,5,154609.82,HOLD
56,29732.23,9774.77,5,158435.92,HOLD
57,30099.71,9774.77,5,160273.32,HOLD
58,28980.21,9774.77,5,154675.82,HOLD
59,28513.13,9774.77,5,152340.42,HOLD
60,28707.35,9774.77,5,153311.52,HOLD
61,28737.54,9774.77,5,153462.47,HOLD
62,28014.29,9774.77,5,149846.22,HOLD
63,28598.86,9774.77,5,152769.07,HOLD
64,28685.06,9774.77,5,153200.07,HOLD
65,28506.76,9774.77,5,152308.57,HOLD
66,28887.33,9774.77,5,154211.42,HOLD
67,28325.96,9774.77,5,151404.57,HOLD
68,27897.47,9774.77,5,149262.12,HOLD
69,28293.23,9774.77,5,151240.92,HOLD
70,28950.72,9774.77,5,154528.37,HOLD
71,28902.67,9774.77,5,154288.12,HOLD
72,28664.94,9774.77,5,153099.47,HOLD
73,28532.08,9774.77,5,152435.17,HOLD
74,28971.60,9774.77,5,154632.77,HOLD
75,28042.71,9774.77,5,149988.32,HOLD
76,27420.35,9774.77,5,146876.52,HOLD
77,27397.29,9774.77,5,146761.22,HOLD
78,26177.40,9774.77,5,140661.77,HOLD
79,25743.09,9774.77,5,138490.22,HOLD
80,25920.85,9774.77,5,139379.02,HOLD
81,26046.90,9774.77,5,140009.27,HOLD
82,25036.99,9774.77,5,134959.72,HOLD
83,25219.80,9774.77,5,135873.77,HOLD
84,25827.17,9774.77,5,138910.62,HOLD
85,25570.84,9774.77,5,137628.97,HOLD
86,23871.84,9774.77,5,129133.97,HOLD
87,24232.98,9774.77,5,130939.67,HOLD
88,23812.35,9774.77,5,128836.52,HOLD
89,24836.76,9774.77,5,133958.57,HOLD
90,25840.59,9774.77,5,138977.72,HOLD
91,25473.16,9774.77,5,137140.57,HOLD
92,25010.36,9774.77,5,134826.57,HOLD
93,24836.21,9774.77,5,133955.82,HOLD
94,25222.60,9774.77,5,135887.77,HOLD
95,24532.82,9774.77,5,132438.87,HOLD
96,23517.52,9774.77,5,127362.37,HOLD
97,24153.72,9774.77,5,130543.37,HOLD
98,23155.62,9774.77,5,125552.87,HOLD
99,23027.15,9774.77,5,124910.52,HOLD
100,23394.77,9774.77,5,126748.62,HOLD
101,23162.85,9774.77,5,125589.02,HOLD
102,24140.81,9774.77,5,130478.82,HOLD
103,24723.92,9774.77,5,133394.37,HOLD
104,23507.03,9774.77,5,127309.92,HOLD
105,24690.45,9774.77,5,133227.02,HOLD
106,24548.05,9774.77,5,132515.02,HOLD
107,23500.92,9774.77,5,127279.37,HOLD
108,22299.14,9774.77,5,121270.47,HOLD
109,20102.57,9774.77,5,110287.62,HOLD
110,18584.04,9774.77,5,102694.97,HOLD
111,21983.10,9774.77,5,119690.27,HOLD
112,22033.78,9774.77,5,119943.67,HOLD
113,21779.19,9774.77,5,118670.72,HOLD
114,21358.73,9774.77,5,116568.42,HOLD
115,19784.28,9774.77,5,108696.17,HOLD
116,20648.53,9774.77,5,113017.42,HOLD
117,19474.03,9774.77,5,107144.92,HOLD
118,20389.61,9774.77,5,111722.82,HOLD
119,20067.98,9774.77,5,110114.67,HOLD
120,21154.04,9774.77,5,115544.97,HOLD
121,21737.94,9774.77,5,118464.47,HOLD
122,20697.41,9774.77,5,113261.82,HOLD
123,21010.89,9774.77,5,114829.22,HOLD
124,21719.17,9774.77,5,118370.62,HOLD
125,21614.65,9774.77,5,117848.02,HOLD
126,20215.97,9774.77,5,110854.62,HOLD
127,20513.80,9774.77,5,112343.77,HOLD
128,20050.05,9774.77,5,110025.02,HOLD
129,20096.54,9774.77,5,110257.47,HOLD
130,20011.38,9774.77,5,109831.67,HOLD
131,19656.80,9774.77,5,108058.77,HOLD
132,20050.97,9774.77,5,110029.62,HOLD
133,19342.49,9774.77,5,106487.22,HOLD
134,18893.65,9774.77,5,104243.02,HOLD
135,18494.54,9774.77,5,102247.47,HOLD
136,17727.40,9774.77,5,98411.77,HOLD
137,16906.96,9774.77,5,94309.57,HOLD
138,16789.97,9774.77,5,93724.62,HOLD
139,16558.41,9774.77,5,92566.82,HOLD
140,14947.39,9774.77,5,84511.72,HOLD
141,14859.92,9774.77,5,84074.37,HOLD
142,16429.81,9774.77,5,91923.82,HOLD
143,17552.30,9774.77,5,97536.27,HOLD
144,17287.60,9774.77,5,96212.77,HOLD
145,17536.45,9774.77,5,97457.02,HOLD
