DAY,Price,Cash,Shares,PortfolioValue,Action
0,28000.62,128309.38,1,156310.00,BUY
1,28054.29,100255.09,2,156363.67,BUY
2,28671.84,71583.25,3,157598.77,BUY
3,28795.42,42787.83,4,157969.51,BUY
4,27101.54,15686.29,5,151193.99,BUY
5,26641.92,15686.29,5,148895.89,HOLD
6,27614.83,15686.29,5,153760.44,HOLD
7,27448.60,15686.29,5,152929.29,HOLD
8,26479.90,15686.29,5,148085.79,HOLD
9,26038.39,15686.29,5,145878.24,HOLD
10,25140.38,15686.29,5,141388.19,HOLD
11,22167.42,15686.29,5,126523.39,HOLD
12,23062.23,15686.29,5,130997.44,HOLD
13,22947.64,15686.29,5,130424.49,HOLD
14,23897.40,15686.29,5,135173.29,HOLD
15,24308.78,15686.29,5,137230.19,HOLD
16,23730.49,15686.29,5,134338.74,HOLD
17,23697.88,15686.29,5,134175.69,HOLD
18,24136.20,15686.29,5,136367.29,HOLD
19,24314.45,15686.29,5,137258.54,HOLD
20,23165.49,15686.29,5,131513.74,HOLD
21,23766.15,15686.29,5,134517.04,HOLD
22,24837.73,15686.29,5,139874.94,HOLD
23,24302.25,15686.29,5,137197.54,HOLD
24,24184.88,15686.29,5,136610.69,HOLD
25,24563.57,15686.29,5,138504.14,HOLD
26,26016.75,15686.29,5,145770.04,HOLD
27,24919.95,15686.29,5,140286.04,HOLD
28,24992.37,15686.29,5,140648.14,HOLD
29,24616.05,15686.29,5,138766.54,HOLD
30,24641.09,15686.29,5,138891.74,HOLD
31,25144.46,15686.29,5,141408.59,HOLD
32,24621.32,15686.29,5,138792.89,HOLD
33,25186.42,15686.29,5,141618.39,HOLD
34,24854.58,15686.29,5,139959.19,HOLD
35,24293.21,15686.29,5,137152.34,HOLD
36,24250.90,15686.29,5,136940.79,HOLD
37,23225.33,15686.29,5,131812.94,HOLD
38,23674.52,15686.29,5,134058.89,HOLD
39,24196.80,15686.29,5,136670.29,HOLD
40,24478.47,15686.29,5,138078.64,HOLD
41,24602.11,15686.29,5,138696.84,HOLD
42,24689.51,15686.29,5,139133.84,HOLD
43,26041.87,15686.29,5,145895.64,HOLD
44,26339.88,15686.29,5,147385.69,HOLD
45,26409.77,15686.29,5,147735.14,HOLD
46,26375.24,15686.29,5,147562.49,HOLD
