DAY,Price,Cash,Shares,PortfolioValue,Action
0,23656.62,181682.70,0,181682.70,HOLD
1,23761.08,181682.70,0,181682.70,HOLD
2,24061.67,181682.70,0,181682.70,HOLD
3,23317.32,181682.70,0,181682.70,HOLD
4,22775.92,181682.70,0,181682.70,HOLD
5,23621.72,181682.70,0,181682.70,HOLD
6,23133.60,181682.70,0,181682.70,HOLD
7,22127.42,181682.70,0,181682.70,HOLD
8,20862.05,181682.70,0,181682.70,HOLD
9,19392.25,181682.70,0,181682.70,HOLD
10,16698.46,181682.70,0,181682.70,HOLD
11,18512.81,181682.70,0,181682.70,HOLD
12,17707.66,181682.70,0,181682.70,HOLD
13,19158.55,181682.70,0,181682.70,HOLD
14,19154.41,181682.70,0,181682.70,HOLD
15,19221.54,181682.70,0,181682.70,HOLD
16,19551.73,181682.70,0,181682.70,HOLD
17,20056.46,181682.70,0,181682.70,HOLD
18,20454.03,181682.70,0,181682.70,HOLD
19,21142.72,181682.70,0,181682.70,HOLD
20,22462.68,181682.70,0,181682.70,HOLD
21,22900.30,181682.70,0,181682.70,HOLD
22,22318.07,181682.70,0,181682.70,HOLD
23,22479.86,181682.70,0,181682.70,HOLD
24,22039.56,181682.70,0,181682.70,HOLD
25,22438.65,181682.70,0,181682.70,HOLD
26,22800.11,181682.70,0,181682.70,HOLD
27,22732.92,181682.70,0,181682.70,HOLD
28,21710.00,181682.70,0,181682.70,HOLD
29,22204.61,181682.70,0,181682.70,HOLD
30,23068.53,181682.70,0,181682.70,HOLD
31,22862.54,181682.70,0,181682.70,HOLD
32,23102.61,181682.70,0,181682.70,HOLD
33,23086.89,181682.70,0,181682.70,HOLD
34,23429.42,181682.70,0,181682.70,HOLD
35,23154.45,181682.70,0,181682.70,HOLD
36,23170.89,181682.70,0,181682.70,HOLD
37,23477.73,181682.70,0,181682.70,HOLD
38,23458.43,181682.70,0,181682.70,HOLD
39,23436.17,181682.70,0,181682.70,HOLD
40,23170.76,181682.70,0,181682.70,HOLD
41,24039.16,181682.70,0,181682.70,HOLD
42,25215.31,181682.70,0,181682.70,HOLD
43,25425.59,181682.70,0,181682.70,HOLD
44,26405.83,181682.70,0,181682.70,HOLD
45,26500.32,181682.70,0,181682.70,HOLD
46,26648.69,181682.70,0,181682.70,HOLD
47,26533.63,181682.70,0,181682.70,HOLD
48,26664.60,181682.70,0,181682.70,HOLD
49,27002.18,181682.70,0,181682.70,HOLD
50,28411.58,181682.70,0,181682.70,HOLD
51,28677.61,181682.70,0,181682.70,HOLD
52,27975.85,181682.70,0,181682.70,HOLD
53,28325.89,181682.70,0,181682.70,HOLD
54,29417.32,181682.70,0,181682.70,HOLD
55,29847.33,181682.70,0,181682.70,HOLD
56,29396.04,181682.70,0,181682.70,HOLD
57,28644.26,181682.70,0,181682.70,HOLD
58,29670.31,181682.70,0,181682.70,HOLD
59,29107.63,181682.70,0,181682.70,HOLD
60,29200.88,181682.70,0,181682.70,HOLD
61,30024.25,181682.70,0,181682.70,HOLD
62,29538.73,181682.70,0,181682.70,HOLD
63,29530.84,181682.70,0,181682.70,HOLD
64,28896.37,181682.70,0,181682.70,HOLD
65,29237.36,181682.70,0,181682.70,HOLD
66,27723.70,181682.70,0,181682.70,HOLD
67,28193.03,181682.70,0,181682.70,HOLD
68,28899.66,181682.70,0,181682.70,HOLD
69,28764.68,181682.70,0,181682.70,HOLD
70,28839.54,181682.70,0,181682.70,HOLD
71,28957.98,181682.70,0,181682.70,HOLD
72,28992.74,181682.70,0,181682.70,HOLD
73,28688.63,181682.70,0,181682.70,HOLD
74,27419.40,181682.70,0,181682.70,HOLD
75,27847.35,181682.70,0,181682.70,HOLD
76,27862.69,181682.70,0,181682.70,HOLD
77,27492.40,181682.70,0,181682.70,HOLD
78,27974.99,181682.70,0,181682.70,HOLD
79,27347.77,181682.70,0,181682.70,HOLD
80,27684.05,181682.70,0,181682.70,HOLD
81,28179.04,181682.70,0,181682.70,HOLD
82,29787.13,181682.70,0,181682.70,HOLD
