DAY,Price,Cash,Shares,PortfolioValue,Action
0,637.20,4755.80,1,5393.00,BUY
1,487.07,4268.73,2,5242.87,BUY
2,435.11,3833.62,3,5138.95,BUY
3,502.48,3331.14,4,5341.06,BUY
4,564.02,2767.12,5,5587.22,BUY
5,593.01,2174.11,6,5732.17,BUY
6,634.20,1539.91,7,5979.31,BUY
7,638.58,901.33,8,6009.97,BUY
8,658.93,242.40,9,6172.77,BUY
9,684.33,242.40,9,6401.37,HOLD
10,711.71,242.40,9,6647.79,HOLD
11,695.30,242.40,9,6500.10,HOLD
12,733.91,242.40,9,6847.59,HOLD
13,752.04,242.40,9,7010.76,HOLD
14,732.92,242.40,9,6838.68,HOLD
15,745.98,242.40,9,6956.22,HOLD
16,732.09,242.40,9,6831.21,HOLD
17,769.31,242.40,9,7166.19,HOLD
18,769.39,242.40,9,7166.91,HOLD
19,792.27,242.40,9,7372.83,HOLD
20,808.02,242.40,9,7514.58,HOLD
21,847.90,242.40,9,7873.50,HOLD
22,852.15,242.40,9,7911.75,HOLD
23,781.41,242.40,9,7275.09,HOLD
24,837.86,242.40,9,7783.14,HOLD
25,841.37,242.40,9,7814.73,HOLD
26,877.58,242.40,9,8140.62,HOLD
27,878.78,242.40,9,8151.42,HOLD
28,799.53,242.40,9,7438.17,HOLD
29,856.66,242.40,9,7952.34,HOLD
30,833.55,242.40,9,7744.35,HOLD
31,812.70,242.40,9,7556.70,HOLD
32,791.02,242.40,9,7361.58,HOLD
33,831.78,242.40,9,7728.42,HOLD
34,835.95,242.40,9,7765.95,HOLD
35,849.72,242.40,9,7889.88,HOLD
36,861.05,242.40,9,7991.85,HOLD
37,900.09,242.40,9,8343.21,HOLD
38,905.76,242.40,9,8394.24,HOLD
39,938.88,242.40,9,8692.32,HOLD
40,920.53,242.40,9,8527.17,HOLD
41,965.53,242.40,9,8932.17,HOLD
42,956.72,242.40,9,8852.88,HOLD
43,936.93,242.40,9,8674.77,HOLD
44,989.03,242.40,9,9143.67,HOLD
45,953.72,242.40,9,8825.88,HOLD
46,957.69,242.40,9,8861.61,HOLD
47,967.42,242.40,9,8949.18,HOLD
48,910.15,242.40,9,8433.75,HOLD
49,907.41,242.40,9,8409.09,HOLD
50,910.41,242.40,9,8436.09,HOLD
51,935.27,242.40,9,8659.83,HOLD
52,951.13,242.40,9,8802.57,HOLD
53,966.34,242.40,9,8939.46,HOLD
54,983.40,242.40,9,9093.00,HOLD
55,1014.40,242.40,9,9372.00,HOLD
56,1018.87,242.40,9,9412.23,HOLD
57,975.66,242.40,9,9023.34,HOLD
58,979.38,242.40,9,9056.82,HOLD
59,958.64,242.40,9,8870.16,HOLD
60,949.78,242.40,9,8790.42,HOLD
61,979.13,242.40,9,9054.57,HOLD
62,982.75,242.40,9,9087.15,HOLD
63,993.64,242.40,9,9185.16,HOLD
64,1008.11,242.40,9,9315.39,HOLD
65,1019.28,242.40,9,9415.92,HOLD
66,1043.51,242.40,9,9633.99,HOLD
67,1035.68,242.40,9,9563.52,HOLD
68,1036.14,242.40,9,9567.66,HOLD
69,1045.66,242.40,9,9653.34,HOLD
70,1029.05,242.40,9,9503.85,HOLD
71,1048.98,242.40,9,9683.22,HOLD
72,999.26,242.40,9,9235.74,HOLD
73,1006.98,242.40,9,9305.22,HOLD
74,1035.09,242.40,9,9558.21,HOLD
75,1037.22,242.40,9,9577.38,HOLD
76,1038.80,242.40,9,9591.60,HOLD
77,1031.93,242.40,9,9529.77,HOLD
78,950.09,242.40,9,8793.21,HOLD
79,939.28,242.40,9,8695.92,HOLD
80,1001.10,242.40,9,9252.30,HOLD
81,1006.03,242.40,9,9296.67,HOLD
82,1003.66,242.40,9,9275.34,HOLD
83,983.82,242.40,9,9096.78,HOLD
84,1028.02,242.40,9,9494.58,HOLD
85,1003.19,242.40,9,9271.11,HOLD
86,949.86,242.40,9,8791.14,HOLD
87,1003.92,242.40,9,9277.68,HOLD
88,999.21,242.40,9,9235.29,HOLD
89,999.05,242.40,9,9233.85,HOLD
90,1022.73,242.40,9,9446.97,HOLD
91,979.83,242.40,9,9060.87,HOLD
92,981.31,242.40,9,9074.19,HOLD
93,933.97,242.40,9,8648.13,HOLD
94,847.34,242.40,9,7868.46,HOLD
95,887.54,242.40,9,8230.26,HOLD
96,837.83,242.40,9,7782.87,HOLD
97,865.23,242.40,9,8029.47,HOLD
98,879.03,242.40,9,8153.67,HOLD
99,884.98,242.40,9,8207.22,HOLD
100,903.75,242.40,9,8376.15,HOLD
101,920.69,242.40,9,8528.61,HOLD
102,936.20,242.40,9,8668.20,HOLD
103,925.91,242.40,9,8575.59,HOLD
104,925.61,242.40,9,8572.89,HOLD
105,929.54,242.40,9,8608.26,HOLD
106,889.30,242.40,9,8246.10,HOLD
107,883.31,242.40,9,8192.19,HOLD
108,839.52,242.40,9,7798.08,HOLD
109,866.76,242.40,9,8043.24,HOLD
110,873.21,242.40,9,8101.29,HOLD
111,873.09,242.40,9,8100.21,HOLD
112,804.38,242.40,9,7481.82,HOLD
113,764.69,242.40,9,7124.61,HOLD
114,759.83,242.40,9,7080.87,HOLD
115,728.32,242.40,9,6797.28,HOLD
116,747.74,242.40,9,6972.06,HOLD
117,771.69,242.40,9,7187.61,HOLD
118,786.46,242.40,9,7320.54,HOLD
119,799.36,242.40,9,7436.64,HOLD
120,826.45,242.40,9,7680.45,HOLD
121,825.46,242.40,9,7671.54,HOLD
