DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,5420.49,1,6025.00,BUY
1,483.51,4936.98,2,5904.00,BUY
2,454.24,4482.74,3,5845.46,BUY
3,551.25,3931.49,4,6136.49,BUY
4,593.22,3338.27,5,6304.37,BUY
5,602.05,2736.22,6,6348.52,BUY
6,616.88,2119.34,7,6437.50,BUY
7,644.06,1475.28,8,6627.76,BUY
8,676.60,798.68,9,6888.08,BUY
9,688.88,109.80,10,6998.60,BUY
10,708.60,109.80,10,7195.80,HOLD
11,716.83,109.80,10,7278.10,HOLD
12,747.37,109.80,10,7583.50,HOLD
13,693.15,109.80,10,7041.30,HOLD
14,741.78,109.80,10,7527.60,HOLD
15,732.86,109.80,10,7438.40,HOLD
16,750.43,109.80,10,7614.10,HOLD
17,773.08,109.80,10,7840.60,HOLD
18,776.97,109.80,10,7879.50,HOLD
19,795.19,109.80,10,8061.70,HOLD
20,815.15,109.80,10,8261.30,HOLD
21,854.48,109.80,10,8654.60,HOLD
22,794.91,109.80,10,8058.90,HOLD
23,820.02,109.80,10,8310.00,HOLD
24,847.53,109.80,10,8585.10,HOLD
25,874.31,109.80,10,8852.90,HOLD
26,893.24,109.80,10,9042.20,HOLD
27,838.13,109.80,10,8491.10,HOLD
28,839.68,109.80,10,8506.60,HOLD
29,868.01,109.80,10,8789.90,HOLD
30,821.50,109.80,10,8324.80,HOLD
31,776.70,109.80,10,7876.80,HOLD
32,789.85,109.80,10,8008.30,HOLD
33,845.17,109.80,10,8561.50,HOLD
34,841.60,109.80,10,8525.80,HOLD
35,868.60,109.80,10,8795.80,HOLD
36,885.65,109.80,10,8966.30,HOLD
37,910.36,109.80,10,9213.40,HOLD
38,924.52,109.80,10,9355.00,HOLD
39,940.98,109.80,10,9519.60,HOLD
40,928.58,109.80,10,9395.60,HOLD
41,982.27,109.80,10,9932.50,HOLD
42,973.63,109.80,10,9846.10,HOLD
43,975.62,109.80,10,9866.00,HOLD
44,957.17,109.80,10,9681.50,HOLD
45,958.05,109.80,10,9690.30,HOLD
46,965.83,109.80,10,9768.10,HOLD
47,953.48,109.80,10,9644.60,HOLD
48,914.49,109.80,10,9254.70,HOLD
49,877.73,109.80,10,8887.10,HOLD
50,928.17,109.80,10,9391.50,HOLD
51,945.97,109.80,10,9569.50,HOLD
52,954.54,109.80,10,9655.20,HOLD
53,964.62,109.80,10,9756.00,HOLD
54,1001.00,109.80,10,10119.80,HOLD
55,1025.48,109.80,10,10364.60,HOLD
56,1019.81,109.80,10,10307.90,HOLD
57,944.15,109.80,10,9551.30,HOLD
58,958.57,109.80,10,9695.50,HOLD
59,962.78,109.80,10,9737.60,HOLD
60,960.64,109.80,10,9716.20,HOLD
61,981.52,109.80,10,9925.00,HOLD
62,979.47,109.80,10,9904.50,HOLD
63,994.76,109.80,10,10057.40,HOLD
64,1010.18,109.80,10,10211.60,HOLD
65,1028.48,109.80,10,10394.60,HOLD
66,1028.14,109.80,10,10391.20,HOLD
67,1046.57,109.80,10,10575.50,HOLD
68,1046.51,109.80,10,10574.90,HOLD
69,1039.26,109.80,10,10502.40,HOLD
70,1050.32,109.80,10,10613.00,HOLD
71,1052.21,109.80,10,10631.90,HOLD
72,964.02,109.80,10,9750.00,HOLD
73,1014.10,109.80,10,10250.80,HOLD
74,1047.12,109.80,10,10581.00,HOLD
75,1026.97,109.80,10,10379.50,HOLD
76,1033.69,109.80,10,10446.70,HOLD
77,989.07,109.80,10,10000.50,HOLD
78,932.32,109.80,10,9433.00,HOLD
79,981.83,109.80,10,9928.10,HOLD
80,989.43,109.80,10,10004.10,HOLD
81,991.03,109.80,10,10020.10,HOLD
82,995.35,109.80,10,10063.30,HOLD
83,998.14,109.80,10,10091.20,HOLD
84,1029.54,109.80,10,10405.20,HOLD
85,999.40,109.80,10,10103.80,HOLD
86,977.91,109.80,10,9888.90,HOLD
87,1010.02,109.80,10,10210.00,HOLD
88,995.93,109.80,10,10069.10,HOLD
89,1005.61,109.80,10,10165.90,HOLD
90,1030.57,109.80,10,10415.50,HOLD
91,976.41,109.80,10,9873.90,HOLD
92,954.82,109.80,10,9658.00,HOLD
93,911.02,109.80,10,9220.00,HOLD
94,887.02,109.80,10,8980.00,HOLD
95,893.21,109.80,10,9041.90,HOLD
96,858.78,109.80,10,8697.60,HOLD
97,847.86,109.80,10,8588.40,HOLD
98,896.84,109.80,10,9078.20,HOLD
99,870.81,109.80,10,8817.90,HOLD
100,917.93,109.80,10,9289.10,HOLD
101,926.55,109.80,10,9375.30,HOLD
102,938.45,109.80,10,9494.30,HOLD
103,920.75,109.80,10,9317.30,HOLD
104,917.53,109.80,10,9285.10,HOLD
105,899.83,109.80,10,9108.10,HOLD
106,892.54,109.80,10,9035.20,HOLD
107,831.59,109.80,10,8425.70,HOLD
108,856.30,109.80,10,8672.80,HOLD
109,865.05,109.80,10,8760.30,HOLD
110,884.11,109.80,10,8950.90,HOLD
111,867.20,109.80,10,8781.80,HOLD
112,800.56,109.80,10,8115.40,HOLD
113,714.38,109.80,10,7253.60,HOLD
114,744.24,109.80,10,7552.20,HOLD
115,750.67,109.80,10,7616.50,HOLD
116,757.99,109.80,10,7689.70,HOLD
117,790.97,109.80,10,8019.50,HOLD
118,796.48,109.80,10,8074.60,HOLD
119,820.06,109.80,10,8310.40,HOLD
120,828.27,109.80,10,8392.50,HOLD
121,814.17,109.80,10,8251.50,HOLD
122,801.84,109.80,10,8128.20,HOLD
123,784.67,109.80,10,7956.50,HOLD
124,790.83,109.80,10,8018.10,HOLD
125,757.33,109.80,10,7683.10,HOLD
126,681.59,109.80,10,6925.70,HOLD
127,683.15,109.80,10,6941.30,HOLD
128,650.39,109.80,10,6613.70,HOLD
129,675.89,109.80,10,6868.70,HOLD
130,686.41,109.80,10,6973.90,HOLD
131,683.74,109.80,10,6947.20,HOLD
132,705.70,109.80,10,7166.80,HOLD
133,735.04,109.80,10,7460.20,HOLD
134,729.41,109.80,10,7403.90,HOLD
135,739.16,109.80,10,7501.40,HOLD
136,711.08,109.80,10,7220.60,HOLD
137,721.46,109.80,10,7324.40,HOLD
138,709.52,109.80,10,7205.00,HOLD
139,675.80,109.80,10,6867.80,HOLD
140,676.40,109.80,10,6873.80,HOLD
141,709.26,109.80,10,7202.40,HOLD
142,712.32,109.80,10,7233.00,HOLD
143,732.33,109.80,10,7433.10,HOLD
144,762.30,109.80,10,7732.80,HOLD
145,774.61,109.80,10,7855.90,HOLD
146,786.48,109.80,10,7974.60,HOLD
147,783.66,109.80,10,7946.40,HOLD
148,807.95,109.80,10,8189.30,HOLD
149,773.65,109.80,10,7846.30,HOLD
150,807.91,109.80,10,8188.90,HOLD
151,832.44,109.80,10,8434.20,HOLD
152,856.15,109.80,10,8671.30,HOLD
153,888.63,109.80,10,8996.10,HOLD
154,907.59,109.80,10,9185.70,HOLD
155,829.19,109.80,10,8401.70,HOLD
156,839.08,109.80,10,8500.60,HOLD
157,820.24,109.80,10,8312.20,HOLD
158,836.68,109.80,10,8476.60,HOLD
159,842.17,109.80,10,8531.50,HOLD
160,865.13,109.80,10,8761.10,HOLD
161,889.58,109.80,10,9005.60,HOLD
162,883.09,109.80,10,8940.70,HOLD
163,867.68,109.80,10,8786.60,HOLD
164,883.41,109.80,10,8943.90,HOLD
165,865.65,109.80,10,8766.30,HOLD
166,901.12,109.80,10,9121.00,HOLD
167,924.31,109.80,10,9352.90,HOLD
168,926.75,109.80,10,9377.30,HOLD
169,889.25,109.80,10,9002.30,HOLD
170,877.85,109.80,10,8888.30,HOLD
171,881.40,109.80,10,8923.80,HOLD
172,921.05,109.80,10,9320.30,HOLD
173,916.08,109.80,10,9270.60,HOLD
174,882.27,109.80,10,8932.50,HOLD
175,874.92,109.80,10,8859.00,HOLD
176,821.71,109.80,10,8326.90,HOLD
177,805.03,109.80,10,8160.10,HOLD
178,807.45,109.80,10,8184.30,HOLD
179,770.84,109.80,10,7818.20,HOLD
180,737.52,109.80,10,7485.00,HOLD
181,810.15,109.80,10,8211.30,HOLD
182,805.27,109.80,10,8162.50,HOLD
183,809.83,109.80,10,8208.10,HOLD
184,812.95,109.80,10,8239.30,HOLD
185,814.00,109.80,10,8249.80,HOLD
186,828.72,109.80,10,8397.00,HOLD
187,860.56,109.80,10,8715.40,HOLD
188,856.53,109.80,10,8675.10,HOLD
189,875.34,109.80,10,8863.20,HOLD
190,855.00,109.80,10,8659.80,HOLD
191,836.89,109.80,10,8478.70,HOLD
192,815.54,109.80,10,8265.20,HOLD
193,807.36,109.80,10,8183.40,HOLD
194,831.56,109.80,10,8425.40,HOLD
195,860.91,109.80,10,8718.90,HOLD
196,858.56,109.80,10,8695.40,HOLD
197,860.01,109.80,10,8709.90,HOLD
198,881.95,109.80,10,8929.30,HOLD
199,899.24,109.80,10,9102.20,HOLD
200,908.98,109.80,10,9199.60,HOLD
201,878.12,109.80,10,8891.00,HOLD
202,858.24,109.80,10,8692.20,HOLD
203,824.99,109.80,10,8359.70,HOLD
204,852.80,109.80,10,8637.80,HOLD
205,869.75,109.80,10,8807.30,HOLD
206,856.88,109.80,10,8678.60,HOLD
207,844.97,109.80,10,8559.50,HOLD
208,838.08,109.80,10,8490.60,HOLD
209,844.13,109.80,10,8551.10,HOLD
210,871.12,109.80,10,8821.00,HOLD
211,854.94,109.80,10,8659.20,HOLD
212,837.80,109.80,10,8487.80,HOLD
213,838.90,109.80,10,8498.80,HOLD
214,851.72,109.80,10,8627.00,HOLD
215,812.90,109.80,10,8238.80,HOLD
216,794.23,109.80,10,8052.10,HOLD
217,807.50,109.80,10,8184.80,HOLD
218,732.74,109.80,10,7437.20,HOLD
219,783.88,109.80,10,7948.60,HOLD
220,764.83,109.80,10,7758.10,HOLD
221,757.87,109.80,10,7688.50,HOLD
222,705.67,109.80,10,7166.50,HOLD
223,726.37,109.80,10,7373.50,HOLD
224,758.02,109.80,10,7690.00,HOLD
225,763.20,109.80,10,7741.80,HOLD
226,765.27,109.80,10,7762.50,HOLD
227,749.64,109.80,10,7606.20,HOLD
228,729.75,109.80,10,7407.30,HOLD
229,728.11,109.80,10,7390.90,HOLD
230,727.04,109.80,10,7380.20,HOLD
231,681.00,109.80,10,6919.80,HOLD
232,683.37,109.80,10,6943.50,HOLD
233,675.78,109.80,10,6867.60,HOLD
234,627.01,109.80,10,6379.90,HOLD
235,695.67,7066.50,0,7066.50,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
236,671.09,7066.50,0,7066.50,HOLD
