DAY,Price,Cash,Shares,PortfolioValue,Action
0,555.47,5948.53,1,6504.00,BUY
1,419.55,5528.98,2,6368.08,BUY
2,501.82,5027.16,3,6532.62,BUY
3,542.75,4484.41,4,6655.41,BUY
4,610.66,3873.75,5,6927.05,BUY
5,628.05,3245.70,6,7014.00,BUY
6,629.12,2616.58,7,7020.42,BUY
7,647.52,1969.06,8,7149.22,BUY
8,676.24,1292.82,9,7378.98,BUY
9,697.09,595.73,10,7566.63,BUY
10,722.04,595.73,10,7816.13,HOLD
11,734.63,595.73,10,7942.03,HOLD
12,752.29,595.73,10,8118.63,HOLD
13,717.68,595.73,10,7772.53,HOLD
14,755.12,595.73,10,8146.93,HOLD
15,726.36,595.73,10,7859.33,HOLD
16,758.38,595.73,10,8179.53,HOLD
17,775.96,595.73,10,8355.33,HOLD
18,785.97,595.73,10,8455.43,HOLD
19,804.29,595.73,10,8638.63,HOLD
20,837.11,595.73,10,8966.83,HOLD
21,836.58,595.73,10,8961.53,HOLD
22,785.00,595.73,10,8445.73,HOLD
23,832.74,595.73,10,8923.13,HOLD
24,869.84,595.73,10,9294.13,HOLD
25,874.77,595.73,10,9343.43,HOLD
26,883.50,595.73,10,9430.73,HOLD
27,804.28,595.73,10,8638.53,HOLD
28,855.65,595.73,10,9152.23,HOLD
29,859.88,595.73,10,9194.53,HOLD
30,819.66,595.73,10,8792.33,HOLD
31,784.88,595.73,10,8444.53,HOLD
32,814.76,595.73,10,8743.33,HOLD
33,829.53,595.73,10,8891.03,HOLD
34,840.43,595.73,10,9000.03,HOLD
35,855.28,595.73,10,9148.53,HOLD
36,891.61,595.73,10,9511.83,HOLD
37,904.45,595.73,10,9640.23,HOLD
38,932.41,595.73,10,9919.83,HOLD
39,918.44,595.73,10,9780.13,HOLD
40,960.52,595.73,10,10200.93,HOLD
41,953.36,595.73,10,10129.33,HOLD
42,940.11,595.73,10,9996.83,HOLD
43,981.05,595.73,10,10406.23,HOLD
44,918.92,595.73,10,9784.93,HOLD
45,956.93,595.73,10,10165.03,HOLD
46,970.55,595.73,10,10301.23,HOLD
47,906.31,595.73,10,9658.83,HOLD
48,916.75,595.73,10,9763.23,HOLD
49,890.97,595.73,10,9505.43,HOLD
50,945.11,595.73,10,10046.83,HOLD
51,948.34,595.73,10,10079.13,HOLD
52,954.93,595.73,10,10145.03,HOLD
53,969.53,595.73,10,10291.03,HOLD
54,1008.80,595.73,10,10683.73,HOLD
55,1023.43,595.73,10,10830.03,HOLD
56,983.73,595.73,10,10433.03,HOLD
57,970.96,595.73,10,10305.33,HOLD
58,953.91,595.73,10,10134.83,HOLD
59,948.37,595.73,10,10079.43,HOLD
60,979.00,595.73,10,10385.73,HOLD
61,982.14,595.73,10,10417.13,HOLD
62,991.93,595.73,10,10515.03,HOLD
63,1006.83,595.73,10,10664.03,HOLD
64,1013.47,595.73,10,10730.43,HOLD
65,1039.79,595.73,10,10993.63,HOLD
66,1030.36,595.73,10,10899.33,HOLD
67,1046.90,595.73,10,11064.73,HOLD
68,1045.27,595.73,10,11048.43,HOLD
69,1029.26,595.73,10,10888.33,HOLD
70,1054.58,595.73,10,11141.53,HOLD
71,1009.21,595.73,10,10687.83,HOLD
72,1000.72,595.73,10,10602.93,HOLD
73,1026.36,595.73,10,10859.33,HOLD
74,1049.80,595.73,10,11093.73,HOLD
75,1028.40,595.73,10,10879.73,HOLD
76,1034.80,595.73,10,10943.73,HOLD
77,982.26,595.73,10,10418.33,HOLD
78,936.95,595.73,10,9965.23,HOLD
79,997.10,595.73,10,10566.73,HOLD
80,1000.29,595.73,10,10598.63,HOLD
81,1000.96,595.73,10,10605.33,HOLD
82,1002.51,595.73,10,10620.83,HOLD
83,1027.07,595.73,10,10866.43,HOLD
84,1012.95,595.73,10,10725.23,HOLD
85,960.84,595.73,10,10204.13,HOLD
86,991.07,595.73,10,10506.43,HOLD
87,996.85,595.73,10,10564.23,HOLD
88,982.43,595.73,10,10420.03,HOLD
89,1014.39,595.73,10,10739.63,HOLD
90,1007.84,595.73,10,10674.13,HOLD
91,978.69,595.73,10,10382.63,HOLD
92,929.15,595.73,10,9887.23,HOLD
93,881.68,595.73,10,9412.53,HOLD
94,893.91,595.73,10,9534.83,HOLD
95,850.28,595.73,10,9098.53,HOLD
96,865.58,595.73,10,9251.53,HOLD
97,868.91,595.73,10,9284.83,HOLD
98,864.69,595.73,10,9242.63,HOLD
99,879.68,595.73,10,9392.53,HOLD
100,927.02,595.73,10,9865.93,HOLD
101,936.91,595.73,10,9964.83,HOLD
102,939.82,595.73,10,9993.93,HOLD
103,913.92,595.73,10,9734.93,HOLD
104,927.29,595.73,10,9868.63,HOLD
105,888.97,595.73,10,9485.43,HOLD
106,899.34,595.73,10,9589.13,HOLD
107,833.24,595.73,10,8928.13,HOLD
108,849.59,595.73,10,9091.63,HOLD
109,868.81,595.73,10,9283.83,HOLD
110,890.20,595.73,10,9497.73,HOLD
111,828.76,595.73,10,8883.33,HOLD
112,763.22,595.73,10,8227.93,HOLD
113,754.62,595.73,10,8141.93,HOLD
114,712.53,595.73,10,7721.03,HOLD
115,763.14,595.73,10,8227.13,HOLD
116,766.89,595.73,10,8264.63,HOLD
117,783.78,595.73,10,8433.53,HOLD
118,801.40,595.73,10,8609.73,HOLD
119,825.94,595.73,10,8855.13,HOLD
120,831.69,595.73,10,8912.63,HOLD
121,781.92,595.73,10,8414.93,HOLD
122,783.99,595.73,10,8435.63,HOLD
123,774.23,595.73,10,8338.03,HOLD
124,780.31,595.73,10,8398.83,HOLD
125,736.11,595.73,10,7956.83,HOLD
126,675.07,595.73,10,7346.43,HOLD
127,697.59,595.73,10,7571.63,HOLD
128,664.83,595.73,10,7244.03,HOLD
129,686.43,595.73,10,7460.03,HOLD
130,689.97,595.73,10,7495.43,HOLD
131,695.10,595.73,10,7546.73,HOLD
132,728.81,595.73,10,7883.83,HOLD
133,717.55,595.73,10,7771.23,HOLD
134,717.13,595.73,10,7767.03,HOLD
135,731.07,595.73,10,7906.43,HOLD
136,714.26,595.73,10,7738.33,HOLD
137,714.63,595.73,10,7742.03,HOLD
138,686.80,595.73,10,7463.73,HOLD
139,660.32,595.73,10,7198.93,HOLD
140,694.92,595.73,10,7544.93,HOLD
141,708.54,595.73,10,7681.13,HOLD
142,733.23,595.73,10,7928.03,HOLD
143,758.72,595.73,10,8182.93,HOLD
144,776.26,595.73,10,8358.33,HOLD
145,772.16,595.73,10,8317.33,HOLD
146,774.10,595.73,10,8336.73,HOLD
147,792.61,595.73,10,8521.83,HOLD
148,785.66,595.73,10,8452.33,HOLD
149,785.98,595.73,10,8455.53,HOLD
150,814.07,595.73,10,8736.43,HOLD
151,842.61,595.73,10,9021.83,HOLD
152,866.58,595.73,10,9261.53,HOLD
153,900.70,595.73,10,9602.73,HOLD
154,868.36,595.73,10,9279.33,HOLD
155,839.67,595.73,10,8992.43,HOLD
156,827.78,595.73,10,8873.53,HOLD
157,813.32,595.73,10,8728.93,HOLD
158,853.57,595.73,10,9131.43,HOLD
159,850.88,595.73,10,9104.53,HOLD
160,871.50,595.73,10,9310.73,HOLD
161,865.48,595.73,10,9250.53,HOLD
162,869.79,595.73,10,9293.63,HOLD
163,859.77,595.73,10,9193.43,HOLD
164,869.46,595.73,10,9290.33,HOLD
165,884.33,595.73,10,9439.03,HOLD
166,913.98,595.73,10,9735.53,HOLD
167,878.80,595.73,10,9383.73,HOLD
168,897.89,595.73,10,9574.63,HOLD
169,899.01,595.73,10,9585.83,HOLD
170,874.27,595.73,10,9338.43,HOLD
171,890.08,595.73,10,9496.53,HOLD
172,919.74,595.73,10,9793.13,HOLD
173,902.77,595.73,10,9623.43,HOLD
174,897.11,595.73,10,9566.83,HOLD
175,847.56,595.73,10,9071.33,HOLD
176,800.36,595.73,10,8599.33,HOLD
177,817.66,595.73,10,8772.33,HOLD
178,759.40,595.73,10,8189.73,HOLD
179,738.92,595.73,10,7984.93,HOLD
180,768.38,595.73,10,8279.53,HOLD
181,785.45,595.73,10,8450.23,HOLD
182,795.66,595.73,10,8552.33,HOLD
183,814.22,595.73,10,8737.93,HOLD
184,822.03,595.73,10,8816.03,HOLD
185,818.50,595.73,10,8780.73,HOLD
186,834.94,595.73,10,8945.13,HOLD
187,853.49,595.73,10,9130.63,HOLD
188,865.12,595.73,10,9246.93,HOLD
189,872.68,595.73,10,9322.53,HOLD
190,832.70,595.73,10,8922.73,HOLD
191,828.12,595.73,10,8876.93,HOLD
192,799.24,595.73,10,8588.13,HOLD
193,809.18,595.73,10,8687.53,HOLD
194,854.72,595.73,10,9142.93,HOLD
195,866.22,595.73,10,9257.93,HOLD
196,869.36,595.73,10,9289.33,HOLD
197,868.48,595.73,10,9280.53,HOLD
198,882.58,595.73,10,9421.53,HOLD
199,905.70,595.73,10,9652.73,HOLD
200,907.48,595.73,10,9670.53,HOLD
201,859.09,595.73,10,9186.63,HOLD
202,829.76,595.73,10,8893.33,HOLD
203,844.50,595.73,10,9040.73,HOLD
204,867.32,595.73,10,9268.93,HOLD
205,869.00,595.73,10,9285.73,HOLD
206,854.47,595.73,10,9140.43,HOLD
207,836.95,595.73,10,8965.23,HOLD
208,829.81,595.73,10,8893.83,HOLD
209,860.90,595.73,10,9204.73,HOLD
210,857.11,595.73,10,9166.83,HOLD
211,841.43,595.73,10,9010.03,HOLD
212,840.40,595.73,10,8999.73,HOLD
213,848.59,595.73,10,9081.63,HOLD
214,847.68,595.73,10,9072.53,HOLD
215,806.79,595.73,10,8663.63,HOLD
216,800.39,595.73,10,8599.63,HOLD
217,672.57,595.73,10,7321.43,HOLD
218,767.21,595.73,10,8267.83,HOLD
219,783.35,595.73,10,8429.23,HOLD
220,757.08,595.73,10,8166.53,HOLD
221,760.07,595.73,10,8196.43,HOLD
222,706.12,595.73,10,7656.93,HOLD
223,745.32,595.73,10,8048.93,HOLD
224,773.36,595.73,10,8329.33,HOLD
225,776.20,595.73,10,8357.73,HOLD
226,764.97,595.73,10,8245.43,HOLD
227,729.28,595.73,10,7888.53,HOLD
228,738.13,595.73,10,7977.03,HOLD
229,737.77,595.73,10,7973.43,HOLD
230,689.64,595.73,10,7492.13,HOLD
231,682.03,595.73,10,7416.03,HOLD
232,686.37,595.73,10,7459.43,HOLD
233,671.60,595.73,10,7311.73,HOLD
234,661.71,595.73,10,7212.83,HOLD
235,690.40,7499.73,0,7499.73,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
236,674.81,7499.73,0,7499.73,HOLD
