DAY,Price,Cash,Shares,PortfolioValue,Action
0,2177.40,9812.30,0,9812.30,HOLD
1,2164.27,9812.30,0,9812.30,HOLD
2,2232.94,9812.30,0,9812.30,HOLD
3,2238.25,9812.30,0,9812.30,HOLD
4,2139.72,9812.30,0,9812.30,HOLD
5,2182.25,9812.30,0,9812.30,HOLD
6,2230.30,9812.30,0,9812.30,HOLD
7,2186.72,9812.30,0,9812.30,HOLD
8,2049.15,9812.30,0,9812.30,HOLD
9,2059.99,9812.30,0,9812.30,HOLD
10,1808.56,9812.30,0,9812.30,HOLD
11,1439.43,9812.30,0,9812.30,HOLD
12,1679.23,9812.30,0,9812.30,HOLD
13,1664.13,9812.30,0,9812.30,HOLD
14,1818.30,9812.30,0,9812.30,HOLD
15,1893.19,9812.30,0,9812.30,HOLD
16,1880.71,9812.30,0,9812.30,HOLD
17,1902.55,9812.30,0,9812.30,HOLD
18,1897.24,9812.30,0,9812.30,HOLD
19,1972.12,9812.30,0,9812.30,HOLD
20,2019.82,9812.30,0,9812.30,HOLD
21,2107.69,9812.30,0,9812.30,HOLD
22,2178.12,9812.30,0,9812.30,HOLD
23,2105.26,9812.30,0,9812.30,HOLD
24,2143.91,9812.30,0,9812.30,HOLD
25,2101.33,9812.30,0,9812.30,HOLD
26,2150.89,9812.30,0,9812.30,HOLD
27,2190.66,9812.30,0,9812.30,HOLD
28,2221.62,9812.30,0,9812.30,HOLD
29,2252.24,9812.30,0,9812.30,HOLD
30,2283.95,9812.30,0,9812.30,HOLD
31,2393.27,9812.30,0,9812.30,HOLD
32,2270.85,9812.30,0,9812.30,HOLD
33,2344.38,9812.30,0,9812.30,HOLD
34,2382.23,9812.30,0,9812.30,HOLD
35,2388.56,9812.30,0,9812.30,HOLD
36,2398.69,9812.30,0,9812.30,HOLD
37,2268.88,9812.30,0,9812.30,HOLD
38,2355.39,9812.30,0,9812.30,HOLD
39,2375.54,9812.30,0,9812.30,HOLD
40,2356.32,9812.30,0,9812.30,HOLD
41,2316.47,9812.30,0,9812.30,HOLD
42,2339.95,9812.30,0,9812.30,HOLD
43,2459.50,9812.30,0,9812.30,HOLD
44,2536.78,9812.30,0,9812.30,HOLD
45,2583.41,9812.30,0,9812.30,HOLD
46,2644.53,9812.30,0,9812.30,HOLD
47,2703.30,9812.30,0,9812.30,HOLD
48,2761.50,9812.30,0,9812.30,HOLD
49,2716.28,9812.30,0,9812.30,HOLD
50,2869.11,9812.30,0,9812.30,HOLD
51,3096.19,9812.30,0,9812.30,HOLD
52,3003.89,9812.30,0,9812.30,HOLD
53,3142.80,9812.30,0,9812.30,HOLD
54,2947.24,9812.30,0,9812.30,HOLD
55,3085.59,9812.30,0,9812.30,HOLD
