DAY,Price,Cash,Shares,PortfolioValue,Action
0,2177.40,7634.90,1,9812.30,BUY
1,2164.27,5470.63,2,9799.17,BUY
2,2232.94,3237.69,3,9936.51,BUY
3,2238.25,999.44,4,9952.44,BUY
4,2139.72,999.44,4,9558.32,HOLD
5,2182.25,999.44,4,9728.44,HOLD
6,2230.30,999.44,4,9920.64,HOLD
7,2186.72,999.44,4,9746.32,HOLD
8,2049.15,999.44,4,9196.04,HOLD
9,2059.99,999.44,4,9239.40,HOLD
10,1808.56,999.44,4,8233.68,HOLD
11,1439.43,999.44,4,6757.16,HOLD
12,1679.23,999.44,4,7716.36,HOLD
13,1664.13,999.44,4,7655.96,HOLD
14,1818.30,999.44,4,8272.64,HOLD
15,1893.19,999.44,4,8572.20,HOLD
16,1880.71,999.44,4,8522.28,HOLD
17,1902.55,999.44,4,8609.64,HOLD
18,1897.24,999.44,4,8588.40,HOLD
19,1972.12,999.44,4,8887.92,HOLD
20,2019.82,999.44,4,9078.72,HOLD
21,2107.69,999.44,4,9430.20,HOLD
22,2178.12,999.44,4,9711.92,HOLD
23,2105.26,999.44,4,9420.48,HOLD
24,2143.91,999.44,4,9575.08,HOLD
25,2101.33,999.44,4,9404.76,HOLD
26,2150.89,999.44,4,9603.00,HOLD
27,2190.66,999.44,4,9762.08,HOLD
28,2221.62,999.44,4,9885.92,HOLD
29,2252.24,999.44,4,10008.40,HOLD
30,2283.95,999.44,4,10135.24,HOLD
31,2393.27,999.44,4,10572.52,HOLD
32,2270.85,999.44,4,10082.84,HOLD
33,2344.38,999.44,4,10376.96,HOLD
34,2382.23,999.44,4,10528.36,HOLD
35,2388.56,999.44,4,10553.68,HOLD
36,2398.69,999.44,4,10594.20,HOLD
37,2268.88,999.44,4,10074.96,HOLD
38,2355.39,999.44,4,10421.00,HOLD
39,2375.54,999.44,4,10501.60,HOLD
40,2356.32,999.44,4,10424.72,HOLD
41,2316.47,999.44,4,10265.32,HOLD
42,2339.95,999.44,4,10359.24,HOLD
43,2459.50,999.44,4,10837.44,HOLD
44,2536.78,999.44,4,11146.56,HOLD
45,2583.41,999.44,4,11333.08,HOLD
46,2644.53,999.44,4,11577.56,HOLD
47,2703.30,999.44,4,11812.64,HOLD
48,2761.50,999.44,4,12045.44,HOLD
49,2716.28,999.44,4,11864.56,HOLD
50,2869.11,999.44,4,12475.88,HOLD
51,3096.19,999.44,4,13384.20,HOLD
52,3003.89,999.44,4,13015.00,HOLD
53,3142.80,999.44,4,13570.64,HOLD
54,2947.24,999.44,4,12788.40,HOLD
55,3085.59,999.44,4,13341.80,HOLD
56,3115.48,999.44,4,13461.36,HOLD
57,2993.46,999.44,4,12973.28,HOLD
58,3022.54,999.44,4,13089.60,HOLD
59,2964.30,999.44,4,12856.64,HOLD
60,3054.93,999.44,4,13219.16,HOLD
61,2987.83,999.44,4,12950.76,HOLD
62,3069.68,999.44,4,13278.16,HOLD
63,3122.09,999.44,4,13487.80,HOLD
64,3178.99,999.44,4,13715.40,HOLD
65,3174.52,999.44,4,13697.52,HOLD
66,3161.06,999.44,4,13643.68,HOLD
67,3179.63,999.44,4,13717.96,HOLD
68,3131.35,999.44,4,13524.84,HOLD
69,3137.81,999.44,4,13550.68,HOLD
70,3179.87,999.44,4,13718.92,HOLD
71,3233.40,999.44,4,13933.04,HOLD
72,3238.51,999.44,4,13953.48,HOLD
73,3225.56,999.44,4,13901.68,HOLD
74,3291.30,999.44,4,14164.64,HOLD
75,3285.29,999.44,4,14140.60,HOLD
76,3227.51,999.44,4,13909.48,HOLD
77,3236.39,999.44,4,13945.00,HOLD
78,3224.95,999.44,4,13899.24,HOLD
79,3194.00,999.44,4,13775.44,HOLD
80,3251.74,999.44,4,14006.40,HOLD
81,3134.48,999.44,4,13537.36,HOLD
82,3115.23,999.44,4,13460.36,HOLD
83,3130.30,999.44,4,13520.64,HOLD
84,3176.81,999.44,4,13706.68,HOLD
85,3137.32,999.44,4,13548.72,HOLD
86,3119.40,999.44,4,13477.04,HOLD
87,3015.01,999.44,4,13059.48,HOLD
88,2901.51,999.44,4,12605.48,HOLD
89,3014.19,999.44,4,13056.20,HOLD
90,3030.53,999.44,4,13121.56,HOLD
91,2995.58,999.44,4,12981.76,HOLD
92,2949.17,999.44,4,12796.12,HOLD
93,2985.34,999.44,4,12940.80,HOLD
94,2992.14,999.44,4,12968.00,HOLD
95,2822.73,999.44,4,12290.36,HOLD
96,2960.90,999.44,4,12843.04,HOLD
97,2976.16,999.44,4,12904.08,HOLD
98,2955.90,999.44,4,12823.04,HOLD
99,2991.55,999.44,4,12965.64,HOLD
100,2936.73,999.44,4,12746.36,HOLD
101,2950.31,999.44,4,12800.68,HOLD
102,2832.18,999.44,4,12328.16,HOLD
103,2708.10,999.44,4,11831.84,HOLD
104,2718.94,999.44,4,11875.20,HOLD
105,2688.24,999.44,4,11752.40,HOLD
106,2694.90,999.44,4,11779.04,HOLD
107,2658.25,999.44,4,11632.44,HOLD
108,2605.81,999.44,4,11422.68,HOLD
109,2630.03,999.44,4,11519.56,HOLD
110,2720.83,999.44,4,11882.76,HOLD
111,2740.02,999.44,4,11959.52,HOLD
112,2730.66,999.44,4,11922.08,HOLD
113,2672.60,999.44,4,11689.84,HOLD
114,2702.84,999.44,4,11810.80,HOLD
115,2615.50,999.44,4,11461.44,HOLD
116,2667.23,999.44,4,11668.36,HOLD
117,2546.80,999.44,4,11186.64,HOLD
118,2568.54,999.44,4,11273.60,HOLD
119,2602.01,999.44,4,11407.48,HOLD
120,2663.00,999.44,4,11651.44,HOLD
121,2504.51,999.44,4,11017.48,HOLD
122,2372.35,999.44,4,10488.84,HOLD
123,2365.86,999.44,4,10462.88,HOLD
124,2276.63,999.44,4,10105.96,HOLD
125,2337.82,999.44,4,10350.72,HOLD
126,2344.12,999.44,4,10375.92,HOLD
127,2385.65,999.44,4,10542.04,HOLD
128,2437.13,999.44,4,10747.96,HOLD
129,2477.76,999.44,4,10910.48,HOLD
130,2532.20,999.44,4,11128.24,HOLD
131,2431.83,999.44,4,10726.76,HOLD
132,2433.48,999.44,4,10733.36,HOLD
133,2399.26,999.44,4,10596.48,HOLD
134,2401.83,999.44,4,10606.76,HOLD
135,2309.10,999.44,4,10235.84,HOLD
136,2170.14,999.44,4,9680.00,HOLD
137,2215.08,999.44,4,9859.76,HOLD
138,2177.66,999.44,4,9710.08,HOLD
139,2229.85,999.44,4,9918.84,HOLD
140,2273.73,999.44,4,10094.36,HOLD
141,2354.22,999.44,4,10416.32,HOLD
142,2470.60,999.44,4,10881.84,HOLD
143,2409.36,999.44,4,10636.88,HOLD
144,2401.95,999.44,4,10607.24,HOLD
145,2413.05,999.44,4,10651.64,HOLD
146,2368.47,999.44,4,10473.32,HOLD
147,2342.28,999.44,4,10368.56,HOLD
148,2304.20,999.44,4,10216.24,HOLD
149,2180.67,999.44,4,9722.12,HOLD
