DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,28372.27,1,37348.70,BUY
1,9164.66,19207.61,2,37536.93,BUY
2,9346.81,9860.80,3,37901.23,BUY
3,9088.04,772.76,4,37124.92,BUY
4,9188.55,772.76,4,37526.96,HOLD
5,9493.63,772.76,4,38747.28,HOLD
6,9675.80,772.76,4,39475.96,HOLD
7,8940.49,772.76,4,36534.72,HOLD
8,8602.89,772.76,4,35184.32,HOLD
9,7930.43,772.76,4,32494.48,HOLD
10,6828.91,772.76,4,28088.40,HOLD
11,7169.86,772.76,4,29452.20,HOLD
12,7642.86,772.76,4,31344.20,HOLD
13,7881.22,772.76,4,32297.64,HOLD
14,8308.79,772.76,4,34007.92,HOLD
15,8404.54,772.76,4,34390.92,HOLD
16,8765.01,772.76,4,35832.80,HOLD
17,8819.37,772.76,4,36050.24,HOLD
18,8752.68,772.76,4,35783.48,HOLD
19,9304.20,772.76,4,37989.56,HOLD
20,9345.28,772.76,4,38153.88,HOLD
21,9560.41,772.76,4,39014.40,HOLD
22,9491.31,772.76,4,38738.00,HOLD
23,9885.66,772.76,4,40315.40,HOLD
24,9810.47,772.76,4,40014.64,HOLD
25,10194.06,772.76,4,41549.00,HOLD
26,10447.01,772.76,4,42560.80,HOLD
27,10421.20,772.76,4,42457.56,HOLD
28,10217.31,772.76,4,41642.00,HOLD
29,10557.70,772.76,4,43003.56,HOLD
30,10920.37,772.76,4,44454.24,HOLD
31,10972.06,772.76,4,44661.00,HOLD
32,11245.44,772.76,4,45754.52,HOLD
33,11634.77,772.76,4,47311.84,HOLD
34,10875.87,772.76,4,44276.24,HOLD
35,10982.26,772.76,4,44701.80,HOLD
36,10519.49,772.76,4,42850.72,HOLD
37,11019.14,772.76,4,44849.32,HOLD
38,11162.52,772.76,4,45422.84,HOLD
39,11704.13,772.76,4,47589.28,HOLD
40,11454.57,772.76,4,46591.04,HOLD
41,11221.06,772.76,4,45657.00,HOLD
42,10830.94,772.76,4,44096.52,HOLD
43,11703.49,772.76,4,47586.72,HOLD
44,11814.89,772.76,4,48032.32,HOLD
45,11796.53,772.76,4,47958.88,HOLD
46,12263.93,772.76,4,49828.48,HOLD
47,12453.21,772.76,4,50585.60,HOLD
48,12465.42,772.76,4,50634.44,HOLD
49,12695.31,772.76,4,51554.00,HOLD
50,12857.76,772.76,4,52203.80,HOLD
51,12867.34,772.76,4,52242.12,HOLD
52,13098.41,772.76,4,53166.40,HOLD
53,13463.66,772.76,4,54627.40,HOLD
54,12985.05,772.76,4,52712.96,HOLD
55,13761.66,772.76,4,55819.40,HOLD
56,13937.71,772.76,4,56523.60,HOLD
57,13530.96,772.76,4,54896.60,HOLD
58,13362.66,772.76,4,54223.40,HOLD
59,12599.23,772.76,4,51169.68,HOLD
60,13272.50,772.76,4,53862.76,HOLD
61,13278.78,772.76,4,53887.88,HOLD
62,12968.16,772.76,4,52645.40,HOLD
63,13674.28,772.76,4,55469.88,HOLD
64,13902.45,772.76,4,56382.56,HOLD
65,13698.67,772.76,4,55567.44,HOLD
66,14064.28,772.76,4,57029.88,HOLD
67,13485.59,772.76,4,54715.12,HOLD
68,13107.67,772.76,4,53203.44,HOLD
69,13299.92,772.76,4,53972.44,HOLD
70,13631.80,772.76,4,55299.96,HOLD
71,13689.74,772.76,4,55531.72,HOLD
72,13906.45,772.76,4,56398.56,HOLD
73,13903.73,772.76,4,56387.68,HOLD
74,14246.30,772.76,4,57757.96,HOLD
75,14478.06,772.76,4,58685.00,HOLD
76,14371.59,772.76,4,58259.12,HOLD
77,14451.80,772.76,4,58579.96,HOLD
78,14617.87,772.76,4,59244.24,HOLD
79,14761.38,772.76,4,59818.28,HOLD
80,14776.03,772.76,4,59876.88,HOLD
81,14698.94,772.76,4,59568.52,HOLD
82,14423.16,772.76,4,58465.40,HOLD
83,14939.56,772.76,4,60531.00,HOLD
84,15285.35,772.76,4,61914.16,HOLD
85,15111.31,772.76,4,61218.00,HOLD
