DAY,Price,Cash,Shares,PortfolioValue,Action
0,8909.19,37110.90,0,37110.90,HOLD
1,9042.55,37110.90,0,37110.90,HOLD
2,9226.49,37110.90,0,37110.90,HOLD
3,9375.13,37110.90,0,37110.90,HOLD
4,9249.04,37110.90,0,37110.90,HOLD
5,9454.93,37110.90,0,37110.90,HOLD
6,9666.68,37110.90,0,37110.90,HOLD
7,9636.94,37110.90,0,37110.90,HOLD
8,8562.05,37110.90,0,37110.90,HOLD
9,8677.39,37110.90,0,37110.90,HOLD
10,7194.67,37110.90,0,37110.90,HOLD
11,6858.38,37110.90,0,37110.90,HOLD
12,7462.21,37110.90,0,37110.90,HOLD
13,7307.95,37110.90,0,37110.90,HOLD
14,8072.32,37110.90,0,37110.90,HOLD
15,8531.69,37110.90,0,37110.90,HOLD
16,8464.42,37110.90,0,37110.90,HOLD
17,8566.84,37110.90,0,37110.90,HOLD
18,9018.21,37110.90,0,37110.90,HOLD
19,8821.38,37110.90,0,37110.90,HOLD
20,9239.41,37110.90,0,37110.90,HOLD
21,9462.32,37110.90,0,37110.90,HOLD
22,9780.61,37110.90,0,37110.90,HOLD
23,9403.00,37110.90,0,37110.90,HOLD
24,9916.60,37110.90,0,37110.90,HOLD
25,9663.61,37110.90,0,37110.90,HOLD
26,10337.98,37110.90,0,37110.90,HOLD
27,10182.46,37110.90,0,37110.90,HOLD
28,10650.46,37110.90,0,37110.90,HOLD
29,10397.87,37110.90,0,37110.90,HOLD
30,10852.90,37110.90,0,37110.90,HOLD
31,10762.71,37110.90,0,37110.90,HOLD
32,11103.83,37110.90,0,37110.90,HOLD
33,11343.04,37110.90,0,37110.90,HOLD
34,11794.78,37110.90,0,37110.90,HOLD
35,10970.45,37110.90,0,37110.90,HOLD
36,11046.43,37110.90,0,37110.90,HOLD
37,10612.92,37110.90,0,37110.90,HOLD
38,11092.90,37110.90,0,37110.90,HOLD
39,11258.35,37110.90,0,37110.90,HOLD
40,11714.35,37110.90,0,37110.90,HOLD
41,11476.08,37110.90,0,37110.90,HOLD
42,10999.07,37110.90,0,37110.90,HOLD
43,11394.21,37110.90,0,37110.90,HOLD
44,11638.90,37110.90,0,37110.90,HOLD
45,11799.96,37110.90,0,37110.90,HOLD
46,12020.95,37110.90,0,37110.90,HOLD
47,12356.99,37110.90,0,37110.90,HOLD
48,12214.74,37110.90,0,37110.90,HOLD
49,12696.35,37110.90,0,37110.90,HOLD
50,12767.64,37110.90,0,37110.90,HOLD
51,12543.24,37110.90,0,37110.90,HOLD
52,12999.51,37110.90,0,37110.90,HOLD
53,13078.70,37110.90,0,37110.90,HOLD
54,13603.19,37110.90,0,37110.90,HOLD
55,13535.86,37110.90,0,37110.90,HOLD
56,13966.55,37110.90,0,37110.90,HOLD
57,13804.26,37110.90,0,37110.90,HOLD
58,13286.59,37110.90,0,37110.90,HOLD
59,12995.07,37110.90,0,37110.90,HOLD
60,13035.44,37110.90,0,37110.90,HOLD
61,13272.69,37110.90,0,37110.90,HOLD
62,12961.35,37110.90,0,37110.90,HOLD
63,13118.38,37110.90,0,37110.90,HOLD
64,13758.71,37110.90,0,37110.90,HOLD
65,13970.42,37110.90,0,37110.90,HOLD
66,13771.04,37110.90,0,37110.90,HOLD
67,13952.80,37110.90,0,37110.90,HOLD
68,13439.39,37110.90,0,37110.90,HOLD
69,13007.24,37110.90,0,37110.90,HOLD
70,13355.71,37110.90,0,37110.90,HOLD
71,13701.62,37110.90,0,37110.90,HOLD
72,13692.01,37110.90,0,37110.90,HOLD
73,14006.59,37110.90,0,37110.90,HOLD
74,14009.03,37110.90,0,37110.90,HOLD
75,14337.65,37110.90,0,37110.90,HOLD
76,14555.33,37110.90,0,37110.90,HOLD
77,14672.63,37110.90,0,37110.90,HOLD
78,14178.66,37110.90,0,37110.90,HOLD
79,14790.49,37110.90,0,37110.90,HOLD
80,14665.67,37110.90,0,37110.90,HOLD
81,14802.69,37110.90,0,37110.90,HOLD
82,14610.02,37110.90,0,37110.90,HOLD
83,14776.98,37110.90,0,37110.90,HOLD
84,15165.12,37110.90,0,37110.90,HOLD
85,15343.28,37110.90,0,37110.90,HOLD
86,15008.30,37110.90,0,37110.90,HOLD
87,14696.47,37110.90,0,37110.90,HOLD
88,14539.88,37110.90,0,37110.90,HOLD
89,14299.78,37110.90,0,37110.90,HOLD
90,14441.60,37110.90,0,37110.90,HOLD
91,15049.73,37110.90,0,37110.90,HOLD
92,15198.23,37110.90,0,37110.90,HOLD
93,15569.27,37110.90,0,37110.90,HOLD
94,15836.68,37110.90,0,37110.90,HOLD
95,15825.00,37110.90,0,37110.90,HOLD
96,15601.46,37110.90,0,37110.90,HOLD
97,15243.93,37110.90,0,37110.90,HOLD
98,15618.88,37110.90,0,37110.90,HOLD
99,15055.23,37110.90,0,37110.90,HOLD
100,15303.06,37110.90,0,37110.90,HOLD
101,15729.16,37110.90,0,37110.90,HOLD
102,14914.87,37110.90,0,37110.90,HOLD
103,14782.24,37110.90,0,37110.90,HOLD
104,13764.24,37110.90,0,37110.90,HOLD
105,13236.56,37110.90,0,37110.90,HOLD
106,13850.39,37110.90,0,37110.90,HOLD
107,13733.16,37110.90,0,37110.90,HOLD
108,13465.56,37110.90,0,37110.90,HOLD
109,13549.90,37110.90,0,37110.90,HOLD
110,12828.02,37110.90,0,37110.90,HOLD
111,12555.35,37110.90,0,37110.90,HOLD
112,13682.55,37110.90,0,37110.90,HOLD
113,14101.34,37110.90,0,37110.90,HOLD
114,14286.45,37110.90,0,37110.90,HOLD
115,13401.39,37110.90,0,37110.90,HOLD
116,13281.22,37110.90,0,37110.90,HOLD
117,12490.74,37110.90,0,37110.90,HOLD
118,12460.99,37110.90,0,37110.90,HOLD
119,11566.28,37110.90,0,37110.90,HOLD
120,11754.28,37110.90,0,37110.90,HOLD
121,11092.48,37110.90,0,37110.90,HOLD
122,11901.43,37110.90,0,37110.90,HOLD
123,12052.70,37110.90,0,37110.90,HOLD
124,10866.39,37110.90,0,37110.90,HOLD
125,11046.28,37110.90,0,37110.90,HOLD
126,10850.01,37110.90,0,37110.90,HOLD
127,11479.77,37110.90,0,37110.90,HOLD
128,11295.33,37110.90,0,37110.90,HOLD
129,11767.19,37110.90,0,37110.90,HOLD
130,12181.13,37110.90,0,37110.90,HOLD
131,12525.77,37110.90,0,37110.90,HOLD
132,12821.22,37110.90,0,37110.90,HOLD
133,12674.87,37110.90,0,37110.90,HOLD
134,12141.52,37110.90,0,37110.90,HOLD
135,11573.51,37110.90,0,37110.90,HOLD
136,12169.28,37110.90,0,37110.90,HOLD
137,11337.83,37110.90,0,37110.90,HOLD
138,10789.05,37110.90,0,37110.90,HOLD
139,10577.89,37110.90,0,37110.90,HOLD
140,10449.04,37110.90,0,37110.90,HOLD
141,10569.69,37110.90,0,37110.90,HOLD
142,10713.33,37110.90,0,37110.90,HOLD
143,10914.00,37110.90,0,37110.90,HOLD
144,10428.91,37110.90,0,37110.90,HOLD
145,11167.17,37110.90,0,37110.90,HOLD
146,10999.75,37110.90,0,37110.90,HOLD
147,10944.37,37110.90,0,37110.90,HOLD
148,10956.20,37110.90,0,37110.90,HOLD
149,11160.54,37110.90,0,37110.90,HOLD
150,10446.82,37110.90,0,37110.90,HOLD
151,10207.47,37110.90,0,37110.90,HOLD
152,10295.25,37110.90,0,37110.90,HOLD
153,10797.12,37110.90,0,37110.90,HOLD
154,10885.64,37110.90,0,37110.90,HOLD
155,11470.27,37110.90,0,37110.90,HOLD
156,11946.86,37110.90,0,37110.90,HOLD
157,11630.54,37110.90,0,37110.90,HOLD
158,11673.21,37110.90,0,37110.90,HOLD
159,11444.60,37110.90,0,37110.90,HOLD
160,11667.48,37110.90,0,37110.90,HOLD
161,10982.80,37110.90,0,37110.90,HOLD
162,11550.69,37110.90,0,37110.90,HOLD
163,11739.05,37110.90,0,37110.90,HOLD
164,12086.52,37110.90,0,37110.90,HOLD
165,12011.40,37110.90,0,37110.90,HOLD
166,12110.23,37110.90,0,37110.90,HOLD
167,11798.77,37110.90,0,37110.90,HOLD
168,12015.22,37110.90,0,37110.90,HOLD
169,12174.06,37110.90,0,37110.90,HOLD
170,12324.52,37110.90,0,37110.90,HOLD
171,12554.43,37110.90,0,37110.90,HOLD
172,12889.37,37110.90,0,37110.90,HOLD
173,13089.48,37110.90,0,37110.90,HOLD
174,13455.99,37110.90,0,37110.90,HOLD
175,13441.56,37110.90,0,37110.90,HOLD
176,13540.26,37110.90,0,37110.90,HOLD
177,13656.74,37110.90,0,37110.90,HOLD
178,14081.96,37110.90,0,37110.90,HOLD
179,14020.45,37110.90,0,37110.90,HOLD
180,14188.10,37110.90,0,37110.90,HOLD
181,13897.93,37110.90,0,37110.90,HOLD
182,13609.98,37110.90,0,37110.90,HOLD
183,13161.76,37110.90,0,37110.90,HOLD
