DAY,Price,Cash,Shares,PortfolioValue,Action
0,8912.77,38826.30,0,38826.30,HOLD
1,9059.38,38826.30,0,38826.30,HOLD
2,9231.14,38826.30,0,38826.30,HOLD
3,9334.13,38826.30,0,38826.30,HOLD
4,9185.18,38826.30,0,38826.30,HOLD
5,9505.68,38826.30,0,38826.30,HOLD
6,9650.02,38826.30,0,38826.30,HOLD
7,9542.33,38826.30,0,38826.30,HOLD
8,8264.16,38826.30,0,38826.30,HOLD
9,8375.13,38826.30,0,38826.30,HOLD
10,7219.09,38826.30,0,38826.30,HOLD
11,6854.67,38826.30,0,38826.30,HOLD
12,7491.14,38826.30,0,38826.30,HOLD
13,7288.11,38826.30,0,38826.30,HOLD
14,8035.95,38826.30,0,38826.30,HOLD
15,8553.38,38826.30,0,38826.30,HOLD
16,8697.37,38826.30,0,38826.30,HOLD
17,8537.83,38826.30,0,38826.30,HOLD
18,9053.17,38826.30,0,38826.30,HOLD
19,9154.35,38826.30,0,38826.30,HOLD
20,9333.16,38826.30,0,38826.30,HOLD
21,9472.08,38826.30,0,38826.30,HOLD
22,9863.27,38826.30,0,38826.30,HOLD
23,9748.38,38826.30,0,38826.30,HOLD
24,10112.44,38826.30,0,38826.30,HOLD
25,9863.67,38826.30,0,38826.30,HOLD
26,10350.96,38826.30,0,38826.30,HOLD
27,10420.54,38826.30,0,38826.30,HOLD
28,10627.45,38826.30,0,38826.30,HOLD
29,10464.00,38826.30,0,38826.30,HOLD
30,10943.72,38826.30,0,38826.30,HOLD
31,10877.16,38826.30,0,38826.30,HOLD
32,11132.10,38826.30,0,38826.30,HOLD
33,11507.46,38826.30,0,38826.30,HOLD
34,11836.18,38826.30,0,38826.30,HOLD
35,10875.02,38826.30,0,38826.30,HOLD
36,10783.81,38826.30,0,38826.30,HOLD
37,10520.22,38826.30,0,38826.30,HOLD
38,11240.53,38826.30,0,38826.30,HOLD
39,11384.33,38826.30,0,38826.30,HOLD
40,11559.10,38826.30,0,38826.30,HOLD
41,11369.29,38826.30,0,38826.30,HOLD
42,11030.19,38826.30,0,38826.30,HOLD
43,11784.15,38826.30,0,38826.30,HOLD
44,11666.37,38826.30,0,38826.30,HOLD
45,11760.98,38826.30,0,38826.30,HOLD
46,12154.57,38826.30,0,38826.30,HOLD
47,12376.44,38826.30,0,38826.30,HOLD
48,12246.77,38826.30,0,38826.30,HOLD
49,12654.60,38826.30,0,38826.30,HOLD
50,12827.44,38826.30,0,38826.30,HOLD
51,12665.65,38826.30,0,38826.30,HOLD
52,12963.92,38826.30,0,38826.30,HOLD
53,13329.77,38826.30,0,38826.30,HOLD
54,13192.91,38826.30,0,38826.30,HOLD
55,13585.34,38826.30,0,38826.30,HOLD
56,13845.47,38826.30,0,38826.30,HOLD
57,13714.35,38826.30,0,38826.30,HOLD
58,13066.38,38826.30,0,38826.30,HOLD
59,12553.96,38826.30,0,38826.30,HOLD
60,13246.33,38826.30,0,38826.30,HOLD
61,13101.92,38826.30,0,38826.30,HOLD
62,12786.81,38826.30,0,38826.30,HOLD
63,13404.18,38826.30,0,38826.30,HOLD
64,13748.35,38826.30,0,38826.30,HOLD
65,13977.05,38826.30,0,38826.30,HOLD
66,13856.83,38826.30,0,38826.30,HOLD
67,13941.63,38826.30,0,38826.30,HOLD
68,13690.75,38826.30,0,38826.30,HOLD
69,13242.97,38826.30,0,38826.30,HOLD
70,13463.26,38826.30,0,38826.30,HOLD
71,13747.61,38826.30,0,38826.30,HOLD
72,13784.89,38826.30,0,38826.30,HOLD
73,14056.67,38826.30,0,38826.30,HOLD
74,13960.04,38826.30,0,38826.30,HOLD
75,14417.20,38826.30,0,38826.30,HOLD
76,14529.80,38826.30,0,38826.30,HOLD
77,14660.19,38826.30,0,38826.30,HOLD
78,14271.23,38826.30,0,38826.30,HOLD
79,14503.76,38826.30,0,38826.30,HOLD
80,14584.09,38826.30,0,38826.30,HOLD
81,14754.48,38826.30,0,38826.30,HOLD
82,14550.88,38826.30,0,38826.30,HOLD
83,14965.54,38826.30,0,38826.30,HOLD
84,15202.67,38826.30,0,38826.30,HOLD
85,15206.61,38826.30,0,38826.30,HOLD
86,14984.68,38826.30,0,38826.30,HOLD
87,14767.01,38826.30,0,38826.30,HOLD
88,14493.67,38826.30,0,38826.30,HOLD
89,14259.07,38826.30,0,38826.30,HOLD
90,14471.88,38826.30,0,38826.30,HOLD
91,15071.15,38826.30,0,38826.30,HOLD
92,15235.84,38826.30,0,38826.30,HOLD
93,15616.44,38826.30,0,38826.30,HOLD
94,15543.68,38826.30,0,38826.30,HOLD
95,15909.39,38826.30,0,38826.30,HOLD
96,15591.36,38826.30,0,38826.30,HOLD
97,15150.12,38826.30,0,38826.30,HOLD
98,15511.12,38826.30,0,38826.30,HOLD
99,15119.49,38826.30,0,38826.30,HOLD
100,15528.91,38826.30,0,38826.30,HOLD
101,15643.93,38826.30,0,38826.30,HOLD
102,14877.63,38826.30,0,38826.30,HOLD
103,14689.43,38826.30,0,38826.30,HOLD
104,13094.65,38826.30,0,38826.30,HOLD
105,13767.71,38826.30,0,38826.30,HOLD
106,13974.10,38826.30,0,38826.30,HOLD
107,13664.76,38826.30,0,38826.30,HOLD
108,13249.65,38826.30,0,38826.30,HOLD
109,13441.32,38826.30,0,38826.30,HOLD
110,12670.08,38826.30,0,38826.30,HOLD
111,12616.59,38826.30,0,38826.30,HOLD
112,13857.29,38826.30,0,38826.30,HOLD
113,14419.40,38826.30,0,38826.30,HOLD
114,14169.12,38826.30,0,38826.30,HOLD
115,13317.74,38826.30,0,38826.30,HOLD
116,13426.12,38826.30,0,38826.30,HOLD
117,12430.90,38826.30,0,38826.30,HOLD
118,12367.02,38826.30,0,38826.30,HOLD
119,11339.18,38826.30,0,38826.30,HOLD
120,11381.69,38826.30,0,38826.30,HOLD
121,11211.85,38826.30,0,38826.30,HOLD
122,11901.45,38826.30,0,38826.30,HOLD
123,11751.98,38826.30,0,38826.30,HOLD
124,10565.14,38826.30,0,38826.30,HOLD
125,11337.78,38826.30,0,38826.30,HOLD
126,10922.71,38826.30,0,38826.30,HOLD
127,11348.06,38826.30,0,38826.30,HOLD
128,11322.84,38826.30,0,38826.30,HOLD
129,11707.53,38826.30,0,38826.30,HOLD
130,12271.98,38826.30,0,38826.30,HOLD
131,12597.75,38826.30,0,38826.30,HOLD
132,12993.78,38826.30,0,38826.30,HOLD
133,12353.73,38826.30,0,38826.30,HOLD
134,11981.42,38826.30,0,38826.30,HOLD
135,11471.50,38826.30,0,38826.30,HOLD
136,11604.43,38826.30,0,38826.30,HOLD
137,11343.72,38826.30,0,38826.30,HOLD
138,10741.02,38826.30,0,38826.30,HOLD
139,11044.04,38826.30,0,38826.30,HOLD
140,10351.98,38826.30,0,38826.30,HOLD
141,10670.12,38826.30,0,38826.30,HOLD
142,10996.97,38826.30,0,38826.30,HOLD
143,10881.19,38826.30,0,38826.30,HOLD
144,10472.73,38826.30,0,38826.30,HOLD
145,11241.15,38826.30,0,38826.30,HOLD
146,10975.66,38826.30,0,38826.30,HOLD
147,10966.53,38826.30,0,38826.30,HOLD
148,10910.62,38826.30,0,38826.30,HOLD
149,11065.24,38826.30,0,38826.30,HOLD
150,10569.20,38826.30,0,38826.30,HOLD
151,10301.06,38826.30,0,38826.30,HOLD
152,10265.04,38826.30,0,38826.30,HOLD
153,10900.16,38826.30,0,38826.30,HOLD
154,11144.03,38826.30,0,38826.30,HOLD
155,11388.54,38826.30,0,38826.30,HOLD
156,11843.49,38826.30,0,38826.30,HOLD
157,11719.73,38826.30,0,38826.30,HOLD
158,11491.18,38826.30,0,38826.30,HOLD
159,11435.39,38826.30,0,38826.30,HOLD
160,11512.03,38826.30,0,38826.30,HOLD
161,11284.93,38826.30,0,38826.30,HOLD
162,11724.91,38826.30,0,38826.30,HOLD
163,11635.03,38826.30,0,38826.30,HOLD
164,12081.81,38826.30,0,38826.30,HOLD
165,11916.54,38826.30,0,38826.30,HOLD
166,12060.17,38826.30,0,38826.30,HOLD
167,11833.07,38826.30,0,38826.30,HOLD
168,12022.46,38826.30,0,38826.30,HOLD
169,12180.86,38826.30,0,38826.30,HOLD
170,12335.02,38826.30,0,38826.30,HOLD
171,12415.85,38826.30,0,38826.30,HOLD
172,12903.63,38826.30,0,38826.30,HOLD
173,13101.18,38826.30,0,38826.30,HOLD
174,13561.37,38826.30,0,38826.30,HOLD
175,13442.65,38826.30,0,38826.30,HOLD
176,13716.16,38826.30,0,38826.30,HOLD
177,13584.87,38826.30,0,38826.30,HOLD
178,14138.00,38826.30,0,38826.30,HOLD
179,13997.13,38826.30,0,38826.30,HOLD
180,14292.75,38826.30,0,38826.30,HOLD
181,13864.92,38826.30,0,38826.30,HOLD
182,13582.49,38826.30,0,38826.30,HOLD
183,13325.59,38826.30,0,38826.30,HOLD
184,13626.64,38826.30,0,38826.30,HOLD
185,13945.65,38826.30,0,38826.30,HOLD
186,13763.69,38826.30,0,38826.30,HOLD
187,13578.87,38826.30,0,38826.30,HOLD
188,13033.40,38826.30,0,38826.30,HOLD
189,13008.60,38826.30,0,38826.30,HOLD
190,13491.81,38826.30,0,38826.30,HOLD
191,13364.74,38826.30,0,38826.30,HOLD
192,13022.85,38826.30,0,38826.30,HOLD
193,12697.04,38826.30,0,38826.30,HOLD
194,13516.56,38826.30,0,38826.30,HOLD
195,14003.14,38826.30,0,38826.30,HOLD
196,14146.30,38826.30,0,38826.30,HOLD
197,14247.89,38826.30,0,38826.30,HOLD
198,14138.51,38826.30,0,38826.30,HOLD
199,14517.53,38826.30,0,38826.30,HOLD
200,14776.29,38826.30,0,38826.30,HOLD
201,15087.22,38826.30,0,38826.30,HOLD
202,14477.57,38826.30,0,38826.30,HOLD
203,14931.88,38826.30,0,38826.30,HOLD
204,15333.63,38826.30,0,38826.30,HOLD
205,15449.87,38826.30,0,38826.30,HOLD
206,15471.68,38826.30,0,38826.30,HOLD
207,15917.87,38826.30,0,38826.30,HOLD
208,15508.50,38826.30,0,38826.30,HOLD
209,15940.51,38826.30,0,38826.30,HOLD
210,15862.63,38826.30,0,38826.30,HOLD
211,15992.98,38826.30,0,38826.30,HOLD
212,15951.86,38826.30,0,38826.30,HOLD
213,16312.95,38826.30,0,38826.30,HOLD
214,16169.31,38826.30,0,38826.30,HOLD
215,16092.02,38826.30,0,38826.30,HOLD
216,15654.51,38826.30,0,38826.30,HOLD
217,15634.44,38826.30,0,38826.30,HOLD
218,15557.64,38826.30,0,38826.30,HOLD
219,16226.07,38826.30,0,38826.30,HOLD
220,16544.09,38826.30,0,38826.30,HOLD
221,16712.09,38826.30,0,38826.30,HOLD
222,16690.36,38826.30,0,38826.30,HOLD
223,17123.59,38826.30,0,38826.30,HOLD
224,17566.32,38826.30,0,38826.30,HOLD
225,17620.57,38826.30,0,38826.30,HOLD
226,17723.83,38826.30,0,38826.30,HOLD
227,18342.60,38826.30,0,38826.30,HOLD
228,18397.83,38826.30,0,38826.30,HOLD
229,17839.76,38826.30,0,38826.30,HOLD
230,17299.83,38826.30,0,38826.30,HOLD
231,15708.54,38826.30,0,38826.30,HOLD
