DAY,Price,Cash,Shares,PortfolioValue,Action
0,27675.24,141659.96,1,169335.20,BUY
1,28165.13,141659.96,1,169825.09,HOLD
2,28264.07,113395.89,2,169924.03,BUY
3,28790.49,113395.89,2,170976.87,HOLD
4,27980.50,85415.39,3,169356.89,BUY
5,26330.05,59085.34,4,164405.54,BUY
6,27029.49,59085.34,4,167203.30,HOLD
7,27695.60,31389.74,5,169867.74,BUY
8,27383.13,31389.74,5,168305.39,HOLD
9,26419.97,31389.74,5,163489.59,HOLD
10,26315.36,5074.38,6,162966.54,BUY
11,24117.94,5074.38,6,149782.02,HOLD
12,21139.26,26213.64,5,131909.94,SELL
13,23163.67,26213.64,5,142031.99,HOLD
14,22756.13,26213.64,5,139994.29,HOLD
15,24045.18,26213.64,5,146439.54,HOLD
16,24225.55,26213.64,5,147341.39,HOLD
17,24030.54,26213.64,5,146366.34,HOLD
18,23868.02,2345.62,6,145553.74,BUY
19,23979.37,26324.99,5,146221.84,SELL
20,24315.75,2009.24,6,147903.74,BUY
21,23134.61,25143.85,5,140816.90,SELL
22,24219.96,49363.81,4,146243.65,SELL
23,24968.30,49363.81,4,149237.01,HOLD
24,24195.82,25167.99,5,146147.09,BUY
25,24770.95,397.04,6,149022.74,BUY
26,25182.60,397.04,6,151492.64,HOLD
27,25570.36,397.04,6,153819.20,HOLD
28,25015.28,397.04,6,150488.72,HOLD
29,24598.46,397.04,6,147987.80,HOLD
30,24534.79,397.04,6,147605.78,HOLD
31,24167.79,397.04,6,145403.78,HOLD
32,25040.55,397.04,6,150640.34,HOLD
33,24885.86,397.04,6,149712.20,HOLD
34,25258.16,397.04,6,151946.00,HOLD
35,24488.64,397.04,6,147328.88,HOLD
36,24293.03,24690.07,5,146155.22,SELL
37,24295.01,395.06,6,146165.12,BUY
38,23124.25,395.06,6,139140.56,HOLD
39,23842.25,395.06,6,143448.56,HOLD
40,24524.26,24919.32,5,147540.62,SELL
41,24456.84,49376.16,4,147203.52,SELL
42,24586.06,73962.22,3,147720.40,SELL
43,24733.23,49228.99,4,148161.91,BUY
44,26168.63,23060.36,5,153903.51,BUY
45,26344.86,49405.22,4,154784.66,SELL
46,26591.30,75996.52,3,155770.42,SELL
47,26379.48,102376.00,2,155134.96,SELL
48,26445.66,75930.34,3,155267.32,BUY
49,26318.74,49611.60,4,154886.56,BUY
50,26071.76,23539.84,5,153898.64,BUY
51,27163.51,23539.84,5,159357.39,HOLD
52,27538.20,51078.04,4,161230.84,SELL
53,28294.66,51078.04,4,164256.68,HOLD
54,29413.52,21664.52,5,168732.12,BUY
55,28259.73,21664.52,5,162963.17,HOLD
56,29184.09,21664.52,5,167584.97,HOLD
57,30497.40,21664.52,5,174151.52,HOLD
58,30126.40,21664.52,5,172296.52,HOLD
59,28957.31,50621.83,4,166451.07,SELL
60,28326.13,50621.83,4,163926.35,HOLD
61,28872.40,79494.23,3,166111.43,SELL
62,28376.22,107870.45,2,164622.89,SELL
63,28371.23,79499.22,3,164612.91,BUY
64,28604.55,50894.67,4,165312.87,BUY
65,28711.11,22183.56,5,165739.11,BUY
66,28748.57,22183.56,5,165926.41,HOLD
67,28701.69,50885.25,4,165692.01,SELL
68,28530.71,22354.54,5,165008.09,BUY
69,27715.88,22354.54,5,160933.94,HOLD
70,28195.52,22354.54,5,163332.14,HOLD
71,28909.52,22354.54,5,166902.14,HOLD
72,28615.61,22354.54,5,165432.59,HOLD
73,28453.48,50808.02,4,164621.94,SELL
74,28299.66,79107.68,3,164006.66,SELL
75,28924.61,50183.07,4,165881.51,BUY
76,27703.41,77886.48,3,160996.71,SELL
77,27708.71,50177.77,4,161012.61,BUY
78,26971.03,23206.74,5,158061.89,BUY
79,24848.43,23206.74,5,147448.89,HOLD
80,26009.83,23206.74,5,153255.89,HOLD
81,26454.45,23206.74,5,155478.99,HOLD
82,25708.95,48915.69,4,151751.49,SELL
83,25548.47,48915.69,4,151109.57,HOLD
84,25694.11,23221.58,5,151692.13,BUY
85,26164.79,23221.58,5,154045.53,HOLD
86,24990.94,23221.58,5,148176.28,HOLD
87,24313.68,23221.58,5,144789.98,HOLD
88,24346.75,23221.58,5,144955.33,HOLD
89,24595.58,47817.16,4,146199.48,SELL
90,25123.25,47817.16,4,148310.16,HOLD
91,25929.67,21887.49,5,151535.84,BUY
92,24972.50,21887.49,5,146749.99,HOLD
93,24633.57,21887.49,5,145055.34,HOLD
94,25230.33,21887.49,5,148039.14,HOLD
95,24869.94,21887.49,5,146237.19,HOLD
96,23774.31,21887.49,5,140759.04,HOLD
97,23314.97,45202.46,4,138462.34,SELL
98,23936.93,21265.53,5,140950.18,BUY
99,22665.25,43930.78,4,134591.78,SELL
100,23099.48,67030.26,3,136328.70,SELL
101,23146.89,43883.37,4,136470.93,BUY
102,23595.01,67478.38,3,138263.41,SELL
