DAY,Price,Cash,Shares,PortfolioValue,Action
0,27675.24,169335.20,0,169335.20,HOLD
1,28165.13,169335.20,0,169335.20,HOLD
2,28264.07,169335.20,0,169335.20,HOLD
3,28790.49,140544.71,1,169335.20,BUY
4,27980.50,112564.21,2,168525.21,BUY
5,26330.05,86234.16,3,165224.31,BUY
6,27029.49,59204.67,4,167322.63,BUY
7,27695.60,86900.27,3,169987.07,SELL
8,27383.13,114283.40,2,169049.66,SELL
9,26419.97,87863.43,3,167123.34,BUY
10,26315.36,87863.43,3,166809.51,HOLD
11,24117.94,87863.43,3,160217.25,HOLD
12,21139.26,66724.17,4,151281.21,BUY
13,23163.67,89887.84,3,159378.85,SELL
14,22756.13,89887.84,3,158156.23,HOLD
15,24045.18,89887.84,3,162023.38,HOLD
16,24225.55,65662.29,4,162564.49,BUY
17,24030.54,89692.83,3,161784.45,SELL
18,23868.02,65824.81,4,161296.89,BUY
19,23979.37,89804.18,3,161742.29,SELL
20,24315.75,114119.93,2,162751.43,SELL
21,23134.61,90985.32,3,160389.15,BUY
22,24219.96,115205.28,2,163645.20,SELL
23,24968.30,90236.98,3,165141.88,BUY
24,24195.82,90236.98,3,162824.44,HOLD
25,24770.95,90236.98,3,164549.83,HOLD
26,25182.60,65054.38,4,165784.78,BUY
27,25570.36,90624.74,3,167335.82,SELL
28,25015.28,65609.46,4,165670.58,BUY
29,24598.46,90207.92,3,164003.30,SELL
30,24534.79,90207.92,3,163812.29,HOLD
31,24167.79,66040.13,4,162711.29,BUY
32,25040.55,66040.13,4,166202.33,HOLD
33,24885.86,66040.13,4,165583.57,HOLD
34,25258.16,40781.97,5,167072.77,BUY
35,24488.64,65270.61,4,163225.17,SELL
36,24293.03,65270.61,4,162442.73,HOLD
37,24295.01,89565.62,3,162450.65,SELL
38,23124.25,112689.87,2,158938.37,SELL
39,23842.25,136532.12,1,160374.37,SELL
40,24524.26,112007.86,2,161056.38,BUY
41,24456.84,87551.02,3,160921.54,BUY
42,24586.06,62964.96,4,161309.20,BUY
43,24733.23,62964.96,4,161897.88,HOLD
44,26168.63,89133.59,3,167639.48,SELL
45,26344.86,89133.59,3,168168.17,HOLD
46,26591.30,62542.29,4,168907.49,BUY
47,26379.48,88921.77,3,168060.21,SELL
48,26445.66,88921.77,3,168258.75,HOLD
49,26318.74,88921.77,3,167877.99,HOLD
50,26071.76,114993.53,2,167137.05,SELL
51,27163.51,114993.53,2,169320.55,HOLD
52,27538.20,87455.33,3,170069.93,BUY
53,28294.66,87455.33,3,172339.31,HOLD
54,29413.52,58041.81,4,175695.89,BUY
55,28259.73,86301.54,3,171080.73,SELL
56,29184.09,57117.45,4,173853.81,BUY
57,30497.40,87614.85,3,179107.05,SELL
58,30126.40,57488.45,4,177994.05,BUY
59,28957.31,57488.45,4,173317.69,HOLD
60,28326.13,29162.32,5,170792.97,BUY
61,28872.40,58034.72,4,173524.32,SELL
62,28376.22,86410.94,3,171539.60,SELL
63,28371.23,114782.17,2,171524.63,SELL
64,28604.55,143386.72,1,171991.27,SELL
65,28711.11,114675.61,2,172097.83,BUY
66,28748.57,114675.61,2,172172.75,HOLD
67,28701.69,114675.61,2,172078.99,HOLD
68,28530.71,86144.90,3,171737.03,BUY
69,27715.88,86144.90,3,169292.54,HOLD
70,28195.52,86144.90,3,170731.46,HOLD
71,28909.52,115054.42,2,172873.46,SELL
72,28615.61,143670.03,1,172285.64,SELL
73,28453.48,115216.55,2,172123.51,BUY
74,28299.66,86916.89,3,171815.87,BUY
75,28924.61,57992.28,4,173690.72,BUY
76,27703.41,30288.87,5,168805.92,BUY
77,27708.71,57997.58,4,168832.42,SELL
78,26971.03,31026.55,5,165881.70,BUY
79,24848.43,6178.12,6,155268.70,BUY
80,26009.83,6178.12,6,162237.10,HOLD
81,26454.45,6178.12,6,164904.82,HOLD
82,25708.95,6178.12,6,160431.82,HOLD
83,25548.47,6178.12,6,159468.94,HOLD
84,25694.11,6178.12,6,160342.78,HOLD
85,26164.79,6178.12,6,163166.86,HOLD
86,24990.94,6178.12,6,156123.76,HOLD
87,24313.68,6178.12,6,152060.20,HOLD
88,24346.75,30524.87,5,152258.62,SELL
89,24595.58,30524.87,5,153502.77,HOLD
90,25123.25,30524.87,5,156141.12,HOLD
91,25929.67,56454.54,4,160173.22,SELL
92,24972.50,81427.04,3,156344.54,SELL
93,24633.57,81427.04,3,155327.75,HOLD
94,25230.33,56196.71,4,157118.03,BUY
95,24869.94,31326.77,5,155676.47,BUY
96,23774.31,7552.46,6,150198.32,BUY
97,23314.97,7552.46,6,147442.28,HOLD
98,23936.93,7552.46,6,151174.04,HOLD
99,22665.25,7552.46,6,143543.96,HOLD
100,23099.48,7552.46,6,146149.34,HOLD
101,23146.89,30699.35,5,146433.80,SELL
102,23595.01,30699.35,5,148674.40,HOLD
103,24009.71,30699.35,5,150747.90,HOLD
104,24001.96,54701.31,4,150709.15,SELL
105,24140.89,54701.31,4,151264.87,HOLD
106,24732.65,29968.66,5,153631.91,BUY
107,24284.53,5684.13,6,151391.31,BUY
108,22718.15,5684.13,6,141993.03,HOLD
109,21838.99,5684.13,6,136718.07,HOLD
110,20079.15,25763.28,5,126159.03,SELL
111,20922.37,46685.65,4,130375.13,SELL
112,21289.26,46685.65,4,131842.69,HOLD
113,21558.05,25127.60,5,132917.85,BUY
114,21132.54,3995.06,6,130790.30,BUY
115,20889.02,24884.08,5,129329.18,SELL
116,19665.49,24884.08,5,123211.53,HOLD
117,20776.97,24884.08,5,128768.93,HOLD
118,19608.26,5275.82,6,122925.38,BUY
119,20408.68,5275.82,6,127727.90,HOLD
120,20494.15,5275.82,6,128240.72,HOLD
121,21030.07,26305.89,5,131456.24,SELL
122,20993.76,26305.89,5,131274.69,HOLD
123,20839.02,5466.87,6,130500.99,BUY
124,21976.80,5466.87,6,137327.67,HOLD
125,21799.19,27266.06,5,136262.01,SELL
126,20779.59,27266.06,5,131164.01,HOLD
127,20549.44,6716.62,6,130013.26,BUY
128,20631.82,6716.62,6,130507.54,HOLD
129,19515.54,26232.16,5,123809.86,SELL
130,19856.23,6375.93,6,125513.31,BUY
131,19662.61,6375.93,6,124351.59,HOLD
132,19377.09,6375.93,6,122638.47,HOLD
133,19645.57,6375.93,6,124249.35,HOLD
134,19107.60,6375.93,6,121021.53,HOLD
135,18797.79,6375.93,6,119162.67,HOLD
136,18434.65,6375.93,6,116983.83,HOLD
137,17184.54,23560.47,5,109483.17,SELL
138,17958.14,23560.47,5,113351.17,HOLD
139,16389.11,7171.36,6,105506.02,BUY
140,16010.72,7171.36,6,103235.68,HOLD
141,15410.97,7171.36,6,99637.18,HOLD
142,15301.67,7171.36,6,98981.38,HOLD
143,15945.20,23116.56,5,102842.56,SELL
144,17711.84,40828.40,4,111675.76,SELL
145,17517.12,23311.28,5,110896.88,BUY
146,18679.35,4631.93,6,116708.03,BUY
147,18965.05,4631.93,6,118422.23,HOLD
148,19233.86,4631.93,6,120035.09,HOLD
149,19475.68,4631.93,6,121486.01,HOLD
150,19303.73,23935.66,5,120454.31,SELL
151,21187.73,23935.66,5,129874.31,HOLD
152,21417.25,2518.41,6,131021.91,BUY
153,22483.78,2518.41,6,137421.09,HOLD
154,21459.65,23978.06,5,131276.31,SELL
155,21157.52,23978.06,5,129765.66,HOLD
156,20703.74,44681.80,4,127496.76,SELL
157,20006.78,24675.02,5,124708.92,BUY
158,20498.16,4176.86,6,127165.82,BUY
159,19281.97,4176.86,6,119868.68,HOLD
160,19303.29,4176.86,6,119996.60,HOLD
161,19834.45,24011.31,5,123183.56,SELL
162,20357.41,24011.31,5,125798.36,HOLD
163,20236.92,24011.31,5,125195.91,HOLD
164,20336.71,44348.02,4,125694.86,SELL
165,19520.97,63868.99,3,122431.90,SELL
166,19695.73,44173.26,4,122956.18,BUY
167,19567.62,44173.26,4,122443.74,HOLD
168,19630.76,44173.26,4,122696.30,HOLD
169,18620.84,25552.42,5,118656.62,BUY
170,18548.30,25552.42,5,118293.92,HOLD
171,19231.13,6321.29,6,121708.07,BUY
172,19876.42,26197.71,5,125579.81,SELL
173,18767.15,44964.86,4,120033.46,SELL
174,19002.55,44964.86,4,120975.06,HOLD
175,18417.63,26547.23,5,118635.38,BUY
176,19413.78,7133.45,6,123616.13,BUY
177,18562.12,7133.45,6,118506.17,HOLD
178,20019.79,7133.45,6,127252.19,HOLD
179,19352.35,26485.80,5,123247.55,SELL
180,18554.51,7931.29,6,119258.35,BUY
181,17587.38,7931.29,6,113455.57,HOLD
182,18113.23,7931.29,6,116610.67,HOLD
183,18431.72,7931.29,6,118521.61,HOLD
184,17954.97,7931.29,6,115661.11,HOLD
185,17833.20,7931.29,6,114930.49,HOLD
186,17472.11,25403.40,5,112763.95,SELL
187,17197.61,8205.79,6,111391.45,BUY
188,18175.35,26381.14,5,117257.89,SELL
189,17292.36,9088.78,6,112842.94,BUY
190,17078.24,9088.78,6,111558.22,HOLD
191,17352.60,9088.78,6,113204.38,HOLD
192,17177.53,9088.78,6,112153.96,HOLD
193,17413.46,9088.78,6,113569.54,HOLD
194,17545.61,26634.39,5,114362.44,SELL
195,16830.30,9804.09,6,110785.89,BUY
196,16249.15,9804.09,6,107298.99,HOLD
197,16610.70,9804.09,6,109468.29,HOLD
198,16271.50,26075.59,5,107433.09,SELL
199,16564.80,9510.79,6,108899.59,BUY
200,16036.42,9510.79,6,105729.31,HOLD
201,15194.94,9510.79,6,100680.43,HOLD
202,15412.10,9510.79,6,101983.39,HOLD
203,15411.66,9510.79,6,101980.75,HOLD
204,16035.43,25546.22,5,105723.37,SELL
205,15937.28,41483.50,4,105232.62,SELL
206,16654.68,41483.50,4,108102.22,HOLD
207,16321.12,25162.38,5,106767.98,BUY
208,16275.39,25162.38,5,106539.33,HOLD
209,16550.42,8611.96,6,107914.48,BUY
210,16341.61,24953.57,5,106661.62,SELL
211,16811.74,24953.57,5,109012.27,HOLD
212,16918.36,41871.93,4,109545.37,SELL
213,16155.83,25716.10,5,106495.25,BUY
214,16934.65,42650.75,4,110389.35,SELL
215,17740.62,60391.37,3,113613.23,SELL
216,18278.11,78669.48,2,115225.70,SELL
217,19342.96,78669.48,2,117355.40,HOLD
218,18532.41,60137.07,3,115734.30,BUY
219,18077.39,42059.68,4,114369.24,BUY
220,18302.33,42059.68,4,115269.00,HOLD
221,17752.96,24306.72,5,113071.52,BUY
222,17789.57,42096.29,4,113254.57,SELL
223,17669.42,42096.29,4,112773.97,HOLD
224,17376.48,42096.29,4,111602.21,HOLD
225,17727.98,42096.29,4,113008.21,HOLD
226,17451.86,24644.43,5,111903.73,BUY
227,16971.60,41616.03,4,109502.43,SELL
228,16611.14,58227.17,3,108060.59,SELL
229,17074.69,75301.86,2,109451.24,SELL
230,17449.99,92751.85,1,110201.84,SELL
231,17624.42,75127.43,2,110376.27,BUY
232,17583.70,57543.73,3,110294.83,BUY
233,16964.28,57543.73,3,108436.57,HOLD
234,17602.45,57543.73,3,110351.08,HOLD
235,19176.58,57543.73,3,115073.47,HOLD
236,21824.68,35719.05,4,123017.77,BUY
237,20693.75,56412.80,3,118494.05,SELL
238,20423.09,56412.80,3,117682.07,HOLD
239,20428.94,56412.80,3,117699.62,HOLD
240,20446.26,35966.54,4,117751.58,BUY
241,20151.38,35966.54,4,116572.06,HOLD
242,19470.43,55436.97,3,113848.26,SELL
243,19102.06,36334.91,4,112743.15,BUY
244,19387.20,55722.11,3,113883.71,SELL
245,19695.51,75417.62,2,114808.64,SELL
246,19726.15,114869.92,0,114869.92,LIQUIDATE;LIQUIDATE
247,19746.46,114869.92,0,114869.92,HOLD
