DAY,Price,Cash,Shares,PortfolioValue,Action
0,27830.08,147639.70,0,147639.70,HOLD
1,28245.97,147639.70,0,147639.70,HOLD
2,28325.86,147639.70,0,147639.70,HOLD
3,28709.57,118930.13,1,147639.70,BUY
4,27706.37,146636.50,0,146636.50,SELL
5,26145.59,146636.50,0,146636.50,HOLD
6,27044.88,119591.62,1,146636.50,BUY
7,27766.71,119591.62,1,147358.33,HOLD
8,26813.22,92778.40,2,146404.84,BUY
9,26077.73,118856.13,1,144933.86,SELL
10,24948.38,93907.75,2,143804.51,BUY
11,22842.25,93907.75,2,139592.25,HOLD
12,21659.55,72248.20,3,137226.85,BUY
13,22973.33,95221.53,2,141168.19,SELL
14,23271.47,95221.53,2,141764.47,HOLD
15,24090.50,119312.03,1,143402.53,SELL
16,23483.31,119312.03,1,142795.34,HOLD
17,24549.62,119312.03,1,143861.65,HOLD
18,24097.12,119312.03,1,143409.15,HOLD
19,23671.61,119312.03,1,142983.64,HOLD
20,22878.26,119312.03,1,142190.29,HOLD
21,22781.11,119312.03,1,142093.14,HOLD
22,24253.56,95058.47,2,143565.59,BUY
23,23895.03,71163.44,3,142848.53,BUY
24,24334.36,71163.44,3,144166.52,HOLD
25,24148.62,47014.82,4,143609.30,BUY
26,25911.74,47014.82,4,150661.78,HOLD
27,25254.32,21760.50,5,148032.10,BUY
28,25378.38,21760.50,5,148652.40,HOLD
29,24642.35,46402.85,4,144972.25,SELL
30,24539.44,46402.85,4,144560.61,HOLD
31,24662.04,71064.89,3,145051.01,SELL
32,25257.88,71064.89,3,146838.53,HOLD
33,25352.26,45712.63,4,147121.67,BUY
34,24995.45,70708.08,3,145694.43,SELL
35,24341.32,70708.08,3,143732.04,HOLD
36,24621.65,46086.43,4,144573.03,BUY
37,23675.62,69762.05,3,140788.91,SELL
38,23256.92,69762.05,3,139532.81,HOLD
39,24021.93,93783.98,2,141827.84,SELL
40,24102.21,93783.98,2,141988.40,HOLD
41,24556.55,93783.98,2,142897.08,HOLD
42,24029.95,93783.98,2,141843.88,HOLD
43,25540.98,68243.00,3,144865.94,BUY
44,25909.18,68243.00,3,145970.54,HOLD
45,26313.28,68243.00,3,147182.84,HOLD
46,26704.60,94947.60,2,148356.80,SELL
47,26652.34,68295.26,3,148252.28,BUY
48,26443.01,41852.25,4,147624.29,BUY
49,26363.05,15489.20,5,147304.45,BUY
50,26264.32,41753.52,4,146810.80,SELL
51,27150.38,14603.14,5,150355.04,BUY
52,27781.42,14603.14,5,153510.24,HOLD
53,29100.17,14603.14,5,160103.99,HOLD
54,29345.74,43948.88,4,161331.84,SELL
55,29198.86,73147.74,3,160744.32,SELL
56,29263.98,73147.74,3,160939.68,HOLD
57,30570.55,73147.74,3,164859.39,HOLD
58,29833.05,102980.79,2,162646.89,SELL
59,29102.10,102980.79,2,161184.99,HOLD
60,28893.21,74087.58,3,160767.21,BUY
61,29317.61,74087.58,3,162040.41,HOLD
62,27505.08,46582.50,4,156602.82,BUY
63,28511.65,75094.15,3,160629.10,SELL
64,28452.12,75094.15,3,160450.51,HOLD
65,28885.55,103979.70,2,161750.80,SELL
66,28793.22,75186.48,3,161566.14,BUY
67,28321.34,103507.82,2,160150.50,SELL
68,27910.71,75597.11,3,159329.24,BUY
69,28438.03,104035.14,2,160911.20,SELL
70,29027.95,75007.19,3,162091.04,BUY
71,29208.73,104215.92,2,162633.38,SELL
72,28687.69,104215.92,2,161591.30,HOLD
73,28216.09,75999.83,3,160648.10,BUY
74,28782.34,104782.17,2,162346.85,SELL
75,28231.73,133013.90,1,161245.63,SELL
76,26861.87,106152.03,2,159875.77,BUY
77,27878.53,134030.56,1,161909.09,SELL
78,27222.04,134030.56,1,161252.60,HOLD
79,25636.89,108393.67,2,159667.45,BUY
80,26002.41,134396.08,1,160398.49,SELL
81,26200.24,134396.08,1,160596.32,HOLD
82,24581.60,109814.48,2,158977.68,BUY
83,25304.62,84509.86,3,160423.72,BUY
84,25811.77,110321.63,2,161945.17,SELL
85,25870.71,136192.34,1,162063.05,SELL
86,24424.74,111767.60,2,160617.08,BUY
87,24131.42,111767.60,2,160030.44,HOLD
88,23681.44,88086.16,3,159130.48,BUY
89,24865.80,63220.36,4,162683.56,BUY
90,25915.62,89135.98,3,166882.84,SELL
91,25555.17,63580.81,4,165801.49,BUY
92,24808.59,63580.81,4,162815.17,HOLD
93,24481.26,88062.07,3,161505.85,SELL
94,25520.67,113582.74,2,164624.08,SELL
95,24557.63,138140.37,1,162698.00,SELL
96,23537.65,161678.02,0,161678.02,SELL
97,23907.30,161678.02,0,161678.02,HOLD
98,23325.92,161678.02,0,161678.02,HOLD
99,22979.76,161678.02,0,161678.02,HOLD
100,22990.24,161678.02,0,161678.02,HOLD
101,22709.60,138968.42,1,161678.02,BUY
102,24289.19,138968.42,1,163257.61,HOLD
103,24233.18,138968.42,1,163201.60,HOLD
104,23565.00,162533.42,0,162533.42,SELL
105,24149.75,138383.67,1,162533.42,BUY
106,24219.90,162603.57,0,162603.57,SELL
107,23336.78,139266.79,1,162603.57,BUY
108,22591.73,161858.52,0,161858.52,SELL
109,20638.95,161858.52,0,161858.52,HOLD
110,18235.48,161858.52,0,161858.52,HOLD
111,21266.90,161858.52,0,161858.52,HOLD
112,21722.17,140136.35,1,161858.52,BUY
113,22015.12,162151.47,0,162151.47,SELL
114,21141.06,141010.41,1,162151.47,BUY
115,20184.96,161195.37,0,161195.37,SELL
116,20040.07,161195.37,0,161195.37,HOLD
117,19178.89,161195.37,0,161195.37,HOLD
118,20169.24,161195.37,0,161195.37,HOLD
119,19989.62,161195.37,0,161195.37,HOLD
120,21029.72,161195.37,0,161195.37,HOLD
121,21734.49,139460.88,1,161195.37,BUY
