DAY,Price,Cash,Shares,PortfolioValue,Action
0,27792.66,123294.84,1,151087.50,BUY
1,28428.17,94866.67,2,151723.01,BUY
2,28504.27,94866.67,2,151875.21,HOLD
3,28813.13,123679.80,1,152492.93,SELL
4,27774.50,123679.80,1,151454.30,HOLD
5,26491.66,123679.80,1,150171.46,HOLD
6,27436.99,96242.81,2,151116.79,BUY
7,27496.25,123739.06,1,151235.31,SELL
8,26667.04,150406.10,0,150406.10,SELL
9,26233.39,124172.71,1,150406.10,BUY
10,24978.97,149151.68,0,149151.68,SELL
11,22676.46,126475.22,1,149151.68,BUY
12,22383.25,104091.97,2,148858.47,BUY
13,23238.04,104091.97,2,150568.05,HOLD
14,23796.03,127888.00,1,151684.03,SELL
15,23854.79,104033.21,2,151742.79,BUY
16,23806.30,80226.91,3,151645.81,BUY
17,23584.95,103811.86,2,150981.76,SELL
18,24470.18,79341.68,3,152752.22,BUY
19,23722.17,79341.68,3,150508.19,HOLD
20,22519.73,79341.68,3,146900.87,HOLD
21,23539.91,55801.77,4,149961.41,BUY
22,24678.55,31123.22,5,154515.97,BUY
23,23684.96,31123.22,5,149548.02,HOLD
24,24391.17,55514.39,4,153079.07,SELL
25,24271.77,55514.39,4,152601.47,HOLD
26,25849.78,29664.61,5,158913.51,BUY
27,25299.36,4365.25,6,156161.41,BUY
28,25057.94,29423.19,5,154712.89,SELL
29,24671.51,4751.68,6,152780.74,BUY
30,24868.29,4751.68,6,153961.42,HOLD
31,24685.44,4751.68,6,152864.32,HOLD
32,25079.25,29830.93,5,155227.18,SELL
33,25360.03,4470.90,6,156631.08,BUY
34,24931.17,29402.07,5,154057.92,SELL
35,24213.36,5188.71,6,150468.87,BUY
36,24635.24,5188.71,6,153000.15,HOLD
37,23559.99,28748.70,5,146548.65,SELL
38,23368.49,52117.19,4,145591.15,SELL
39,24059.29,76176.48,3,148354.35,SELL
40,24194.41,51982.07,4,148759.71,BUY
41,24683.25,27298.82,5,150715.07,BUY
42,24232.66,51531.48,4,148462.12,SELL
43,25950.41,51531.48,4,155333.12,HOLD
44,26191.54,25339.94,5,156297.64,BUY
45,26369.34,25339.94,5,157186.64,HOLD
46,26322.68,25339.94,5,156953.34,HOLD
47,26256.40,25339.94,5,156621.94,HOLD
48,26318.11,25339.94,5,156930.49,HOLD
49,26274.65,51614.59,4,156713.19,SELL
50,26432.91,51614.59,4,157346.23,HOLD
51,27389.78,79004.37,3,161173.71,SELL
52,28136.64,107141.01,2,163414.29,SELL
53,29676.54,136817.55,1,166494.09,SELL
54,29194.37,166011.92,0,166011.92,SELL
55,28967.01,137044.91,1,166011.92,BUY
56,29732.23,166777.14,0,166777.14,SELL
57,30099.71,166777.14,0,166777.14,HOLD
58,28980.21,166777.14,0,166777.14,HOLD
59,28513.13,166777.14,0,166777.14,HOLD
60,28707.35,166777.14,0,166777.14,HOLD
61,28737.54,166777.14,0,166777.14,HOLD
62,28014.29,138762.85,1,166777.14,BUY
63,28598.86,110163.99,2,167361.71,BUY
64,28685.06,110163.99,2,167534.11,HOLD
65,28506.76,81657.23,3,167177.51,BUY
66,28887.33,52769.90,4,168319.22,BUY
67,28325.96,24443.94,5,166073.74,BUY
68,27897.47,24443.94,5,163931.29,HOLD
69,28293.23,52737.17,4,165910.09,SELL
70,28950.72,23786.45,5,168540.05,BUY
71,28902.67,52689.12,4,168299.80,SELL
72,28664.94,24024.18,5,167348.88,BUY
73,28532.08,24024.18,5,166684.58,HOLD
74,28971.60,24024.18,5,168882.18,HOLD
75,28042.71,24024.18,5,164237.73,HOLD
76,27420.35,24024.18,5,161125.93,HOLD
77,27397.29,51421.47,4,161010.63,SELL
78,26177.40,25244.07,5,156131.07,BUY
79,25743.09,25244.07,5,153959.52,HOLD
80,25920.85,25244.07,5,154848.32,HOLD
81,26046.90,51290.97,4,155478.57,SELL
82,25036.99,51290.97,4,151438.93,HOLD
83,25219.80,26071.17,5,152170.17,BUY
84,25827.17,51898.34,4,155207.02,SELL
85,25570.84,77469.18,3,154181.70,SELL
86,23871.84,101341.02,2,149084.70,SELL
87,24232.98,77108.04,3,149806.98,BUY
88,23812.35,77108.04,3,148545.09,HOLD
89,24836.76,77108.04,3,151618.32,HOLD
90,25840.59,102948.63,2,154629.81,SELL
91,25473.16,77475.47,3,153894.95,BUY
92,25010.36,77475.47,3,152506.55,HOLD
93,24836.21,102311.68,2,151984.10,SELL
94,25222.60,102311.68,2,152756.88,HOLD
95,24532.82,102311.68,2,151377.32,HOLD
96,23517.52,78794.16,3,149346.72,BUY
97,24153.72,102947.88,2,151255.32,SELL
98,23155.62,79792.26,3,149259.12,BUY
99,23027.15,102819.41,2,148873.71,SELL
100,23394.77,126214.18,1,149608.95,SELL
101,23162.85,149377.03,0,149377.03,SELL
102,24140.81,125236.22,1,149377.03,BUY
103,24723.92,149960.14,0,149960.14,SELL
104,23507.03,149960.14,0,149960.14,HOLD
105,24690.45,125269.69,1,149960.14,BUY
106,24548.05,100721.64,2,149817.74,BUY
107,23500.92,77220.72,3,147723.48,BUY
108,22299.14,77220.72,3,144118.14,HOLD
109,20102.57,57118.15,4,137528.43,BUY
110,18584.04,75702.19,3,131454.31,SELL
111,21983.10,75702.19,3,141651.49,HOLD
112,22033.78,97735.97,2,141803.53,SELL
113,21779.19,119515.16,1,141294.35,SELL
114,21358.73,140873.89,0,140873.89,SELL
115,19784.28,140873.89,0,140873.89,HOLD
116,20648.53,140873.89,0,140873.89,HOLD
117,19474.03,140873.89,0,140873.89,HOLD
118,20389.61,140873.89,0,140873.89,HOLD
119,20067.98,120805.91,1,140873.89,BUY
120,21154.04,99651.87,2,141959.95,BUY
121,21737.94,121389.81,1,143127.75,SELL
122,20697.41,121389.81,1,142087.22,HOLD
123,21010.89,142400.70,0,142400.70,SELL
124,21719.17,120681.53,1,142400.70,BUY
125,21614.65,142296.18,0,142296.18,SELL
126,20215.97,122080.21,1,142296.18,BUY
127,20513.80,122080.21,1,142594.01,HOLD
128,20050.05,102030.16,2,142130.26,BUY
129,20096.54,122126.70,1,142223.24,SELL
130,20011.38,102115.32,2,142138.08,BUY
131,19656.80,82458.52,3,141428.92,BUY
132,20050.97,102509.49,2,142611.43,SELL
133,19342.49,121851.98,1,141194.47,SELL
134,18893.65,140745.63,0,140745.63,SELL
135,18494.54,140745.63,0,140745.63,HOLD
136,17727.40,140745.63,0,140745.63,HOLD
137,16906.96,123838.67,1,140745.63,BUY
138,16789.97,140628.64,0,140628.64,SELL
139,16558.41,124070.23,1,140628.64,BUY
140,14947.39,139017.62,0,139017.62,SELL
141,14859.92,139017.62,0,139017.62,HOLD
142,16429.81,139017.62,0,139017.62,HOLD
143,17552.30,121465.32,1,139017.62,BUY
144,17287.60,138752.92,0,138752.92,SELL
145,17536.45,121216.47,1,138752.92,BUY
146,19202.87,121216.47,1,140419.34,HOLD
147,19382.30,101834.17,2,140598.77,BUY
148,18885.20,101834.17,2,139604.57,HOLD
149,19539.84,82294.33,3,140913.85,BUY
