DAY,Price,Cash,Shares,PortfolioValue,Action
0,28000.62,128309.38,1,156310.00,BUY
1,28054.29,128309.38,1,156363.67,HOLD
2,28671.84,128309.38,1,156981.22,HOLD
3,28795.42,128309.38,1,157104.80,HOLD
4,27101.54,101207.84,2,155410.92,BUY
5,26641.92,74565.92,3,154491.68,BUY
6,27614.83,102180.75,2,157410.41,SELL
7,27448.60,102180.75,2,157077.95,HOLD
8,26479.90,128660.65,1,155140.55,SELL
9,26038.39,102622.26,2,154699.04,BUY
10,25140.38,102622.26,2,152903.02,HOLD
11,22167.42,102622.26,2,146957.10,HOLD
12,23062.23,79560.03,3,148746.72,BUY
13,22947.64,79560.03,3,148402.95,HOLD
14,23897.40,103457.43,2,151252.23,SELL
15,24308.78,79148.65,3,152074.99,BUY
16,23730.49,79148.65,3,150340.12,HOLD
17,23697.88,79148.65,3,150242.29,HOLD
18,24136.20,103284.85,2,151557.25,SELL
19,24314.45,103284.85,2,151913.75,HOLD
20,23165.49,80119.36,3,149615.83,BUY
21,23766.15,80119.36,3,151417.81,HOLD
22,24837.73,80119.36,3,154632.55,HOLD
23,24302.25,80119.36,3,153026.11,HOLD
24,24184.88,80119.36,3,152674.00,HOLD
25,24563.57,80119.36,3,153810.07,HOLD
26,26016.75,106136.11,2,158169.61,SELL
27,24919.95,106136.11,2,155976.01,HOLD
28,24992.37,81143.74,3,156120.85,BUY
29,24616.05,105759.79,2,154991.89,SELL
30,24641.09,130400.88,1,155041.97,SELL
31,25144.46,130400.88,1,155545.34,HOLD
32,24621.32,130400.88,1,155022.20,HOLD
33,25186.42,130400.88,1,155587.30,HOLD
34,24854.58,105546.30,2,155255.46,BUY
35,24293.21,105546.30,2,154132.72,HOLD
36,24250.90,105546.30,2,154048.10,HOLD
37,23225.33,82320.97,3,151996.96,BUY
38,23674.52,82320.97,3,153344.53,HOLD
39,24196.80,82320.97,3,154911.37,HOLD
40,24478.47,106799.44,2,155756.38,SELL
41,24602.11,106799.44,2,156003.66,HOLD
42,24689.51,131488.95,1,156178.46,SELL
43,26041.87,131488.95,1,157530.82,HOLD
44,26339.88,131488.95,1,157828.83,HOLD
45,26409.77,131488.95,1,157898.72,HOLD
46,26375.24,157864.19,0,157864.19,SELL
47,26270.91,157864.19,0,157864.19,HOLD
48,26127.68,131736.51,1,157864.19,BUY
49,25998.87,131736.51,1,157735.38,HOLD
50,26670.97,105065.54,2,158407.48,BUY
51,27457.47,132523.01,1,159980.48,SELL
52,28280.09,132523.01,1,160803.10,HOLD
53,29745.87,102777.14,2,162268.88,BUY
54,28467.01,74310.13,3,159711.16,BUY
55,28775.38,45534.75,4,160636.27,BUY
56,29828.62,15706.13,5,164849.23,BUY
57,30298.58,15706.13,5,167199.03,HOLD
58,29195.97,44902.10,4,161685.98,SELL
59,28422.27,73324.37,3,158591.18,SELL
60,28612.74,44711.63,4,159162.59,BUY
61,28801.09,73512.72,3,159915.99,SELL
62,28132.36,73512.72,3,157909.80,HOLD
63,28587.11,44925.61,4,159274.05,BUY
64,28530.99,44925.61,4,159049.57,HOLD
65,28597.00,44925.61,4,159313.61,HOLD
66,29162.87,44925.61,4,161577.09,HOLD
67,28384.12,44925.61,4,158462.09,HOLD
68,27718.67,17206.94,5,155800.29,BUY
69,28286.92,17206.94,5,158641.54,HOLD
70,29033.72,17206.94,5,162375.54,HOLD
71,28737.97,17206.94,5,160896.79,HOLD
72,28743.82,17206.94,5,160926.04,HOLD
73,28314.93,17206.94,5,158781.59,HOLD
74,29209.43,17206.94,5,163254.09,HOLD
75,27904.53,17206.94,5,156729.59,HOLD
76,27612.69,17206.94,5,155270.39,HOLD
77,27121.49,17206.94,5,152814.39,HOLD
78,24748.84,41955.78,4,140951.14,SELL
79,25774.62,41955.78,4,145054.26,HOLD
80,26138.87,15816.91,5,146511.26,BUY
81,25615.38,41432.29,4,143893.81,SELL
82,25361.75,16070.54,5,142879.29,BUY
83,25110.72,41181.26,4,141624.14,SELL
84,26135.40,67316.66,3,145722.86,SELL
85,25377.83,41938.83,4,143450.15,BUY
