DAY,Price,Cash,Shares,PortfolioValue,Action
0,23837.72,185425.50,0,185425.50,HOLD
1,23506.15,185425.50,0,185425.50,HOLD
2,24013.75,161411.75,1,185425.50,BUY
3,23755.32,137656.43,2,185167.07,BUY
4,23139.98,114516.45,3,183936.39,BUY
5,23759.42,90757.03,4,185794.71,BUY
6,23335.99,90757.03,4,184100.99,HOLD
7,22335.21,90757.03,4,180097.87,HOLD
8,21082.73,111839.76,3,175087.95,SELL
9,18891.77,130731.53,2,168515.07,SELL
10,16378.94,130731.53,2,163489.41,HOLD
11,18446.80,130731.53,2,167625.13,HOLD
12,17871.62,148603.15,1,166474.77,SELL
13,18730.80,148603.15,1,167333.95,HOLD
14,19465.95,168069.10,0,168069.10,SELL
15,18858.25,168069.10,0,168069.10,HOLD
16,20084.83,147984.27,1,168069.10,BUY
17,20293.97,127690.30,2,168278.24,BUY
18,20433.45,127690.30,2,168557.20,HOLD
19,20918.11,148608.41,1,169526.52,SELL
20,22118.40,170726.81,0,170726.81,SELL
21,22933.14,147793.67,1,170726.81,BUY
22,21899.48,125894.19,2,169693.15,BUY
23,22257.14,103637.05,3,170408.47,BUY
24,22273.38,125910.43,2,170457.19,SELL
25,22540.44,148450.87,1,170991.31,SELL
26,22538.78,125912.09,2,170989.65,BUY
27,22780.22,125912.09,2,171472.53,HOLD
28,22334.71,148246.80,1,170581.51,SELL
29,22362.89,125883.91,2,170609.69,BUY
30,23222.85,125883.91,2,172329.61,HOLD
31,22920.30,102963.61,3,171724.51,BUY
32,22594.79,102963.61,3,170747.98,HOLD
33,23098.77,126062.38,2,172259.92,SELL
34,23114.63,126062.38,2,172291.64,HOLD
35,23290.19,126062.38,2,172642.76,HOLD
36,23347.64,126062.38,2,172757.66,HOLD
37,23272.45,126062.38,2,172607.28,HOLD
38,23518.81,126062.38,2,173100.00,HOLD
39,23611.33,126062.38,2,173285.04,HOLD
40,23334.23,126062.38,2,172730.84,HOLD
41,23756.78,102305.60,3,173575.94,BUY
42,25316.60,76989.00,4,178255.40,BUY
43,25474.94,51514.06,5,178888.76,BUY
44,26419.05,51514.06,5,183609.31,HOLD
45,26646.08,51514.06,5,184744.46,HOLD
46,26553.01,24961.05,6,184279.11,BUY
47,26707.30,51668.35,5,185204.85,SELL
48,26638.28,78306.63,4,184859.75,SELL
49,27073.46,78306.63,4,186600.47,HOLD
50,28133.59,106440.22,3,190840.99,SELL
51,28402.11,106440.22,3,191646.55,HOLD
52,28542.00,134982.22,2,192066.22,SELL
53,28402.30,106579.92,3,191786.82,BUY
54,29368.18,77211.74,4,194684.46,BUY
55,30140.01,47071.73,5,197771.78,BUY
56,28966.01,47071.73,5,191901.78,HOLD
57,28308.57,18763.16,6,188614.58,BUY
58,29210.40,18763.16,6,194025.56,HOLD
59,29621.22,18763.16,6,196490.48,HOLD
60,28953.22,18763.16,6,192482.48,HOLD
61,29694.09,18763.16,6,196927.70,HOLD
62,29768.06,48531.22,5,197371.52,SELL
63,29621.83,48531.22,5,196640.37,HOLD
64,28770.62,48531.22,5,192384.32,HOLD
65,28966.47,19564.75,6,193363.57,BUY
66,27385.03,46949.78,5,183874.93,SELL
67,27821.96,46949.78,5,186059.58,HOLD
68,28360.56,18589.22,6,188752.58,BUY
69,28879.15,18589.22,6,191864.12,HOLD
70,28799.74,18589.22,6,191387.66,HOLD
71,28875.39,47464.61,5,191841.56,SELL
72,28758.37,18706.24,6,191256.46,BUY
73,28624.80,18706.24,6,190455.04,HOLD
74,28118.03,46824.27,5,187414.42,SELL
75,28240.21,18584.06,6,188025.32,BUY
76,27786.44,18584.06,6,185302.70,HOLD
77,27493.32,18584.06,6,183543.98,HOLD
78,27808.54,18584.06,6,185435.30,HOLD
79,27424.47,18584.06,6,183130.88,HOLD
80,27653.23,46237.29,5,184503.44,SELL
81,27602.21,46237.29,5,184248.34,HOLD
82,29838.43,76075.72,4,195429.44,SELL
83,30504.81,76075.72,4,198094.96,HOLD
84,29573.88,76075.72,4,194371.24,HOLD
85,29311.34,76075.72,4,193321.08,HOLD
86,27607.97,76075.72,4,186507.60,HOLD
87,28234.01,76075.72,4,189011.76,HOLD
88,28688.78,47386.94,5,190830.84,BUY
89,28693.06,18693.88,6,190852.24,BUY
90,29504.07,18693.88,6,195718.30,HOLD
91,29381.45,18693.88,6,194982.58,HOLD
92,29589.19,48283.07,5,196229.02,SELL
93,28187.12,76470.19,4,189218.67,SELL
94,27693.91,76470.19,4,187245.83,HOLD
95,28593.45,47876.74,5,190843.99,BUY
96,27893.18,47876.74,5,187342.64,HOLD
97,28658.82,19217.92,6,191170.84,BUY
98,29204.45,48422.37,5,194444.62,SELL
99,28444.96,48422.37,5,190647.17,HOLD
100,27217.59,21204.78,6,184510.32,BUY
101,26044.52,47249.30,5,177471.90,SELL
102,27165.93,47249.30,5,183078.95,HOLD
103,27575.07,19674.23,6,185124.65,BUY
104,26792.54,46466.77,5,180429.47,SELL
105,26262.63,46466.77,5,177779.92,HOLD
106,25006.26,71473.03,4,171498.07,SELL
107,25299.64,96772.67,3,172671.59,SELL
108,27076.33,69696.34,4,178001.66,BUY
109,28063.92,69696.34,4,181952.02,HOLD
