DAY,Price,Cash,Shares,PortfolioValue,Action
0,23656.62,158026.08,1,181682.70,BUY
1,23761.08,158026.08,1,181787.16,HOLD
2,24061.67,158026.08,1,182087.75,HOLD
3,23317.32,158026.08,1,181343.40,HOLD
4,22775.92,135250.16,2,180802.00,BUY
5,23621.72,158871.88,1,182493.60,SELL
6,23133.60,135738.28,2,182005.48,BUY
7,22127.42,113610.86,3,179993.12,BUY
8,20862.05,134472.91,2,176197.01,SELL
9,19392.25,134472.91,2,173257.41,HOLD
10,16698.46,117774.45,3,167869.83,BUY
11,18512.81,99261.64,4,173312.88,BUY
12,17707.66,116969.30,3,170092.28,SELL
13,19158.55,97810.75,4,174444.95,BUY
14,19154.41,78656.34,5,174428.39,BUY
15,19221.54,78656.34,5,174764.04,HOLD
16,19551.73,59104.61,6,176414.99,BUY
17,20056.46,39048.15,7,179443.37,BUY
18,20454.03,59502.18,6,182226.36,SELL
19,21142.72,38359.46,7,186358.50,BUY
20,22462.68,38359.46,7,195598.22,HOLD
21,22900.30,38359.46,7,198661.56,HOLD
22,22318.07,60677.53,6,194585.95,SELL
23,22479.86,38197.67,7,195556.69,BUY
24,22039.56,16158.11,8,192474.59,BUY
25,22438.65,16158.11,8,195667.31,HOLD
26,22800.11,16158.11,8,198558.99,HOLD
27,22732.92,16158.11,8,198021.47,HOLD
28,21710.00,37868.11,7,189838.11,SELL
29,22204.61,15663.50,8,193300.38,BUY
30,23068.53,38732.03,7,200211.74,SELL
31,22862.54,38732.03,7,198769.81,HOLD
32,23102.61,15629.42,8,200450.30,BUY
33,23086.89,38716.31,7,200324.54,SELL
34,23429.42,62145.73,6,202722.25,SELL
35,23154.45,85300.18,5,201072.43,SELL
36,23170.89,62129.29,6,201154.63,BUY
37,23477.73,62129.29,6,202995.67,HOLD
38,23458.43,38670.86,7,202879.87,BUY
39,23436.17,38670.86,7,202724.05,HOLD
40,23170.76,61841.62,6,200866.18,SELL
41,24039.16,37802.46,7,206076.58,BUY
42,25215.31,12587.15,8,214309.63,BUY
43,25425.59,12587.15,8,215991.87,HOLD
44,26405.83,38992.98,7,223833.79,SELL
45,26500.32,65493.30,6,224495.22,SELL
46,26648.69,65493.30,6,225385.44,HOLD
47,26533.63,65493.30,6,224695.08,HOLD
48,26664.60,65493.30,6,225480.90,HOLD
49,27002.18,38491.12,7,227506.38,BUY
50,28411.58,10079.54,8,237372.18,BUY
51,28677.61,10079.54,8,239500.42,HOLD
52,27975.85,10079.54,8,233886.34,HOLD
53,28325.89,38405.43,7,236686.66,SELL
54,29417.32,8988.11,8,244326.67,BUY
55,29847.33,38835.44,7,247766.75,SELL
56,29396.04,38835.44,7,244607.72,HOLD
57,28644.26,67479.70,6,239345.26,SELL
58,29670.31,37809.39,7,245501.56,BUY
59,29107.63,37809.39,7,241562.80,HOLD
60,29200.88,8608.51,8,242215.55,BUY
61,30024.25,8608.51,8,248802.51,HOLD
62,29538.73,38147.24,7,244918.35,SELL
63,29530.84,8616.40,8,244863.12,BUY
