DAY,Price,Cash,Shares,PortfolioValue,Action
0,23656.62,181682.70,0,181682.70,HOLD
1,23761.08,157921.62,1,181682.70,BUY
2,24061.67,133859.95,2,181983.29,BUY
3,23317.32,157177.27,1,180494.59,SELL
4,22775.92,157177.27,1,179953.19,HOLD
5,23621.72,180798.99,0,180798.99,SELL
6,23133.60,180798.99,0,180798.99,HOLD
7,22127.42,180798.99,0,180798.99,HOLD
8,20862.05,180798.99,0,180798.99,HOLD
9,19392.25,161406.74,1,180798.99,BUY
10,16698.46,178105.20,0,178105.20,SELL
11,18512.81,159592.39,1,178105.20,BUY
12,17707.66,141884.73,2,177300.05,BUY
13,19158.55,161043.28,1,180201.83,SELL
14,19154.41,180197.69,0,180197.69,SELL
15,19221.54,180197.69,0,180197.69,HOLD
16,19551.73,180197.69,0,180197.69,HOLD
17,20056.46,180197.69,0,180197.69,HOLD
18,20454.03,159743.66,1,180197.69,BUY
19,21142.72,180886.38,0,180886.38,SELL
20,22462.68,180886.38,0,180886.38,HOLD
21,22900.30,180886.38,0,180886.38,HOLD
22,22318.07,180886.38,0,180886.38,HOLD
23,22479.86,158406.52,1,180886.38,BUY
24,22039.56,136366.96,2,180446.08,BUY
25,22438.65,113928.31,3,181244.26,BUY
26,22800.11,136728.42,2,182328.64,SELL
27,22732.92,113995.50,3,182194.26,BUY
28,21710.00,135705.50,2,179125.50,SELL
29,22204.61,113500.89,3,180114.72,BUY
30,23068.53,136569.42,2,182706.48,SELL
31,22862.54,159431.96,1,182294.50,SELL
32,23102.61,159431.96,1,182534.57,HOLD
33,23086.89,159431.96,1,182518.85,HOLD
34,23429.42,182861.38,0,182861.38,SELL
35,23154.45,182861.38,0,182861.38,HOLD
36,23170.89,159690.49,1,182861.38,BUY
37,23477.73,159690.49,1,183168.22,HOLD
38,23458.43,159690.49,1,183148.92,HOLD
39,23436.17,183126.66,0,183126.66,SELL
40,23170.76,183126.66,0,183126.66,HOLD
41,24039.16,159087.50,1,183126.66,BUY
42,25215.31,184302.81,0,184302.81,SELL
43,25425.59,184302.81,0,184302.81,HOLD
44,26405.83,184302.81,0,184302.81,HOLD
45,26500.32,184302.81,0,184302.81,HOLD
46,26648.69,184302.81,0,184302.81,HOLD
47,26533.63,184302.81,0,184302.81,HOLD
48,26664.60,184302.81,0,184302.81,HOLD
49,27002.18,184302.81,0,184302.81,HOLD
50,28411.58,184302.81,0,184302.81,HOLD
51,28677.61,184302.81,0,184302.81,HOLD
52,27975.85,184302.81,0,184302.81,HOLD
53,28325.89,184302.81,0,184302.81,HOLD
54,29417.32,184302.81,0,184302.81,HOLD
55,29847.33,184302.81,0,184302.81,HOLD
56,29396.04,154906.77,1,184302.81,BUY
57,28644.26,183551.03,0,183551.03,SELL
58,29670.31,153880.72,1,183551.03,BUY
59,29107.63,124773.09,2,182988.35,BUY
60,29200.88,153973.97,1,183174.85,SELL
61,30024.25,123949.72,2,183998.22,BUY
62,29538.73,94410.99,3,183027.18,BUY
63,29530.84,123941.83,2,183003.51,SELL
64,28896.37,123941.83,2,181734.57,HOLD
65,29237.36,153179.19,1,182416.55,SELL
66,27723.70,125455.49,2,180902.89,BUY
67,28193.03,153648.52,1,181841.55,SELL
68,28899.66,182548.18,0,182548.18,SELL
69,28764.68,182548.18,0,182548.18,HOLD
70,28839.54,182548.18,0,182548.18,HOLD
71,28957.98,153590.20,1,182548.18,BUY
72,28992.74,153590.20,1,182582.94,HOLD
73,28688.63,153590.20,1,182278.83,HOLD
74,27419.40,126170.80,2,181009.60,BUY
75,27847.35,154018.15,1,181865.50,SELL
76,27862.69,126155.46,2,181880.84,BUY
77,27492.40,98663.06,3,181140.26,BUY
78,27974.99,70688.07,4,182588.03,BUY
79,27347.77,43340.30,5,180079.15,BUY
80,27684.05,71024.35,4,181760.55,SELL
81,28179.04,71024.35,4,183740.51,HOLD
