DAY,Price,Cash,Shares,PortfolioValue,Action
0,23775.40,186774.20,0,186774.20,HOLD
1,22951.18,186774.20,0,186774.20,HOLD
2,23905.38,162868.82,1,186774.20,BUY
3,23779.23,162868.82,1,186648.05,HOLD
4,22892.95,162868.82,1,185761.77,HOLD
5,23625.13,139243.69,2,186493.95,BUY
6,23603.48,162847.17,1,186450.65,SELL
7,23378.33,162847.17,1,186225.50,HOLD
8,20834.29,183681.46,0,183681.46,SELL
9,19472.26,164209.20,1,183681.46,BUY
10,16914.45,164209.20,1,181123.65,HOLD
11,17197.14,181406.34,0,181406.34,SELL
12,18834.16,181406.34,0,181406.34,HOLD
13,18553.14,181406.34,0,181406.34,HOLD
14,19093.12,181406.34,0,181406.34,HOLD
15,19193.22,181406.34,0,181406.34,HOLD
16,19638.48,181406.34,0,181406.34,HOLD
17,20285.04,161121.30,1,181406.34,BUY
18,19999.10,181120.40,0,181120.40,SELL
19,20584.06,160536.34,1,181120.40,BUY
20,21898.99,138637.35,2,182435.33,BUY
21,23028.62,161665.97,1,184694.59,SELL
22,21529.83,161665.97,1,183195.80,HOLD
23,22311.94,161665.97,1,183977.91,HOLD
24,21969.59,183635.56,0,183635.56,SELL
25,22325.75,183635.56,0,183635.56,HOLD
26,22561.47,183635.56,0,183635.56,HOLD
27,22580.19,183635.56,0,183635.56,HOLD
28,22366.34,183635.56,0,183635.56,HOLD
29,22356.25,183635.56,0,183635.56,HOLD
30,23111.50,160524.06,1,183635.56,BUY
31,22851.83,137672.23,2,183375.89,BUY
32,23177.85,114494.38,3,184027.93,BUY
33,23426.11,114494.38,3,184772.71,HOLD
34,23134.02,91360.36,4,183896.44,BUY
35,23272.23,68088.13,5,184449.28,BUY
36,23303.03,91391.16,4,184603.28,SELL
37,23331.40,114722.56,3,184716.76,SELL
38,23490.95,138213.51,2,185195.41,SELL
39,23518.29,161731.80,1,185250.09,SELL
40,23232.31,184964.11,0,184964.11,SELL
41,23505.78,184964.11,0,184964.11,HOLD
42,25145.66,184964.11,0,184964.11,HOLD
43,25656.70,184964.11,0,184964.11,HOLD
44,26255.47,184964.11,0,184964.11,HOLD
45,26719.23,184964.11,0,184964.11,HOLD
46,26639.98,158324.13,1,184964.11,BUY
47,26676.28,158324.13,1,185000.41,HOLD
48,26605.26,131718.87,2,184929.39,BUY
49,27042.32,104676.55,3,185803.51,BUY
50,27899.45,104676.55,3,188374.90,HOLD
51,28373.34,76303.21,4,189796.57,BUY
52,28527.81,76303.21,4,190414.45,HOLD
53,28089.12,104392.33,3,188659.69,SELL
54,29350.48,104392.33,3,192443.77,HOLD
55,30191.01,74201.32,4,194965.36,BUY
56,30044.43,104245.75,3,194379.04,SELL
57,28711.04,132956.79,2,190378.87,SELL
58,28995.33,161952.12,1,190947.45,SELL
59,30041.50,161952.12,1,191993.62,HOLD
60,28414.92,190367.04,0,190367.04,SELL
61,29318.82,190367.04,0,190367.04,HOLD
62,29516.42,190367.04,0,190367.04,HOLD
63,29558.55,190367.04,0,190367.04,HOLD
64,28800.86,190367.04,0,190367.04,HOLD
65,28760.27,190367.04,0,190367.04,HOLD
66,27888.59,190367.04,0,190367.04,HOLD
67,27842.98,162524.06,1,190367.04,BUY
68,28396.62,134127.44,2,190920.68,BUY
69,28565.83,134127.44,2,191259.10,HOLD
70,28801.83,162929.27,1,191731.10,SELL
71,29263.72,162929.27,1,192192.99,HOLD
72,28860.06,191789.33,0,191789.33,SELL
73,28779.76,163009.57,1,191789.33,BUY
74,28161.75,134847.82,2,191171.32,BUY
75,28482.82,134847.82,2,191813.46,HOLD
76,27438.07,134847.82,2,189723.96,HOLD
77,27272.49,107575.33,3,189392.80,BUY
78,27709.22,79866.11,4,190702.99,BUY
79,27427.38,107293.49,3,189575.63,SELL
80,27193.10,107293.49,3,188872.79,HOLD
81,27656.63,134950.12,2,190263.38,SELL
82,29469.35,105480.77,3,193888.82,BUY
