DAY,Price,Cash,Shares,PortfolioValue,Action
0,23775.40,162998.80,1,186774.20,BUY
1,22951.18,185949.98,0,185949.98,SELL
2,23905.38,162044.60,1,185949.98,BUY
3,23779.23,185823.83,0,185823.83,SELL
4,22892.95,162930.88,1,185823.83,BUY
5,23625.13,162930.88,1,186556.01,HOLD
6,23603.48,139327.40,2,186534.36,BUY
7,23378.33,115949.07,3,186084.06,BUY
8,20834.29,136783.36,2,178451.94,SELL
9,19472.26,156255.62,1,175727.88,SELL
10,16914.45,156255.62,1,173170.07,HOLD
11,17197.14,139058.48,2,173452.76,BUY
12,18834.16,157892.64,1,176726.80,SELL
13,18553.14,157892.64,1,176445.78,HOLD
14,19093.12,176985.76,0,176985.76,SELL
15,19193.22,157792.54,1,176985.76,BUY
16,19638.48,138154.06,2,177431.02,BUY
17,20285.04,138154.06,2,178724.14,HOLD
18,19999.10,158153.16,1,178152.26,SELL
19,20584.06,178737.22,0,178737.22,SELL
20,21898.99,156838.23,1,178737.22,BUY
21,23028.62,133809.61,2,179866.85,BUY
22,21529.83,112279.78,3,176869.27,BUY
23,22311.94,134591.72,2,179215.60,SELL
24,21969.59,134591.72,2,178530.90,HOLD
25,22325.75,112265.97,3,179243.22,BUY
26,22561.47,134827.44,2,179950.38,SELL
27,22580.19,134827.44,2,179987.82,HOLD
28,22366.34,112461.10,3,179560.12,BUY
29,22356.25,134817.35,2,179529.85,SELL
30,23111.50,157928.85,1,181040.35,SELL
31,22851.83,180780.68,0,180780.68,SELL
32,23177.85,180780.68,0,180780.68,HOLD
33,23426.11,180780.68,0,180780.68,HOLD
34,23134.02,157646.66,1,180780.68,BUY
35,23272.23,134374.43,2,180918.89,BUY
36,23303.03,111071.40,3,180980.49,BUY
37,23331.40,87740.00,4,181065.60,BUY
38,23490.95,64249.05,5,181703.80,BUY
39,23518.29,40730.76,6,181840.50,BUY
40,23232.31,17498.45,7,180124.62,BUY
41,23505.78,17498.45,7,182038.91,HOLD
42,25145.66,17498.45,7,193518.07,HOLD
43,25656.70,17498.45,7,197095.35,HOLD
44,26255.47,17498.45,7,201286.74,HOLD
45,26719.23,44217.68,6,204533.06,SELL
46,26639.98,70857.66,5,204057.56,SELL
47,26676.28,97533.94,4,204239.06,SELL
48,26605.26,70928.68,5,203954.98,BUY
49,27042.32,43886.36,6,206140.28,BUY
50,27899.45,71785.81,5,211283.06,SELL
51,28373.34,43412.47,6,213652.51,BUY
52,28527.81,43412.47,6,214579.33,HOLD
53,28089.12,71501.59,5,211947.19,SELL
54,29350.48,71501.59,5,218253.99,HOLD
55,30191.01,101692.60,4,222456.64,SELL
56,30044.43,101692.60,4,221870.32,HOLD
57,28711.04,101692.60,4,216536.76,HOLD
58,28995.33,101692.60,4,217673.92,HOLD
59,30041.50,101692.60,4,221858.60,HOLD
60,28414.92,73277.68,5,215352.28,BUY
61,29318.82,43958.86,6,219871.78,BUY
62,29516.42,73475.28,5,221057.38,SELL
63,29558.55,43916.73,6,221268.03,BUY
64,28800.86,72717.59,5,216721.89,SELL
65,28760.27,72717.59,5,216518.94,HOLD
