DAY,Price,Cash,Shares,PortfolioValue,Action
0,637.20,5393.00,0,5393.00,HOLD
1,487.07,5393.00,0,5393.00,HOLD
2,435.11,5393.00,0,5393.00,HOLD
3,502.48,5393.00,0,5393.00,HOLD
4,564.02,5393.00,0,5393.00,HOLD
5,593.01,5393.00,0,5393.00,HOLD
6,634.20,5393.00,0,5393.00,HOLD
7,638.58,5393.00,0,5393.00,HOLD
8,658.93,4734.07,1,5393.00,BUY
9,684.33,5418.40,0,5418.40,SELL
10,711.71,5418.40,0,5418.40,HOLD
11,695.30,5418.40,0,5418.40,HOLD
12,733.91,5418.40,0,5418.40,HOLD
13,752.04,5418.40,0,5418.40,HOLD
14,732.92,5418.40,0,5418.40,HOLD
15,745.98,4672.42,1,5418.40,BUY
16,732.09,5404.51,0,5404.51,SELL
17,769.31,5404.51,0,5404.51,HOLD
18,769.39,5404.51,0,5404.51,HOLD
19,792.27,4612.24,1,5404.51,BUY
20,808.02,4612.24,1,5420.26,HOLD
21,847.90,5460.14,0,5460.14,SELL
22,852.15,5460.14,0,5460.14,HOLD
23,781.41,5460.14,0,5460.14,HOLD
24,837.86,5460.14,0,5460.14,HOLD
25,841.37,5460.14,0,5460.14,HOLD
26,877.58,5460.14,0,5460.14,HOLD
27,878.78,5460.14,0,5460.14,HOLD
28,799.53,5460.14,0,5460.14,HOLD
29,856.66,5460.14,0,5460.14,HOLD
30,833.55,5460.14,0,5460.14,HOLD
31,812.70,5460.14,0,5460.14,HOLD
32,791.02,5460.14,0,5460.14,HOLD
33,831.78,4628.36,1,5460.14,BUY
34,835.95,3792.41,2,5464.31,BUY
35,849.72,3792.41,2,5491.85,HOLD
36,861.05,3792.41,2,5514.51,HOLD
37,900.09,4692.50,1,5592.59,SELL
38,905.76,3786.74,2,5598.26,BUY
39,938.88,3786.74,2,5664.50,HOLD
40,920.53,2866.21,3,5627.80,BUY
41,965.53,1900.68,4,5762.80,BUY
42,956.72,943.96,5,5727.56,BUY
43,936.93,7.03,6,5628.61,BUY
44,989.03,7.03,6,5941.21,HOLD
45,953.72,960.75,5,5729.35,SELL
46,957.69,960.75,5,5749.20,HOLD
47,967.42,960.75,5,5797.85,HOLD
48,910.15,960.75,5,5511.50,HOLD
49,907.41,53.34,6,5497.80,BUY
50,910.41,53.34,6,5515.80,HOLD
51,935.27,53.34,6,5664.96,HOLD
52,951.13,53.34,6,5760.12,HOLD
53,966.34,53.34,6,5851.38,HOLD
54,983.40,53.34,6,5953.74,HOLD
55,1014.40,53.34,6,6139.74,HOLD
56,1018.87,53.34,6,6166.56,HOLD
57,975.66,53.34,6,5907.30,HOLD
58,979.38,53.34,6,5929.62,HOLD
59,958.64,53.34,6,5805.18,HOLD
60,949.78,1003.12,5,5752.02,SELL
61,979.13,23.99,6,5898.77,BUY
62,982.75,23.99,6,5920.49,HOLD
63,993.64,23.99,6,5985.83,HOLD
64,1008.11,1032.10,5,6072.65,SELL
65,1019.28,2051.38,4,6128.50,SELL
66,1043.51,2051.38,4,6225.42,HOLD
67,1035.68,2051.38,4,6194.10,HOLD
68,1036.14,1015.24,5,6195.94,BUY
69,1045.66,1015.24,5,6243.54,HOLD
70,1029.05,1015.24,5,6160.49,HOLD
71,1048.98,2064.22,4,6260.14,SELL
72,999.26,3063.48,3,6061.26,SELL
73,1006.98,4070.46,2,6084.42,SELL
74,1035.09,3035.37,3,6140.64,BUY
75,1037.22,4072.59,2,6147.03,SELL
76,1038.80,4072.59,2,6150.19,HOLD
77,1031.93,4072.59,2,6136.45,HOLD
78,950.09,4072.59,2,5972.77,HOLD
79,939.28,5011.87,1,5951.15,SELL
80,1001.10,6012.97,0,6012.97,SELL
81,1006.03,5006.94,1,6012.97,BUY
82,1003.66,5006.94,1,6010.60,HOLD
83,983.82,5006.94,1,5990.76,HOLD
84,1028.02,6034.96,0,6034.96,SELL
85,1003.19,5031.77,1,6034.96,BUY
86,949.86,5031.77,1,5981.63,HOLD
87,1003.92,5031.77,1,6035.69,HOLD
88,999.21,5031.77,1,6030.98,HOLD
89,999.05,4032.72,2,6030.82,BUY
90,1022.73,4032.72,2,6078.18,HOLD
91,979.83,4032.72,2,5992.38,HOLD
92,981.31,5014.03,1,5995.34,SELL
93,933.97,4080.06,2,5948.00,BUY
94,847.34,3232.72,3,5774.74,BUY
95,887.54,3232.72,3,5895.34,HOLD
96,837.83,4070.55,2,5746.21,SELL
97,865.23,3205.32,3,5801.01,BUY
98,879.03,2326.29,4,5842.41,BUY
99,884.98,1441.31,5,5866.21,BUY
100,903.75,2345.06,4,5960.06,SELL
101,920.69,1424.37,5,6027.82,BUY
102,936.20,1424.37,5,6105.37,HOLD
103,925.91,1424.37,5,6053.92,HOLD
104,925.61,498.76,6,6052.42,BUY
105,929.54,498.76,6,6076.00,HOLD
106,889.30,498.76,6,5834.56,HOLD
107,883.31,498.76,6,5798.62,HOLD
108,839.52,498.76,6,5535.88,HOLD
109,866.76,498.76,6,5699.32,HOLD
110,873.21,498.76,6,5738.02,HOLD
111,873.09,498.76,6,5737.30,HOLD
112,804.38,498.76,6,5325.04,HOLD
113,764.69,498.76,6,5086.90,HOLD
114,759.83,1258.59,5,5057.74,SELL
115,728.32,1986.91,4,4900.19,SELL
116,747.74,1986.91,4,4977.87,HOLD
117,771.69,1986.91,4,5073.67,HOLD
118,786.46,2773.37,3,5132.75,SELL
119,799.36,1974.01,4,5171.45,BUY
120,826.45,1974.01,4,5279.81,HOLD
121,825.46,1974.01,4,5275.85,HOLD
122,782.97,1191.04,5,5105.89,BUY
123,791.01,1982.05,4,5146.09,SELL
124,765.08,1982.05,4,5042.37,HOLD
125,768.70,1213.35,5,5056.85,BUY
126,728.29,1213.35,5,4854.80,HOLD
127,661.65,551.70,6,4521.60,BUY
128,667.63,551.70,6,4557.48,HOLD
129,685.90,551.70,6,4667.10,HOLD
130,686.21,1237.91,5,4668.96,SELL
131,693.92,543.99,6,4707.51,BUY
132,703.36,1247.35,5,4764.15,SELL
133,730.33,517.02,6,4899.00,BUY
134,711.92,517.02,6,4788.54,HOLD
135,713.26,517.02,6,4796.58,HOLD
136,719.29,517.02,6,4832.76,HOLD
137,712.21,517.02,6,4790.28,HOLD
138,701.44,517.02,6,4725.66,HOLD
139,697.25,517.02,6,4700.52,HOLD
140,667.30,1184.32,5,4520.82,SELL
141,701.29,1885.61,4,4690.77,SELL
142,708.79,1885.61,4,4720.77,HOLD
143,737.90,1147.71,5,4837.21,BUY
144,761.82,1147.71,5,4956.81,HOLD
145,771.62,376.09,6,5005.81,BUY
146,772.96,376.09,6,5013.85,HOLD
147,774.21,1150.30,5,5021.35,SELL
148,804.47,1954.77,4,5172.65,SELL
149,771.03,2725.80,3,5038.89,SELL
150,791.45,2725.80,3,5100.15,HOLD
151,817.81,3543.61,2,5179.23,SELL
152,847.70,4391.31,1,5239.01,SELL
153,877.31,4391.31,1,5268.62,HOLD
154,898.84,5290.15,0,5290.15,SELL
155,852.48,5290.15,0,5290.15,HOLD
156,844.68,4445.47,1,5290.15,BUY
157,827.88,3617.59,2,5273.35,BUY
158,814.65,2802.94,3,5246.89,BUY
159,853.00,3655.94,2,5361.94,SELL
160,855.46,2800.48,3,5366.86,BUY
161,880.76,1919.72,4,5442.76,BUY
162,878.99,1919.72,4,5435.68,HOLD
163,872.28,1047.44,5,5408.84,BUY
164,853.68,1047.44,5,5315.84,HOLD
165,861.20,1908.64,4,5353.44,SELL
166,890.21,1908.64,4,5469.48,HOLD
167,918.19,2826.83,3,5581.40,SELL
168,877.96,2826.83,3,5460.71,HOLD
169,914.30,3741.13,2,5569.73,SELL
170,908.27,2832.86,3,5557.67,BUY
171,879.80,1953.06,4,5472.26,BUY
172,901.84,2854.90,3,5560.42,SELL
173,913.04,2854.90,3,5594.02,HOLD
174,907.90,2854.90,3,5578.60,HOLD
175,889.99,2854.90,3,5524.87,HOLD
176,839.17,2854.90,3,5372.41,HOLD
177,803.88,2854.90,3,5266.54,HOLD
178,800.62,2854.90,3,5256.76,HOLD
179,762.51,2092.39,4,5142.43,BUY
180,744.63,2837.02,3,5070.91,SELL
181,793.72,2837.02,3,5218.18,HOLD
182,774.33,3611.35,2,5160.01,SELL
183,797.51,2813.84,3,5206.37,BUY
184,809.26,3623.10,2,5241.62,SELL
185,823.99,3623.10,2,5271.08,HOLD
186,831.64,4454.74,1,5286.38,SELL
187,843.61,4454.74,1,5298.35,HOLD
188,846.32,3608.42,2,5301.06,BUY
189,860.45,3608.42,2,5329.32,HOLD
190,878.12,2730.30,3,5364.66,BUY
191,830.06,1900.24,4,5220.48,BUY
192,820.64,2720.88,3,5182.80,SELL
193,786.28,1934.60,4,5079.72,BUY
194,816.27,1934.60,4,5199.68,HOLD
195,853.52,1081.08,5,5348.68,BUY
196,866.43,1081.08,5,5413.23,HOLD
197,863.40,1081.08,5,5398.08,HOLD
198,876.62,1957.70,4,5464.18,SELL
199,884.45,2842.15,3,5495.50,SELL
200,910.86,1931.29,4,5574.73,BUY
201,888.88,2820.17,3,5486.81,SELL
202,856.49,1963.68,4,5389.64,BUY
203,833.03,1130.65,5,5295.80,BUY
204,855.79,274.86,6,5409.60,BUY
205,864.98,1139.84,5,5464.74,SELL
206,864.03,1139.84,5,5459.99,HOLD
207,843.22,1139.84,5,5355.94,HOLD
208,836.65,303.19,6,5323.09,BUY
209,839.58,303.19,6,5340.67,HOLD
210,865.91,303.19,6,5498.65,HOLD
211,855.35,1158.54,5,5435.29,SELL
212,836.12,322.42,6,5339.14,BUY
213,828.49,1150.91,5,5293.36,SELL
214,857.60,1150.91,5,5438.91,HOLD
215,837.29,1988.20,4,5337.36,SELL
216,808.79,2796.99,3,5223.36,SELL
217,800.36,2796.99,3,5198.07,HOLD
218,707.72,2089.27,4,4920.15,BUY
219,757.19,2089.27,4,5118.03,HOLD
220,775.30,2089.27,4,5190.47,HOLD
221,761.06,1328.21,5,5133.51,BUY
222,729.32,1328.21,5,4974.81,HOLD
223,706.93,1328.21,5,4862.86,HOLD
224,747.83,1328.21,5,5067.36,HOLD
225,762.67,2090.88,4,5141.56,SELL
226,772.70,1318.18,5,5181.68,BUY
227,763.21,2081.39,4,5134.23,SELL
228,734.26,2081.39,4,5018.43,HOLD
229,728.34,2081.39,4,4994.75,HOLD
230,727.10,2808.49,3,4989.79,SELL
231,681.30,2127.19,4,4852.39,BUY
232,672.83,1454.36,5,4818.51,BUY
233,691.61,762.75,6,4912.41,BUY
234,669.27,93.48,7,4778.37,BUY
235,674.31,93.48,7,4813.65,HOLD
236,679.85,4852.43,0,4852.43,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
237,661.24,4852.43,0,4852.43,HOLD
