DAY,Price,Cash,Shares,PortfolioValue,Action
0,637.20,4755.80,1,5393.00,BUY
1,487.07,4755.80,1,5242.87,HOLD
2,435.11,5190.91,0,5190.91,SELL
3,502.48,5190.91,0,5190.91,HOLD
4,564.02,4626.89,1,5190.91,BUY
5,593.01,5219.90,0,5219.90,SELL
6,634.20,4585.70,1,5219.90,BUY
7,638.58,5224.28,0,5224.28,SELL
8,658.93,5224.28,0,5224.28,HOLD
9,684.33,5224.28,0,5224.28,HOLD
10,711.71,4512.57,1,5224.28,BUY
11,695.30,4512.57,1,5207.87,HOLD
12,733.91,4512.57,1,5246.48,HOLD
13,752.04,3760.53,2,5264.61,BUY
14,732.92,3027.61,3,5226.37,BUY
15,745.98,3027.61,3,5265.55,HOLD
16,732.09,3027.61,3,5223.88,HOLD
17,769.31,3796.92,2,5335.54,SELL
18,769.39,3796.92,2,5335.70,HOLD
19,792.27,3004.65,3,5381.46,BUY
20,808.02,3004.65,3,5428.71,HOLD
21,847.90,3004.65,3,5548.35,HOLD
22,852.15,3856.80,2,5561.10,SELL
23,781.41,3075.39,3,5419.62,BUY
24,837.86,3075.39,3,5588.97,HOLD
25,841.37,2234.02,4,5599.50,BUY
26,877.58,1356.44,5,5744.34,BUY
27,878.78,2235.22,4,5750.34,SELL
28,799.53,3034.75,3,5433.34,SELL
29,856.66,2178.09,4,5604.73,BUY
30,833.55,1344.54,5,5512.29,BUY
31,812.70,2157.24,4,5408.04,SELL
32,791.02,2948.26,3,5321.32,SELL
33,831.78,2948.26,3,5443.60,HOLD
34,835.95,3784.21,2,5456.11,SELL
35,849.72,3784.21,2,5483.65,HOLD
36,861.05,3784.21,2,5506.31,HOLD
37,900.09,2884.12,3,5584.39,BUY
38,905.76,1978.36,4,5601.40,BUY
39,938.88,1039.48,5,5733.88,BUY
40,920.53,1039.48,5,5642.13,HOLD
41,965.53,73.95,6,5867.13,BUY
42,956.72,1030.67,5,5814.27,SELL
43,936.93,1030.67,5,5715.32,HOLD
44,989.03,2019.70,4,5975.82,SELL
45,953.72,2019.70,4,5834.58,HOLD
46,957.69,2977.39,3,5850.46,SELL
47,967.42,2009.97,4,5879.65,BUY
48,910.15,1099.82,5,5650.57,BUY
49,907.41,192.41,6,5636.87,BUY
50,910.41,192.41,6,5654.87,HOLD
51,935.27,192.41,6,5804.03,HOLD
52,951.13,1143.54,5,5899.19,SELL
53,966.34,177.20,6,5975.24,BUY
54,983.40,177.20,6,6077.60,HOLD
55,1014.40,177.20,6,6263.60,HOLD
56,1018.87,1196.07,5,6290.42,SELL
57,975.66,1196.07,5,6074.37,HOLD
58,979.38,1196.07,5,6092.97,HOLD
59,958.64,1196.07,5,5989.27,HOLD
60,949.78,1196.07,5,5944.97,HOLD
61,979.13,216.94,6,6091.72,BUY
62,982.75,216.94,6,6113.44,HOLD
63,993.64,1210.58,5,6178.78,SELL
64,1008.11,202.47,6,6251.13,BUY
65,1019.28,202.47,6,6318.15,HOLD
66,1043.51,202.47,6,6463.53,HOLD
67,1035.68,202.47,6,6416.55,HOLD
68,1036.14,202.47,6,6419.31,HOLD
69,1045.66,1248.13,5,6476.43,SELL
70,1029.05,1248.13,5,6393.38,HOLD
71,1048.98,199.15,6,6493.03,BUY
72,999.26,199.15,6,6194.71,HOLD
73,1006.98,199.15,6,6241.03,HOLD
74,1035.09,1234.24,5,6409.69,SELL
75,1037.22,2271.46,4,6420.34,SELL
76,1038.80,1232.66,5,6426.66,BUY
77,1031.93,200.73,6,6392.31,BUY
78,950.09,1150.82,5,5901.27,SELL
79,939.28,211.54,6,5847.22,BUY
80,1001.10,211.54,6,6218.14,HOLD
81,1006.03,211.54,6,6247.72,HOLD
82,1003.66,211.54,6,6233.50,HOLD
83,983.82,1195.36,5,6114.46,SELL
84,1028.02,167.34,6,6335.46,BUY
85,1003.19,167.34,6,6186.48,HOLD
86,949.86,1117.20,5,5866.50,SELL
87,1003.92,1117.20,5,6136.80,HOLD
88,999.21,117.99,6,6113.25,BUY
89,999.05,117.99,6,6112.29,HOLD
90,1022.73,117.99,6,6254.37,HOLD
91,979.83,1097.82,5,5996.97,SELL
92,981.31,116.51,6,6004.37,BUY
93,933.97,1050.48,5,5720.33,SELL
94,847.34,1050.48,5,5287.18,HOLD
95,887.54,1050.48,5,5488.18,HOLD
96,837.83,1050.48,5,5239.63,HOLD
97,865.23,1050.48,5,5376.63,HOLD
