DAY,Price,Cash,Shares,PortfolioValue,Action
0,604.51,6025.00,0,6025.00,HOLD
1,483.51,5541.49,1,6025.00,BUY
2,454.24,5087.25,2,5995.73,BUY
3,551.25,4536.00,3,6189.75,BUY
4,593.22,3942.78,4,6315.66,BUY
5,602.05,4544.83,3,6350.98,SELL
6,616.88,5161.71,2,6395.47,SELL
7,644.06,5805.77,1,6449.83,SELL
8,676.60,6482.37,0,6482.37,SELL
9,688.88,6482.37,0,6482.37,HOLD
10,708.60,5773.77,1,6482.37,BUY
11,716.83,6490.60,0,6490.60,SELL
12,747.37,5743.23,1,6490.60,BUY
13,693.15,5743.23,1,6436.38,HOLD
14,741.78,6485.01,0,6485.01,SELL
15,732.86,5752.15,1,6485.01,BUY
16,750.43,5752.15,1,6502.58,HOLD
17,773.08,6525.23,0,6525.23,SELL
18,776.97,6525.23,0,6525.23,HOLD
19,795.19,6525.23,0,6525.23,HOLD
20,815.15,6525.23,0,6525.23,HOLD
21,854.48,6525.23,0,6525.23,HOLD
22,794.91,6525.23,0,6525.23,HOLD
23,820.02,5705.21,1,6525.23,BUY
24,847.53,4857.68,2,6552.74,BUY
25,874.31,5731.99,1,6606.30,SELL
26,893.24,4838.75,2,6625.23,BUY
27,838.13,4000.62,3,6515.01,BUY
28,839.68,3160.94,4,6519.66,BUY
29,868.01,2292.93,5,6632.98,BUY
30,821.50,2292.93,5,6400.43,HOLD
31,776.70,2292.93,5,6176.43,HOLD
32,789.85,1503.08,6,6242.18,BUY
33,845.17,2348.25,5,6574.10,SELL
34,841.60,2348.25,5,6556.25,HOLD
35,868.60,2348.25,5,6691.25,HOLD
36,885.65,3233.90,4,6776.50,SELL
37,910.36,3233.90,4,6875.34,HOLD
38,924.52,2309.38,5,6931.98,BUY
39,940.98,1368.40,6,7014.28,BUY
40,928.58,439.82,7,6939.88,BUY
41,982.27,439.82,7,7315.71,HOLD
42,973.63,439.82,7,7255.23,HOLD
43,975.62,439.82,7,7269.16,HOLD
44,957.17,439.82,7,7140.01,HOLD
45,958.05,1397.87,6,7146.17,SELL
46,965.83,432.04,7,7192.85,BUY
47,953.48,432.04,7,7106.40,HOLD
48,914.49,432.04,7,6833.47,HOLD
49,877.73,432.04,7,6576.15,HOLD
50,928.17,1360.21,6,6929.23,SELL
51,945.97,1360.21,6,7036.03,HOLD
52,954.54,405.67,7,7087.45,BUY
53,964.62,405.67,7,7158.01,HOLD
54,1001.00,405.67,7,7412.67,HOLD
55,1025.48,405.67,7,7584.03,HOLD
56,1019.81,405.67,7,7544.34,HOLD
57,944.15,405.67,7,7014.72,HOLD
58,958.57,1364.24,6,7115.66,SELL
59,962.78,2327.02,5,7140.92,SELL
60,960.64,3287.66,4,7130.22,SELL
61,981.52,4269.18,3,7213.74,SELL
62,979.47,3289.71,4,7207.59,BUY
63,994.76,4284.47,3,7268.75,SELL
64,1010.18,5294.65,2,7315.01,SELL
65,1028.48,4266.17,3,7351.61,BUY
66,1028.14,5294.31,2,7350.59,SELL
67,1046.57,4247.74,3,7387.45,BUY
68,1046.51,3201.23,4,7387.27,BUY
69,1039.26,2161.97,5,7358.27,BUY
70,1050.32,1111.65,6,7413.57,BUY
71,1052.21,59.44,7,7424.91,BUY
72,964.02,59.44,7,6807.58,HOLD
73,1014.10,59.44,7,7158.14,HOLD
74,1047.12,59.44,7,7389.28,HOLD
