DAY,Price,Cash,Shares,PortfolioValue,Action
0,591.38,6140.00,0,6140.00,HOLD
1,485.14,6140.00,0,6140.00,HOLD
2,488.98,6140.00,0,6140.00,HOLD
3,551.30,5588.70,1,6140.00,BUY
4,599.30,4989.40,2,6188.00,BUY
5,603.15,5592.55,1,6195.70,SELL
6,637.33,6229.88,0,6229.88,SELL
7,635.16,6229.88,0,6229.88,HOLD
8,673.66,5556.22,1,6229.88,BUY
9,687.67,6243.89,0,6243.89,SELL
10,718.81,5525.08,1,6243.89,BUY
11,735.06,4790.02,2,6260.14,BUY
12,746.56,4790.02,2,6283.14,HOLD
13,714.14,4790.02,2,6218.30,HOLD
14,744.26,4045.76,3,6278.54,BUY
15,731.76,3314.00,4,6241.04,BUY
16,755.44,2558.56,5,6335.76,BUY
17,775.29,3333.85,4,6435.01,SELL
18,785.75,2548.10,5,6476.85,BUY
19,802.04,1746.06,6,6558.30,BUY
20,830.55,1746.06,6,6729.36,HOLD
21,858.00,2604.06,5,6894.06,SELL
22,805.52,2604.06,5,6631.66,HOLD
23,827.27,2604.06,5,6740.41,HOLD
24,858.23,1745.83,6,6895.21,BUY
25,864.17,2610.00,5,6930.85,SELL
26,891.99,2610.00,5,7069.95,HOLD
27,821.89,1788.11,6,6719.45,BUY
28,843.06,945.05,7,6846.47,BUY
29,865.95,945.05,7,7006.70,HOLD
30,803.24,945.05,7,6567.73,HOLD
31,766.96,178.09,8,6313.77,BUY
32,810.01,178.09,8,6658.17,HOLD
33,835.27,178.09,8,6860.25,HOLD
34,836.00,178.09,8,6866.09,HOLD
35,868.89,178.09,8,7129.21,HOLD
36,883.24,178.09,8,7244.01,HOLD
37,906.31,178.09,8,7428.57,HOLD
38,921.27,178.09,8,7548.25,HOLD
39,928.51,178.09,8,7606.17,HOLD
40,955.38,178.09,8,7821.13,HOLD
41,978.12,178.09,8,8003.05,HOLD
42,963.09,178.09,8,7882.81,HOLD
43,975.05,178.09,8,7978.49,HOLD
44,918.68,178.09,8,7527.53,HOLD
45,961.26,1139.35,7,7868.17,SELL
46,974.30,165.05,8,7959.45,BUY
47,934.35,1099.40,7,7639.85,SELL
48,920.07,179.33,8,7539.89,BUY
49,890.07,179.33,8,7299.89,HOLD
50,935.11,179.33,8,7660.21,HOLD
51,939.19,179.33,8,7692.85,HOLD
52,954.17,1133.50,7,7812.69,SELL
53,968.35,165.15,8,7911.95,BUY
54,1009.34,165.15,8,8239.87,HOLD
55,1019.59,165.15,8,8321.87,HOLD
56,995.96,165.15,8,8132.83,HOLD
57,961.16,165.15,8,7854.43,HOLD
58,948.04,165.15,8,7749.47,HOLD
59,965.55,1130.70,7,7889.55,SELL
60,973.76,156.94,8,7947.02,BUY
61,983.02,156.94,8,8021.10,HOLD
62,989.15,156.94,8,8070.14,HOLD
63,1004.57,156.94,8,8193.50,HOLD
64,1011.31,156.94,8,8247.42,HOLD
65,1033.94,156.94,8,8428.46,HOLD
66,1013.91,156.94,8,8268.22,HOLD
67,1044.70,156.94,8,8514.54,HOLD
68,1053.01,156.94,8,8581.02,HOLD
69,1029.19,156.94,8,8390.46,HOLD
70,1055.64,156.94,8,8602.06,HOLD
71,1024.48,156.94,8,8352.78,HOLD
72,969.48,156.94,8,7912.78,HOLD
73,1027.84,1184.78,7,8379.66,SELL
74,1049.27,135.51,8,8529.67,BUY
75,1023.98,135.51,8,8327.35,HOLD
76,1036.25,1171.76,7,8425.51,SELL
77,999.58,1171.76,7,8168.82,HOLD
78,948.02,223.74,8,7807.90,BUY
79,985.14,223.74,8,8104.86,HOLD
80,986.55,223.74,8,8116.14,HOLD
81,994.28,223.74,8,8177.98,HOLD
82,988.36,223.74,8,8130.62,HOLD
83,1016.16,223.74,8,8353.02,HOLD
84,1023.13,1246.87,7,8408.78,SELL
85,980.26,266.61,8,8108.69,BUY
86,980.87,266.61,8,8113.57,HOLD
87,1005.96,266.61,8,8314.29,HOLD
88,990.51,1257.12,7,8190.69,SELL
89,1006.87,2263.99,6,8305.21,SELL
90,1025.23,1238.76,7,8415.37,BUY
91,962.91,1238.76,7,7979.13,HOLD
92,942.11,1238.76,7,7833.53,HOLD
93,883.17,2121.93,6,7420.95,SELL
94,886.93,2121.93,6,7443.51,HOLD
95,877.28,2121.93,6,7385.61,HOLD
96,860.81,1261.12,7,7286.79,BUY
97,863.47,397.65,8,7305.41,BUY
98,878.45,397.65,8,7425.25,HOLD
99,866.47,1264.12,7,7329.41,SELL
100,914.33,349.79,8,7664.43,BUY
101,930.34,349.79,8,7792.51,HOLD
102,949.46,1299.25,7,7945.47,SELL
103,905.18,394.07,8,7635.51,BUY
104,922.60,394.07,8,7774.87,HOLD
105,906.59,1300.66,7,7646.79,SELL
106,905.05,1300.66,7,7636.01,HOLD
107,852.23,448.43,8,7266.27,BUY
108,868.28,448.43,8,7394.67,HOLD
109,861.92,448.43,8,7343.79,HOLD
110,888.45,448.43,8,7556.03,HOLD
111,865.96,448.43,8,7376.11,HOLD
112,780.96,448.43,8,6696.11,HOLD
113,719.47,448.43,8,6204.19,HOLD
114,724.20,448.43,8,6242.03,HOLD
115,764.02,448.43,8,6560.59,HOLD
116,754.33,448.43,8,6483.07,HOLD
117,789.73,1238.16,7,6766.27,SELL
118,801.05,437.11,8,6845.51,BUY
119,826.23,1263.34,7,7046.95,SELL
120,826.72,436.62,8,7050.38,BUY
121,795.87,436.62,8,6803.58,HOLD
122,775.33,436.62,8,6639.26,HOLD
123,768.82,1205.44,7,6587.18,SELL
124,770.05,435.39,8,6595.79,BUY
125,750.14,435.39,8,6436.51,HOLD
126,668.30,1103.69,7,5781.79,SELL
127,690.48,1103.69,7,5937.05,HOLD
128,665.17,1103.69,7,5759.88,HOLD
129,674.48,1778.17,6,5825.05,SELL
130,687.19,1778.17,6,5901.31,HOLD
131,684.99,1778.17,6,5888.11,HOLD
132,724.53,1053.64,7,6125.35,BUY
133,731.53,322.11,8,6174.35,BUY
134,732.48,322.11,8,6181.95,HOLD
135,732.41,322.11,8,6181.39,HOLD
136,712.40,322.11,8,6021.31,HOLD
137,710.20,1032.31,7,6003.71,SELL
138,691.25,341.06,8,5871.06,BUY
139,670.38,341.06,8,5704.10,HOLD
140,695.02,341.06,8,5901.22,HOLD
141,713.19,341.06,8,6046.58,HOLD
142,725.23,341.06,8,6142.90,HOLD
143,744.03,341.06,8,6293.30,HOLD
144,776.30,341.06,8,6551.46,HOLD
145,763.81,341.06,8,6451.54,HOLD
146,774.54,1115.60,7,6537.38,SELL
147,786.52,329.08,8,6621.24,BUY
148,801.10,329.08,8,6737.88,HOLD
149,767.11,329.08,8,6465.96,HOLD
150,806.40,329.08,8,6780.28,HOLD
151,846.10,329.08,8,7097.88,HOLD
152,859.13,329.08,8,7202.12,HOLD
153,875.42,1204.50,7,7332.44,SELL
154,884.33,2088.83,6,7394.81,SELL
155,823.19,1265.64,7,7027.97,BUY
156,842.07,423.57,8,7160.13,BUY
157,806.47,423.57,8,6875.33,HOLD
158,837.49,1261.06,7,7123.49,SELL
159,844.48,1261.06,7,7172.42,HOLD
160,872.10,1261.06,7,7365.76,HOLD
161,870.48,1261.06,7,7354.42,HOLD
162,875.33,2136.39,6,7388.37,SELL
163,866.70,1269.69,7,7336.59,BUY
164,889.23,1269.69,7,7494.30,HOLD
165,873.91,1269.69,7,7387.06,HOLD
166,910.25,1269.69,7,7641.44,HOLD
167,886.14,1269.69,7,7472.67,HOLD
168,907.87,1269.69,7,7624.78,HOLD
169,889.94,1269.69,7,7499.27,HOLD
170,863.32,406.37,8,7312.93,BUY
171,892.12,406.37,8,7543.33,HOLD
172,923.40,406.37,8,7793.57,HOLD
173,902.95,406.37,8,7629.97,HOLD
174,886.46,406.37,8,7498.05,HOLD
175,859.51,406.37,8,7282.45,HOLD
176,806.47,1212.84,7,6858.13,SELL
177,822.27,1212.84,7,6968.73,HOLD
178,782.63,430.21,8,6691.25,BUY
179,740.51,430.21,8,6354.29,HOLD
180,753.37,1183.58,7,6457.17,SELL
181,797.44,386.14,8,6765.66,BUY
182,804.74,386.14,8,6824.06,HOLD
183,813.25,1199.39,7,6892.14,SELL
184,819.23,2018.62,6,6934.00,SELL
185,810.90,2829.52,5,6884.02,SELL
186,834.66,2829.52,5,7002.82,HOLD
187,851.82,2829.52,5,7088.62,HOLD
188,865.26,1964.26,6,7155.82,BUY
189,881.97,1082.29,7,7256.08,BUY
190,846.47,1082.29,7,7007.58,HOLD
191,833.24,1082.29,7,6914.97,HOLD
192,811.57,1893.86,6,6763.28,SELL
193,795.37,1098.49,7,6666.08,BUY
194,852.79,245.70,8,7068.02,BUY
195,864.56,245.70,8,7162.18,HOLD
196,858.30,245.70,8,7112.10,HOLD
197,866.18,245.70,8,7175.14,HOLD
198,875.87,1121.57,7,7252.66,SELL
199,900.84,1121.57,7,7427.45,HOLD
200,903.61,1121.57,7,7446.84,HOLD
201,867.45,1121.57,7,7193.72,HOLD
202,842.84,1964.41,6,7021.45,SELL
203,840.29,1124.12,7,7006.15,BUY
204,860.53,1984.65,6,7147.83,SELL
205,862.81,2847.46,5,7161.51,SELL
206,868.51,2847.46,5,7190.01,HOLD
207,839.16,2847.46,5,7043.26,HOLD
208,831.02,3678.48,4,7002.56,SELL
209,855.06,4533.54,3,7098.72,SELL
210,859.69,4533.54,3,7112.61,HOLD
211,848.50,5382.04,2,7079.04,SELL
212,838.29,4543.75,3,7058.62,BUY
213,841.98,3701.77,4,7069.69,BUY
214,845.03,2856.74,5,7081.89,BUY
215,819.13,3675.87,4,6952.39,SELL
216,795.02,3675.87,4,6855.95,HOLD
217,778.39,4454.26,3,6789.43,SELL
218,759.91,3694.35,4,6733.99,BUY
219,776.71,3694.35,4,6801.19,HOLD
220,764.46,2929.89,5,6752.19,BUY
221,764.15,2165.74,6,6750.64,BUY
222,693.86,1471.88,7,6328.90,BUY
223,729.93,2201.81,6,6581.39,SELL
224,764.15,2201.81,6,6786.71,HOLD
225,771.11,1430.70,7,6828.47,BUY
226,768.13,2198.83,6,6807.61,SELL
227,738.33,2198.83,6,6628.81,HOLD
228,733.28,1465.55,7,6598.51,BUY
229,750.17,1465.55,7,6716.74,HOLD
230,707.96,757.59,8,6421.27,BUY
231,682.50,757.59,8,6217.59,HOLD
232,689.53,68.06,9,6273.83,BUY
233,678.98,68.06,9,6178.88,HOLD
234,635.94,68.06,9,5791.52,HOLD
235,691.58,6292.28,0,6292.28,SELL;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
236,679.23,6292.28,0,6292.28,HOLD
