DAY,Price,Cash,Shares,PortfolioValue,Action
0,555.47,6504.00,0,6504.00,HOLD
1,419.55,6504.00,0,6504.00,HOLD
2,501.82,6002.18,1,6504.00,BUY
3,542.75,6544.93,0,6544.93,SELL
4,610.66,6544.93,0,6544.93,HOLD
5,628.05,6544.93,0,6544.93,HOLD
6,629.12,6544.93,0,6544.93,HOLD
7,647.52,6544.93,0,6544.93,HOLD
8,676.24,6544.93,0,6544.93,HOLD
9,697.09,6544.93,0,6544.93,HOLD
10,722.04,6544.93,0,6544.93,HOLD
11,734.63,6544.93,0,6544.93,HOLD
12,752.29,6544.93,0,6544.93,HOLD
13,717.68,5827.25,1,6544.93,BUY
14,755.12,5827.25,1,6582.37,HOLD
15,726.36,5827.25,1,6553.61,HOLD
16,758.38,6585.63,0,6585.63,SELL
17,775.96,6585.63,0,6585.63,HOLD
18,785.97,5799.66,1,6585.63,BUY
19,804.29,5799.66,1,6603.95,HOLD
20,837.11,6636.77,0,6636.77,SELL
21,836.58,6636.77,0,6636.77,HOLD
22,785.00,6636.77,0,6636.77,HOLD
23,832.74,6636.77,0,6636.77,HOLD
24,869.84,6636.77,0,6636.77,HOLD
25,874.77,5762.00,1,6636.77,BUY
26,883.50,4878.50,2,6645.50,BUY
27,804.28,5682.78,1,6487.06,SELL
28,855.65,6538.43,0,6538.43,SELL
29,859.88,6538.43,0,6538.43,HOLD
30,819.66,6538.43,0,6538.43,HOLD
31,784.88,6538.43,0,6538.43,HOLD
32,814.76,6538.43,0,6538.43,HOLD
33,829.53,6538.43,0,6538.43,HOLD
34,840.43,6538.43,0,6538.43,HOLD
35,855.28,6538.43,0,6538.43,HOLD
36,891.61,6538.43,0,6538.43,HOLD
37,904.45,6538.43,0,6538.43,HOLD
38,932.41,6538.43,0,6538.43,HOLD
39,918.44,6538.43,0,6538.43,HOLD
40,960.52,6538.43,0,6538.43,HOLD
41,953.36,6538.43,0,6538.43,HOLD
42,940.11,5598.32,1,6538.43,BUY
43,981.05,5598.32,1,6579.37,HOLD
44,918.92,4679.40,2,6517.24,BUY
45,956.93,5636.33,1,6593.26,SELL
46,970.55,5636.33,1,6606.88,HOLD
47,906.31,5636.33,1,6542.64,HOLD
48,916.75,5636.33,1,6553.08,HOLD
49,890.97,5636.33,1,6527.30,HOLD
50,945.11,5636.33,1,6581.44,HOLD
51,948.34,6584.67,0,6584.67,SELL
52,954.93,5629.74,1,6584.67,BUY
53,969.53,5629.74,1,6599.27,HOLD
54,1008.80,5629.74,1,6638.54,HOLD
55,1023.43,6653.17,0,6653.17,SELL
56,983.73,6653.17,0,6653.17,HOLD
57,970.96,5682.21,1,6653.17,BUY
58,953.91,4728.30,2,6636.12,BUY
59,948.37,4728.30,2,6625.04,HOLD
60,979.00,4728.30,2,6686.30,HOLD
61,982.14,4728.30,2,6692.58,HOLD
62,991.93,3736.37,3,6712.16,BUY
63,1006.83,4743.20,2,6756.86,SELL
64,1013.47,4743.20,2,6770.14,HOLD
65,1039.79,5782.99,1,6822.78,SELL
66,1030.36,4752.63,2,6813.35,BUY
67,1046.90,5799.53,1,6846.43,SELL
68,1045.27,5799.53,1,6844.80,HOLD
69,1029.26,5799.53,1,6828.79,HOLD
70,1054.58,5799.53,1,6854.11,HOLD
71,1009.21,5799.53,1,6808.74,HOLD
72,1000.72,5799.53,1,6800.25,HOLD
73,1026.36,6825.89,0,6825.89,SELL
74,1049.80,6825.89,0,6825.89,HOLD
75,1028.40,6825.89,0,6825.89,HOLD
76,1034.80,6825.89,0,6825.89,HOLD
77,982.26,6825.89,0,6825.89,HOLD
78,936.95,6825.89,0,6825.89,HOLD
79,997.10,6825.89,0,6825.89,HOLD
80,1000.29,6825.89,0,6825.89,HOLD
81,1000.96,5824.93,1,6825.89,BUY
82,1002.51,4822.42,2,6827.44,BUY
83,1027.07,3795.35,3,6876.56,BUY
84,1012.95,4808.30,2,6834.20,SELL
85,960.84,5769.14,1,6729.98,SELL
86,991.07,5769.14,1,6760.21,HOLD
87,996.85,6765.99,0,6765.99,SELL
88,982.43,6765.99,0,6765.99,HOLD
89,1014.39,5751.60,1,6765.99,BUY
90,1007.84,4743.76,2,6759.44,BUY
91,978.69,3765.07,3,6701.14,BUY
92,929.15,3765.07,3,6552.52,HOLD
93,881.68,3765.07,3,6410.11,HOLD
94,893.91,3765.07,3,6446.80,HOLD
95,850.28,3765.07,3,6315.91,HOLD
96,865.58,3765.07,3,6361.81,HOLD
97,868.91,3765.07,3,6371.80,HOLD
98,864.69,4629.76,2,6359.14,SELL
99,879.68,4629.76,2,6389.12,HOLD
100,927.02,5556.78,1,6483.80,SELL
