DAY,Price,Cash,Shares,PortfolioValue,Action
0,2171.84,9535.00,0,9535.00,HOLD
1,2172.16,9535.00,0,9535.00,HOLD
2,2225.41,7309.59,1,9535.00,BUY
3,2241.94,7309.59,1,9551.53,HOLD
4,2082.74,7309.59,1,9392.33,HOLD
5,2180.51,7309.59,1,9490.10,HOLD
6,2230.26,9539.85,0,9539.85,SELL
7,2079.03,9539.85,0,9539.85,HOLD
8,1969.34,7570.51,1,9539.85,BUY
9,1946.90,7570.51,1,9517.41,HOLD
10,1714.38,5856.13,2,9284.89,BUY
11,1458.41,4397.72,3,8772.95,BUY
12,1659.95,4397.72,3,9377.57,HOLD
13,1742.67,6140.39,2,9625.73,SELL
14,1825.76,6140.39,2,9791.91,HOLD
15,1841.66,4298.73,3,9823.71,BUY
16,1911.63,6210.36,2,10033.62,SELL
17,1942.54,4267.82,3,10095.44,BUY
18,1913.21,2354.61,4,10007.45,BUY
19,1961.40,393.21,5,10200.21,BUY
20,2006.62,393.21,5,10426.31,HOLD
21,2138.18,393.21,5,11084.11,HOLD
22,2084.63,393.21,5,10816.36,HOLD
23,2108.91,393.21,5,10937.76,HOLD
24,2115.25,393.21,5,10969.46,HOLD
25,2135.30,393.21,5,11069.71,HOLD
26,2140.29,2533.50,4,11094.66,SELL
27,2187.85,4721.35,3,11284.90,SELL
28,2195.49,6916.84,2,11307.82,SELL
29,2248.49,6916.84,2,11413.82,HOLD
30,2333.62,9250.46,1,11584.08,SELL
31,2383.69,11634.15,0,11634.15,SELL
32,2283.48,11634.15,0,11634.15,HOLD
33,2326.06,11634.15,0,11634.15,HOLD
34,2362.42,9271.73,1,11634.15,BUY
35,2410.79,6860.94,2,11682.52,BUY
36,2379.38,6860.94,2,11619.70,HOLD
37,2291.32,4569.62,3,11443.58,BUY
38,2383.82,6953.44,2,11721.08,SELL
39,2325.03,9278.47,1,11603.50,SELL
40,2344.49,11622.96,0,11622.96,SELL
41,2266.93,11622.96,0,11622.96,HOLD
42,2404.97,11622.96,0,11622.96,HOLD
43,2460.96,11622.96,0,11622.96,HOLD
44,2539.79,9083.17,1,11622.96,BUY
45,2618.47,9083.17,1,11701.64,HOLD
46,2705.34,11788.51,0,11788.51,SELL
47,2754.16,11788.51,0,11788.51,HOLD
48,2762.80,11788.51,0,11788.51,HOLD
49,2799.56,8988.95,1,11788.51,BUY
50,2961.37,11950.32,0,11950.32,SELL
51,3109.63,11950.32,0,11950.32,HOLD
52,3077.15,11950.32,0,11950.32,HOLD
53,3118.89,11950.32,0,11950.32,HOLD
54,3091.85,8858.47,1,11950.32,BUY
55,3064.25,8858.47,1,11922.72,HOLD
56,3040.28,5818.19,2,11898.75,BUY
57,2988.28,8806.47,1,11794.75,SELL
58,2992.64,8806.47,1,11799.11,HOLD
59,3036.14,5770.33,2,11842.61,BUY
60,3019.60,5770.33,2,11809.53,HOLD
61,3025.39,5770.33,2,11821.11,HOLD
62,3101.86,5770.33,2,11974.05,HOLD
63,3127.91,5770.33,2,12026.15,HOLD
64,3193.40,5770.33,2,12157.13,HOLD
65,3191.34,5770.33,2,12153.01,HOLD
66,3120.70,2649.63,3,12011.73,BUY
67,3192.25,2649.63,3,12226.38,HOLD
68,3135.38,2649.63,3,12055.77,HOLD
69,3160.30,5809.93,2,12130.53,SELL
70,3216.10,5809.93,2,12242.13,HOLD
71,3216.18,2593.75,3,12242.29,BUY
72,3256.68,2593.75,3,12363.79,HOLD
73,3263.07,2593.75,3,12382.96,HOLD
74,3288.63,2593.75,3,12459.64,HOLD
75,3277.66,2593.75,3,12426.73,HOLD
76,3250.45,2593.75,3,12345.10,HOLD
77,3215.91,2593.75,3,12241.48,HOLD
78,3210.90,5804.65,2,12226.45,SELL
79,3237.55,2567.10,3,12279.75,BUY
80,3217.65,5784.75,2,12220.05,SELL
81,3097.83,2686.92,3,11980.41,BUY
82,3121.04,2686.92,3,12050.04,HOLD
83,3171.78,5858.70,2,12202.26,SELL
84,3111.49,8970.19,1,12081.68,SELL
85,3126.65,12096.84,0,12096.84,SELL
86,3095.72,12096.84,0,12096.84,HOLD
87,2908.30,12096.84,0,12096.84,HOLD
88,2962.33,12096.84,0,12096.84,HOLD
89,3002.74,12096.84,0,12096.84,HOLD
90,3009.55,9087.29,1,12096.84,BUY
91,2978.07,6109.22,2,12065.36,BUY
92,2903.72,6109.22,2,11916.66,HOLD
93,2937.53,9046.75,1,11984.28,SELL
94,2973.24,6073.51,2,12019.99,BUY
95,2874.64,6073.51,2,11822.79,HOLD
96,3001.55,9075.06,1,12076.61,SELL
97,2989.63,6085.43,2,12064.69,BUY
98,2980.91,3104.52,3,12047.25,BUY
99,2975.74,6080.26,2,12031.74,SELL
100,2933.10,3147.16,3,11946.46,BUY
101,2914.73,232.43,4,11891.35,BUY
102,2817.11,232.43,4,11500.87,HOLD
103,2591.53,2823.96,3,10598.55,SELL
104,2753.51,5577.47,2,11084.49,SELL
105,2711.34,5577.47,2,11000.15,HOLD
106,2705.31,8282.78,1,10988.09,SELL
107,2726.35,8282.78,1,11009.13,HOLD
108,2647.28,5635.50,2,10930.06,BUY
109,2688.71,8324.21,1,11012.92,SELL
110,2722.36,5601.85,2,11046.57,BUY
111,2729.68,2872.17,3,11061.21,BUY
112,2685.52,5557.69,2,10928.73,SELL
113,2685.01,5557.69,2,10927.71,HOLD
114,2690.48,2867.21,3,10938.65,BUY
115,2664.06,2867.21,3,10859.39,HOLD
116,2606.08,5473.29,2,10685.45,SELL
117,2593.61,8066.90,1,10660.51,SELL
118,2634.29,8066.90,1,10701.19,HOLD
119,2654.18,5412.72,2,10721.08,BUY
120,2621.96,8034.68,1,10656.64,SELL
121,2436.04,5598.64,2,10470.72,BUY
122,2342.81,7941.45,1,10284.26,SELL
123,2375.45,7941.45,1,10316.90,HOLD
124,2290.33,7941.45,1,10231.78,HOLD
125,2312.49,7941.45,1,10253.94,HOLD
126,2382.65,7941.45,1,10324.10,HOLD
127,2396.19,5545.26,2,10337.64,BUY
128,2433.12,5545.26,2,10411.50,HOLD
129,2478.21,5545.26,2,10501.68,HOLD
130,2488.09,5545.26,2,10521.44,HOLD
131,2455.32,5545.26,2,10455.90,HOLD
132,2415.61,7960.87,1,10376.48,SELL
133,2379.06,10339.93,0,10339.93,SELL
134,2352.76,10339.93,0,10339.93,HOLD
135,2215.36,8124.57,1,10339.93,BUY
136,2180.84,8124.57,1,10305.41,HOLD
137,2181.65,8124.57,1,10306.22,HOLD
138,2234.59,8124.57,1,10359.16,HOLD
139,2234.49,5890.08,2,10359.06,BUY
140,2323.37,8213.45,1,10536.82,SELL
141,2403.64,8213.45,1,10617.09,HOLD
142,2446.79,8213.45,1,10660.24,HOLD
143,2407.58,5805.87,2,10621.03,BUY
144,2421.42,5805.87,2,10648.71,HOLD
145,2377.98,8183.85,1,10561.83,SELL
146,2379.44,8183.85,1,10563.29,HOLD
147,2325.78,10509.63,0,10509.63,SELL
148,2276.90,10509.63,0,10509.63,HOLD
149,2252.97,8256.66,1,10509.63,BUY
150,2358.33,5898.33,2,10614.99,BUY
151,2354.56,5898.33,2,10607.45,HOLD
152,2446.59,3451.74,3,10791.51,BUY
153,2438.04,3451.74,3,10765.86,HOLD
154,2440.86,3451.74,3,10774.32,HOLD
155,2430.27,3451.74,3,10742.55,HOLD
156,2383.76,3451.74,3,10603.02,HOLD
157,2455.65,5907.39,2,10818.69,SELL
158,2348.19,3559.20,3,10603.77,BUY
159,2383.17,3559.20,3,10708.71,HOLD
160,2415.34,5974.54,2,10805.22,SELL
161,2472.79,3501.75,3,10920.12,BUY
162,2514.42,987.33,4,11045.01,BUY
163,2557.19,987.33,4,11216.09,HOLD
164,2472.33,987.33,4,10876.65,HOLD
165,2497.83,987.33,4,10978.65,HOLD
166,2490.08,3477.41,3,10947.65,SELL
167,2500.01,977.40,4,10977.44,BUY
168,2551.49,977.40,4,11183.36,HOLD
169,2583.88,3561.28,3,11312.92,SELL
170,2623.43,3561.28,3,11431.57,HOLD
171,2600.49,960.79,4,11362.75,BUY
172,2562.03,960.79,4,11208.91,HOLD
173,2580.49,960.79,4,11282.75,HOLD
174,2517.67,960.79,4,11031.47,HOLD
175,2611.55,960.79,4,11406.99,HOLD
176,2595.21,960.79,4,11341.63,HOLD
177,2622.21,960.79,4,11449.63,HOLD
178,2580.71,960.79,4,11283.63,HOLD
179,2561.88,960.79,4,11208.31,HOLD
180,2509.53,960.79,4,10998.91,HOLD
181,2545.27,3506.06,3,11141.87,SELL
182,2575.19,3506.06,3,11231.63,HOLD
183,2535.15,3506.06,3,11111.51,HOLD
184,2555.46,950.60,4,11172.44,BUY
185,2461.59,3412.19,3,10796.96,SELL
186,2402.44,5814.63,2,10619.51,SELL
187,2449.42,3365.21,3,10713.47,BUY
188,2326.67,1038.54,4,10345.22,BUY
189,2273.97,3312.51,3,10134.42,SELL
190,2418.74,5731.25,2,10568.73,SELL
191,2422.97,5731.25,2,10577.19,HOLD
192,2500.91,5731.25,2,10733.07,HOLD
193,2502.26,5731.25,2,10735.77,HOLD
194,2492.55,5731.25,2,10716.35,HOLD
195,2529.74,5731.25,2,10790.73,HOLD
196,2556.52,8287.77,1,10844.29,SELL
197,2590.08,5697.69,2,10877.85,BUY
198,2572.60,8270.29,1,10842.89,SELL
199,2517.76,10788.05,0,10788.05,SELL
200,2455.50,10788.05,0,10788.05,HOLD
201,2453.45,8334.60,1,10788.05,BUY
202,2559.39,10893.99,0,10893.99,SELL
203,2640.96,8253.03,1,10893.99,BUY
204,2643.93,10896.96,0,10896.96,SELL
205,2619.38,10896.96,0,10896.96,HOLD
206,2630.16,10896.96,0,10896.96,HOLD
207,2679.54,10896.96,0,10896.96,HOLD
208,2674.09,8222.87,1,10896.96,BUY
209,2745.00,10967.87,0,10967.87,SELL
210,2706.97,8260.90,1,10967.87,BUY
211,2661.92,8260.90,1,10922.82,HOLD
212,2593.26,8260.90,1,10854.16,HOLD
213,2628.62,10889.52,0,10889.52,SELL
214,2678.84,10889.52,0,10889.52,HOLD
215,2723.21,10889.52,0,10889.52,HOLD
216,2734.64,10889.52,0,10889.52,HOLD
217,2693.66,8195.86,1,10889.52,BUY
218,2657.81,10853.67,0,10853.67,SELL
219,2702.17,10853.67,0,10853.67,HOLD
220,2759.03,10853.67,0,10853.67,HOLD
221,2765.76,8087.91,1,10853.67,BUY
222,2776.62,8087.91,1,10864.53,HOLD
223,2854.13,5233.78,2,10942.04,BUY
224,2857.07,8090.85,1,10947.92,SELL
225,2765.81,8090.85,1,10856.66,HOLD
226,2732.82,5358.03,2,10823.67,BUY
227,2491.47,2866.56,3,10340.97,BUY
228,2607.52,259.04,4,10689.12,BUY
229,2684.61,259.04,4,10997.48,HOLD
230,2671.59,259.04,4,10945.40,HOLD
231,2578.07,259.04,4,10571.32,HOLD
232,2493.37,259.04,4,10232.52,HOLD
233,2588.49,259.04,4,10613.00,HOLD
234,2593.27,2852.31,3,10632.12,SELL
235,2596.86,2852.31,3,10642.89,HOLD
236,2603.52,248.79,4,10662.87,BUY
237,2578.80,2827.59,3,10563.99,SELL
238,2552.36,2827.59,3,10484.67,HOLD
239,2540.48,2827.59,3,10449.03,HOLD
240,2410.93,2827.59,3,10060.38,HOLD
241,2474.62,352.97,4,10251.45,BUY
242,2495.64,352.97,4,10335.53,HOLD
243,2434.78,352.97,4,10092.09,HOLD
244,2448.76,352.97,4,10148.01,HOLD
245,2423.59,10047.33,0,10047.33,LIQUIDATE;LIQUIDATE;LIQUIDATE;LIQUIDATE
246,2388.33,10047.33,0,10047.33,HOLD
