DAY,Price,Cash,Shares,PortfolioValue,Action
0,2165.39,7143.01,1,9308.40,BUY
1,2188.10,7143.01,1,9331.11,HOLD
2,2245.58,7143.01,1,9388.59,HOLD
3,2166.23,7143.01,1,9309.24,HOLD
4,2120.53,5022.48,2,9263.54,BUY
5,2211.25,7233.73,1,9444.98,SELL
6,2205.21,9438.94,0,9438.94,SELL
7,2071.50,7367.44,1,9438.94,BUY
8,2009.39,9376.83,0,9376.83,SELL
9,1934.72,9376.83,0,9376.83,HOLD
10,1637.88,9376.83,0,9376.83,HOLD
11,1508.68,9376.83,0,9376.83,HOLD
12,1722.62,7654.21,1,9376.83,BUY
13,1791.92,5862.29,2,9446.13,BUY
14,1837.17,5862.29,2,9536.63,HOLD
15,1844.85,7707.14,1,9551.99,SELL
16,1934.31,5772.83,2,9641.45,BUY
17,1932.87,5772.83,2,9638.57,HOLD
18,1921.14,7693.97,1,9615.11,SELL
19,1967.84,5726.13,2,9661.81,BUY
20,2035.63,5726.13,2,9797.39,HOLD
21,2174.96,7901.09,1,10076.05,SELL
22,2030.82,7901.09,1,9931.91,HOLD
23,2122.10,10023.19,0,10023.19,SELL
24,2087.84,7935.35,1,10023.19,BUY
25,2157.71,5777.64,2,10093.06,BUY
26,2163.07,3614.57,3,10103.78,BUY
27,2183.83,1430.74,4,10166.06,BUY
28,2203.48,1430.74,4,10244.66,HOLD
29,2237.04,1430.74,4,10378.90,HOLD
30,2349.33,1430.74,4,10828.06,HOLD
31,2336.78,1430.74,4,10777.86,HOLD
32,2340.97,1430.74,4,10794.62,HOLD
33,2331.23,1430.74,4,10755.66,HOLD
34,2391.43,1430.74,4,10996.46,HOLD
35,2423.79,3854.53,3,11125.90,SELL
36,2323.58,3854.53,3,10825.27,HOLD
37,2320.04,6174.57,2,10814.65,SELL
38,2393.74,6174.57,2,10962.05,HOLD
39,2344.77,6174.57,2,10864.11,HOLD
40,2342.58,8517.15,1,10859.73,SELL
41,2267.95,10785.10,0,10785.10,SELL
42,2434.52,10785.10,0,10785.10,HOLD
43,2507.46,8277.64,1,10785.10,BUY
44,2553.70,10831.34,0,10831.34,SELL
45,2591.34,10831.34,0,10831.34,HOLD
46,2711.42,10831.34,0,10831.34,HOLD
47,2755.29,10831.34,0,10831.34,HOLD
48,2747.09,10831.34,0,10831.34,HOLD
49,2792.06,10831.34,0,10831.34,HOLD
50,2980.75,10831.34,0,10831.34,HOLD
51,3128.72,7702.62,1,10831.34,BUY
52,3123.27,4579.35,2,10825.89,BUY
53,3046.64,1532.71,3,10672.63,BUY
54,3068.46,1532.71,3,10738.09,HOLD
55,3108.70,1532.71,3,10858.81,HOLD
56,3079.16,1532.71,3,10770.19,HOLD
57,3020.74,1532.71,3,10594.93,HOLD
58,2929.36,4462.07,2,10320.79,SELL
59,3049.23,1412.84,3,10560.53,BUY
60,3003.05,4415.89,2,10421.99,SELL
61,3038.44,4415.89,2,10492.77,HOLD
62,3110.19,4415.89,2,10636.27,HOLD
63,3136.99,4415.89,2,10689.87,HOLD
64,3195.96,1219.93,3,10807.81,BUY
65,3203.25,1219.93,3,10829.68,HOLD
66,3109.78,4329.71,2,10549.27,SELL
67,3138.04,1191.67,3,10605.79,BUY
68,3140.48,1191.67,3,10613.11,HOLD
69,3142.37,4334.04,2,10618.78,SELL
70,3224.96,7559.00,1,10783.96,SELL
71,3210.31,10769.31,0,10769.31,SELL
72,3251.32,10769.31,0,10769.31,HOLD
73,3277.85,10769.31,0,10769.31,HOLD
74,3278.10,7491.21,1,10769.31,BUY
75,3252.41,10743.62,0,10743.62,SELL
76,3263.09,10743.62,0,10743.62,HOLD
77,3235.17,10743.62,0,10743.62,HOLD
78,3232.50,7511.12,1,10743.62,BUY
79,3273.33,7511.12,1,10784.45,HOLD
80,3202.11,7511.12,1,10713.23,HOLD
81,3049.03,7511.12,1,10560.15,HOLD
82,3106.97,7511.12,1,10618.09,HOLD
83,3181.64,10692.76,0,10692.76,SELL
84,3103.38,10692.76,0,10692.76,HOLD
85,3112.51,10692.76,0,10692.76,HOLD
86,3030.60,10692.76,0,10692.76,HOLD
87,2927.60,7765.16,1,10692.76,BUY
88,2999.33,4765.83,2,10764.49,BUY
89,2996.26,1769.57,3,10758.35,BUY
90,2965.40,4734.97,2,10665.77,SELL
91,2953.96,7688.93,1,10642.89,SELL
92,2938.27,4750.66,2,10627.20,BUY
93,2948.07,7698.73,1,10646.80,SELL
94,2930.31,10629.04,0,10629.04,SELL
95,2927.55,7701.49,1,10629.04,BUY
96,2998.29,4703.20,2,10699.78,BUY
97,2984.19,4703.20,2,10671.58,HOLD
98,3009.48,4703.20,2,10722.16,HOLD
99,2979.42,4703.20,2,10662.04,HOLD
100,2910.90,1792.30,3,10525.00,BUY
101,2875.98,1792.30,3,10420.24,HOLD
102,2780.68,1792.30,3,10134.34,HOLD
103,2702.78,1792.30,3,9900.64,HOLD
104,2761.76,1792.30,3,10077.58,HOLD
105,2711.99,4504.29,2,9928.27,SELL
106,2642.63,7146.92,1,9789.55,SELL
107,2702.34,4444.58,2,9849.26,BUY
108,2633.31,7077.89,1,9711.20,SELL
109,2683.69,7077.89,1,9761.58,HOLD
110,2707.74,9785.63,0,9785.63,SELL
111,2722.45,9785.63,0,9785.63,HOLD
112,2683.96,9785.63,0,9785.63,HOLD
113,2681.37,9785.63,0,9785.63,HOLD
114,2657.04,9785.63,0,9785.63,HOLD
115,2667.85,9785.63,0,9785.63,HOLD
116,2553.01,7232.62,1,9785.63,BUY
117,2603.58,7232.62,1,9836.20,HOLD
118,2605.87,7232.62,1,9838.49,HOLD
119,2654.32,7232.62,1,9886.94,HOLD
120,2606.61,7232.62,1,9839.23,HOLD
121,2447.33,9679.95,0,9679.95,SELL
122,2306.48,9679.95,0,9679.95,HOLD
123,2332.59,9679.95,0,9679.95,HOLD
124,2307.90,9679.95,0,9679.95,HOLD
125,2307.69,9679.95,0,9679.95,HOLD
126,2387.91,9679.95,0,9679.95,HOLD
127,2429.07,7250.88,1,9679.95,BUY
128,2465.32,4785.56,2,9716.20,BUY
129,2506.41,2279.15,3,9798.38,BUY
130,2492.69,2279.15,3,9757.22,HOLD
131,2476.75,4755.90,2,9709.40,SELL
132,2402.67,2353.23,3,9561.24,BUY
133,2418.59,2353.23,3,9609.00,HOLD
134,2359.84,2353.23,3,9432.75,HOLD
135,2197.90,4551.13,2,8946.93,SELL
136,2204.03,4551.13,2,8959.19,HOLD
137,2162.87,6714.00,1,8876.87,SELL
138,2200.44,6714.00,1,8914.44,HOLD
139,2262.02,6714.00,1,8976.02,HOLD
140,2296.44,9010.44,0,9010.44,SELL
141,2401.99,9010.44,0,9010.44,HOLD
142,2442.90,9010.44,0,9010.44,HOLD
143,2428.12,9010.44,0,9010.44,HOLD
144,2474.33,9010.44,0,9010.44,HOLD
145,2357.20,9010.44,0,9010.44,HOLD
146,2360.95,6649.49,1,9010.44,BUY
147,2335.75,8985.24,0,8985.24,SELL
148,2236.38,8985.24,0,8985.24,HOLD
149,2253.27,6731.97,1,8985.24,BUY
150,2375.78,9107.75,0,9107.75,SELL
151,2372.57,6735.18,1,9107.75,BUY
152,2423.37,4311.81,2,9158.55,BUY
153,2432.40,4311.81,2,9176.61,HOLD
154,2459.83,6771.64,1,9231.47,SELL
155,2446.00,9217.64,0,9217.64,SELL
156,2407.29,9217.64,0,9217.64,HOLD
157,2426.52,9217.64,0,9217.64,HOLD
158,2370.77,6846.87,1,9217.64,BUY
159,2402.78,9249.65,0,9249.65,SELL
160,2428.61,9249.65,0,9249.65,HOLD
161,2478.67,6770.98,1,9249.65,BUY
162,2536.23,6770.98,1,9307.21,HOLD
163,2568.46,9339.44,0,9339.44,SELL
164,2481.38,9339.44,0,9339.44,HOLD
165,2486.09,9339.44,0,9339.44,HOLD
166,2472.45,6866.99,1,9339.44,BUY
167,2524.89,4342.10,2,9391.88,BUY
168,2553.79,6895.89,1,9449.68,SELL
169,2608.01,9503.90,0,9503.90,SELL
170,2633.52,9503.90,0,9503.90,HOLD
171,2596.82,6907.08,1,9503.90,BUY
172,2568.52,9475.60,0,9475.60,SELL
173,2591.86,9475.60,0,9475.60,HOLD
174,2534.48,6941.12,1,9475.60,BUY
175,2600.67,4340.45,2,9541.79,BUY
176,2621.60,1718.85,3,9583.65,BUY
177,2639.10,4357.95,2,9636.15,SELL
178,2568.15,6926.10,1,9494.25,SELL
179,2520.87,4405.23,2,9446.97,BUY
180,2499.89,4405.23,2,9405.01,HOLD
181,2561.22,6966.45,1,9527.67,SELL
182,2560.09,9526.54,0,9526.54,SELL
183,2528.18,9526.54,0,9526.54,HOLD
184,2551.12,9526.54,0,9526.54,HOLD
185,2445.51,7081.03,1,9526.54,BUY
186,2436.52,4644.51,2,9517.55,BUY
187,2450.78,2193.73,3,9546.07,BUY
188,2362.69,2193.73,3,9281.80,HOLD
189,2288.64,2193.73,3,9059.65,HOLD
190,2418.14,2193.73,3,9448.15,HOLD
191,2468.43,2193.73,3,9599.02,HOLD
192,2490.43,4684.16,2,9665.02,SELL
193,2501.44,7185.60,1,9687.04,SELL
194,2495.38,7185.60,1,9680.98,HOLD
195,2509.89,9695.49,0,9695.49,SELL
196,2584.85,9695.49,0,9695.49,HOLD
197,2611.72,9695.49,0,9695.49,HOLD
198,2566.34,9695.49,0,9695.49,HOLD
199,2515.84,7179.65,1,9695.49,BUY
200,2464.35,7179.65,1,9644.00,HOLD
201,2483.81,4695.84,2,9663.46,BUY
202,2562.50,7258.34,1,9820.84,SELL
203,2601.99,7258.34,1,9860.33,HOLD
204,2644.04,7258.34,1,9902.38,HOLD
205,2623.15,7258.34,1,9881.49,HOLD
206,2633.57,9891.91,0,9891.91,SELL
207,2696.31,9891.91,0,9891.91,HOLD
208,2724.25,9891.91,0,9891.91,HOLD
209,2742.68,9891.91,0,9891.91,HOLD
210,2727.10,9891.91,0,9891.91,HOLD
211,2678.21,7213.70,1,9891.91,BUY
212,2553.55,7213.70,1,9767.25,HOLD
213,2641.35,7213.70,1,9855.05,HOLD
214,2676.63,9890.33,0,9890.33,SELL
215,2713.92,9890.33,0,9890.33,HOLD
216,2719.74,7170.59,1,9890.33,BUY
217,2714.34,4456.25,2,9884.93,BUY
218,2659.43,4456.25,2,9775.11,HOLD
219,2707.44,7163.69,1,9871.13,SELL
220,2786.16,9949.85,0,9949.85,SELL
221,2762.98,7186.87,1,9949.85,BUY
222,2774.71,7186.87,1,9961.58,HOLD
223,2858.87,7186.87,1,10045.74,HOLD
224,2841.33,7186.87,1,10028.20,HOLD
225,2748.65,7186.87,1,9935.52,HOLD
226,2733.63,7186.87,1,9920.50,HOLD
227,2510.82,4676.05,2,9697.69,BUY
228,2632.44,7308.49,1,9940.93,SELL
229,2690.35,4618.14,2,9998.84,BUY
230,2649.56,1968.58,3,9917.26,BUY
231,2560.65,4529.23,2,9650.53,SELL
