DAY,Price,Cash,Shares,PortfolioValue,Action
0,2183.90,7466.30,1,9650.20,BUY
1,2149.95,7466.30,1,9616.25,HOLD
2,2204.49,5261.81,2,9670.79,BUY
3,2258.09,5261.81,2,9777.99,HOLD
4,2172.33,5261.81,2,9606.47,HOLD
5,2154.88,3106.93,3,9571.57,BUY
6,2214.77,3106.93,3,9751.24,HOLD
7,2191.20,915.73,4,9680.53,BUY
8,2059.13,915.73,4,9152.25,HOLD
9,2005.81,915.73,4,8938.97,HOLD
10,1898.27,915.73,4,8508.81,HOLD
11,1591.12,915.73,4,7280.21,HOLD
12,1645.28,2561.01,3,7496.85,SELL
13,1685.37,875.64,4,7617.12,BUY
14,1801.80,875.64,4,8082.84,HOLD
15,1828.13,875.64,4,8188.16,HOLD
16,1895.98,875.64,4,8459.56,HOLD
17,1894.29,875.64,4,8452.80,HOLD
18,1905.17,875.64,4,8496.32,HOLD
19,1968.59,875.64,4,8750.00,HOLD
20,1997.94,875.64,4,8867.40,HOLD
21,2059.14,875.64,4,9112.20,HOLD
22,2166.01,875.64,4,9539.68,HOLD
23,2079.02,875.64,4,9191.72,HOLD
24,2110.51,875.64,4,9317.68,HOLD
25,2108.26,875.64,4,9308.68,HOLD
26,2164.03,875.64,4,9531.76,HOLD
27,2165.60,875.64,4,9538.04,HOLD
28,2214.28,875.64,4,9732.76,HOLD
29,2237.21,875.64,4,9824.48,HOLD
30,2269.69,875.64,4,9954.40,HOLD
31,2396.11,875.64,4,10460.08,HOLD
32,2353.17,875.64,4,10288.32,HOLD
33,2336.98,875.64,4,10223.56,HOLD
34,2341.29,875.64,4,10240.80,HOLD
35,2369.12,875.64,4,10352.12,HOLD
36,2429.94,875.64,4,10595.40,HOLD
37,2287.44,875.64,4,10025.40,HOLD
38,2327.83,875.64,4,10186.96,HOLD
39,2385.87,875.64,4,10419.12,HOLD
40,2322.06,875.64,4,10163.88,HOLD
41,2321.23,875.64,4,10160.56,HOLD
42,2315.30,3190.94,3,10136.84,SELL
43,2435.59,3190.94,3,10497.71,HOLD
44,2533.34,657.60,4,10790.96,BUY
45,2605.03,657.60,4,11077.72,HOLD
46,2611.67,657.60,4,11104.28,HOLD
47,2700.92,657.60,4,11461.28,HOLD
48,2735.08,657.60,4,11597.92,HOLD
49,2733.64,657.60,4,11592.16,HOLD
50,2809.35,657.60,4,11895.00,HOLD
51,3040.11,657.60,4,12818.04,HOLD
52,3085.90,3743.50,3,13001.20,SELL
53,3140.60,6884.10,2,13165.30,SELL
54,2962.70,6884.10,2,12809.50,HOLD
55,3081.78,6884.10,2,13047.66,HOLD
56,3145.84,10029.94,1,13175.78,SELL
57,3035.46,10029.94,1,13065.40,HOLD
58,3029.37,13059.31,0,13059.31,SELL
59,2951.53,13059.31,0,13059.31,HOLD
60,3027.20,10032.11,1,13059.31,BUY
61,2971.04,7061.07,2,13003.15,BUY
62,3061.40,7061.07,2,13183.87,HOLD
63,3125.33,3935.74,3,13311.73,BUY
64,3162.12,7097.86,2,13422.10,SELL
65,3165.49,10263.35,1,13428.84,SELL
66,3176.55,10263.35,1,13439.90,HOLD
67,3133.64,10263.35,1,13396.99,HOLD
68,3103.88,7159.47,2,13367.23,BUY
69,3149.46,7159.47,2,13458.39,HOLD
70,3171.85,3987.62,3,13503.17,BUY
71,3218.67,3987.62,3,13643.63,HOLD
72,3226.98,760.64,4,13668.56,BUY
73,3262.58,760.64,4,13810.96,HOLD
74,3289.18,760.64,4,13917.36,HOLD
75,3278.19,760.64,4,13873.40,HOLD
76,3188.80,760.64,4,13515.84,HOLD
77,3259.32,760.64,4,13797.92,HOLD
78,3246.09,760.64,4,13745.00,HOLD
79,3202.32,760.64,4,13569.92,HOLD
80,3261.93,760.64,4,13808.36,HOLD
81,3146.76,760.64,4,13347.68,HOLD
82,3064.65,760.64,4,13019.24,HOLD
83,3132.77,760.64,4,13291.72,HOLD
84,3186.79,760.64,4,13507.80,HOLD
85,3109.01,3869.65,3,13196.68,SELL
86,3107.98,3869.65,3,13193.59,HOLD
