DAY,Price,Cash,Shares,PortfolioValue,Action
0,9010.89,38982.30,0,38982.30,HOLD
1,9158.50,38982.30,0,38982.30,HOLD
2,9301.32,38982.30,0,38982.30,HOLD
3,9273.23,38982.30,0,38982.30,HOLD
4,9123.22,29859.08,1,38982.30,BUY
5,9496.53,20362.55,2,39355.61,BUY
6,9693.05,20362.55,2,39748.65,HOLD
7,9166.01,29528.56,1,38694.57,SELL
8,8543.35,29528.56,1,38071.91,HOLD
9,7943.16,21585.40,2,37471.72,BUY
10,6882.86,21585.40,2,35351.12,HOLD
11,6631.42,14953.98,3,34848.24,BUY
12,7539.97,14953.98,3,37573.89,HOLD
13,7617.79,22571.77,2,37807.35,SELL
14,8338.08,30909.85,1,39247.93,SELL
15,8215.69,39125.54,0,39125.54,SELL
16,8600.70,39125.54,0,39125.54,HOLD
17,8781.31,39125.54,0,39125.54,HOLD
18,9000.07,39125.54,0,39125.54,HOLD
19,9183.25,39125.54,0,39125.54,HOLD
20,9144.28,29981.26,1,39125.54,BUY
21,9627.17,20354.09,2,39608.43,BUY
22,9962.58,20354.09,2,40279.25,HOLD
23,9891.81,30245.90,1,40137.71,SELL
24,9842.22,30245.90,1,40088.12,HOLD
25,10048.04,20197.86,2,40293.94,BUY
26,10379.91,30577.77,1,40957.68,SELL
27,10364.39,40942.16,0,40942.16,SELL
28,10407.87,40942.16,0,40942.16,HOLD
29,10412.09,40942.16,0,40942.16,HOLD
30,10963.41,40942.16,0,40942.16,HOLD
31,11007.50,29934.66,1,40942.16,BUY
32,11090.03,18844.63,2,41024.69,BUY
33,11551.01,30395.64,1,41946.65,SELL
34,11361.35,19034.29,2,41756.99,BUY
35,10728.03,8306.26,3,40490.35,BUY
36,10639.95,8306.26,3,40226.11,HOLD
37,10639.98,18946.24,2,40226.20,SELL
38,11033.69,18946.24,2,41013.62,HOLD
39,11476.66,7469.58,3,41899.56,BUY
40,11648.53,19118.11,2,42415.17,SELL
41,11434.86,19118.11,2,41987.83,HOLD
42,10822.57,19118.11,2,40763.25,HOLD
43,11737.13,7380.98,3,42592.37,BUY
44,11715.52,19096.50,2,42527.54,SELL
45,11852.51,19096.50,2,42801.52,HOLD
46,12027.16,31123.66,1,43150.82,SELL
47,12460.55,43584.21,0,43584.21,SELL
48,12432.71,31151.50,1,43584.21,BUY
49,12525.22,18626.28,2,43676.72,BUY
50,12821.96,31448.24,1,44270.20,SELL
51,12649.99,31448.24,1,44098.23,HOLD
52,13051.07,44499.31,0,44499.31,SELL
53,13454.08,31045.23,1,44499.31,BUY
54,13316.52,17728.71,2,44361.75,BUY
55,13631.62,17728.71,2,44991.95,HOLD
56,13916.84,3811.87,3,45562.39,BUY
57,13842.60,3811.87,3,45339.67,HOLD
58,13024.53,16836.40,2,42885.46,SELL
59,12397.05,29233.45,1,41630.50,SELL
60,13158.72,16074.73,2,42392.17,BUY
61,13039.45,3035.28,3,42153.63,BUY
62,12878.72,3035.28,3,41671.44,HOLD
63,13582.75,3035.28,3,43783.53,HOLD
64,13783.95,16819.23,2,44387.13,SELL
65,13842.57,2976.66,3,44504.37,BUY
66,14019.50,2976.66,3,45035.16,HOLD
67,13881.51,16858.17,2,44621.19,SELL
68,13401.75,3456.42,3,43661.67,BUY
69,13265.40,3456.42,3,43252.62,HOLD
70,13551.01,3456.42,3,44109.45,HOLD
71,13678.76,17135.18,2,44492.70,SELL
72,13831.98,17135.18,2,44799.14,HOLD
73,14052.16,31187.34,1,45239.50,SELL
74,14121.00,45308.34,0,45308.34,SELL
75,14471.38,45308.34,0,45308.34,HOLD
76,14580.79,45308.34,0,45308.34,HOLD
77,14632.95,30675.39,1,45308.34,BUY
78,14498.65,45174.04,0,45174.04,SELL
79,14645.63,45174.04,0,45174.04,HOLD
80,14734.12,45174.04,0,45174.04,HOLD
81,14692.41,30481.63,1,45174.04,BUY
82,14516.30,15965.33,2,44997.93,BUY
83,15011.58,953.75,3,45988.49,BUY
84,15302.11,953.75,3,46860.08,HOLD
85,15245.17,953.75,3,46689.26,HOLD
86,15047.14,953.75,3,46095.17,HOLD
87,14932.51,15886.26,2,45751.28,SELL
88,14444.30,1441.96,3,44774.86,BUY
89,14615.14,1441.96,3,45287.38,HOLD
90,14699.52,1441.96,3,45540.52,HOLD
91,15094.14,1441.96,3,46724.38,HOLD
92,15290.31,1441.96,3,47312.89,HOLD
93,15827.66,1441.96,3,48924.94,HOLD
94,15695.77,1441.96,3,48529.27,HOLD
95,15848.83,1441.96,3,48988.45,HOLD
96,15456.09,1441.96,3,47810.23,HOLD
97,14931.06,16373.02,2,46235.14,SELL
98,15477.85,31850.87,1,47328.72,SELL
99,14960.37,16890.50,2,46811.24,BUY
100,15696.83,16890.50,2,48284.16,HOLD
101,15644.09,1246.41,3,48178.68,BUY
102,14530.23,1246.41,3,44837.10,HOLD
103,14482.94,1246.41,3,44695.23,HOLD
104,13414.14,1246.41,3,41488.83,HOLD
105,14070.77,1246.41,3,43458.72,HOLD
106,13934.78,1246.41,3,43050.75,HOLD
107,13976.29,1246.41,3,43175.28,HOLD
108,13032.17,1246.41,3,40342.92,HOLD
109,13493.91,1246.41,3,41728.14,HOLD
