DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,28372.27,1,37348.70,BUY
1,9164.66,28372.27,1,37536.93,HOLD
2,9346.81,37719.08,0,37719.08,SELL
3,9088.04,37719.08,0,37719.08,HOLD
4,9188.55,37719.08,0,37719.08,HOLD
5,9493.63,37719.08,0,37719.08,HOLD
6,9675.80,28043.28,1,37719.08,BUY
7,8940.49,36983.77,0,36983.77,SELL
8,8602.89,28380.88,1,36983.77,BUY
9,7930.43,36311.31,0,36311.31,SELL
10,6828.91,36311.31,0,36311.31,HOLD
11,7169.86,36311.31,0,36311.31,HOLD
12,7642.86,36311.31,0,36311.31,HOLD
13,7881.22,36311.31,0,36311.31,HOLD
14,8308.79,28002.52,1,36311.31,BUY
15,8404.54,19597.98,2,36407.06,BUY
16,8765.01,19597.98,2,37128.00,HOLD
17,8819.37,19597.98,2,37236.72,HOLD
18,8752.68,28350.66,1,37103.34,SELL
19,9304.20,19046.46,2,37654.86,BUY
20,9345.28,9701.18,3,37737.02,BUY
21,9560.41,9701.18,3,38382.41,HOLD
22,9491.31,9701.18,3,38175.11,HOLD
23,9885.66,9701.18,3,39358.16,HOLD
24,9810.47,9701.18,3,39132.59,HOLD
25,10194.06,9701.18,3,40283.36,HOLD
26,10447.01,9701.18,3,41042.21,HOLD
27,10421.20,9701.18,3,40964.78,HOLD
28,10217.31,9701.18,3,40353.11,HOLD
29,10557.70,9701.18,3,41374.28,HOLD
30,10920.37,9701.18,3,42462.29,HOLD
31,10972.06,20673.24,2,42617.36,SELL
32,11245.44,31918.68,1,43164.12,SELL
33,11634.77,20283.91,2,43553.45,BUY
34,10875.87,31159.78,1,42035.65,SELL
35,10982.26,20177.52,2,42142.04,BUY
36,10519.49,9658.03,3,41216.50,BUY
37,11019.14,20677.17,2,42715.45,SELL
38,11162.52,20677.17,2,43002.21,HOLD
39,11704.13,8973.04,3,44085.43,BUY
40,11454.57,8973.04,3,43336.75,HOLD
41,11221.06,20194.10,2,42636.22,SELL
42,10830.94,20194.10,2,41855.98,HOLD
43,11703.49,31897.59,1,43601.08,SELL
44,11814.89,31897.59,1,43712.48,HOLD
45,11796.53,43694.12,0,43694.12,SELL
46,12263.93,31430.19,1,43694.12,BUY
47,12453.21,43883.40,0,43883.40,SELL
48,12465.42,43883.40,0,43883.40,HOLD
49,12695.31,43883.40,0,43883.40,HOLD
50,12857.76,31025.64,1,43883.40,BUY
51,12867.34,43892.98,0,43892.98,SELL
52,13098.41,43892.98,0,43892.98,HOLD
53,13463.66,43892.98,0,43892.98,HOLD
54,12985.05,43892.98,0,43892.98,HOLD
55,13761.66,30131.32,1,43892.98,BUY
56,13937.71,16193.61,2,44069.03,BUY
57,13530.96,16193.61,2,43255.53,HOLD
58,13362.66,16193.61,2,42918.93,HOLD
59,12599.23,16193.61,2,41392.07,HOLD
60,13272.50,16193.61,2,42738.61,HOLD
61,13278.78,2914.83,3,42751.17,BUY
62,12968.16,2914.83,3,41819.31,HOLD
63,13674.28,2914.83,3,43937.67,HOLD
64,13902.45,16817.28,2,44622.18,SELL
65,13698.67,3118.61,3,44214.62,BUY
66,14064.28,3118.61,3,45311.45,HOLD
67,13485.59,3118.61,3,43575.38,HOLD
68,13107.67,3118.61,3,42441.62,HOLD
69,13299.92,16418.53,2,43018.37,SELL
70,13631.80,16418.53,2,43682.13,HOLD
71,13689.74,30108.27,1,43798.01,SELL
72,13906.45,16201.82,2,44014.72,BUY
73,13903.73,2298.09,3,44009.28,BUY
74,14246.30,16544.39,2,45036.99,SELL
75,14478.06,16544.39,2,45500.51,HOLD
76,14371.59,16544.39,2,45287.57,HOLD
77,14451.80,30996.19,1,45447.99,SELL
78,14617.87,30996.19,1,45614.06,HOLD
79,14761.38,30996.19,1,45757.57,HOLD
80,14776.03,45772.22,0,45772.22,SELL
81,14698.94,31073.28,1,45772.22,BUY
82,14423.16,31073.28,1,45496.44,HOLD
83,14939.56,16133.72,2,46012.84,BUY
84,15285.35,31419.07,1,46704.42,SELL
85,15111.31,16307.76,2,46530.38,BUY
86,14998.73,31306.49,1,46305.22,SELL
87,14946.57,16359.92,2,46253.06,BUY
88,14324.01,30683.93,1,45007.94,SELL
89,14569.68,45253.61,0,45253.61,SELL
90,14847.97,45253.61,0,45253.61,HOLD
91,15021.02,45253.61,0,45253.61,HOLD
92,15323.29,29930.32,1,45253.61,BUY
93,15900.78,14029.54,2,45831.10,BUY
94,15705.38,14029.54,2,45440.30,HOLD
95,16017.23,14029.54,2,46064.00,HOLD
96,15644.61,14029.54,2,45318.76,HOLD
97,14931.61,14029.54,2,43892.76,HOLD
98,15408.25,14029.54,2,44846.04,HOLD
99,14860.04,14029.54,2,43749.62,HOLD
100,15757.07,14029.54,2,45543.68,HOLD
101,15512.41,14029.54,2,45054.36,HOLD
102,14837.64,14029.54,2,43704.82,HOLD
103,14331.65,14029.54,2,42692.84,HOLD
104,13392.19,637.35,3,40813.92,BUY
105,14264.65,14902.00,2,43431.30,SELL
106,14330.87,571.13,3,43563.74,BUY
107,13931.99,571.13,3,42367.10,HOLD
108,12587.88,571.13,3,38334.77,HOLD
109,13472.64,571.13,3,40989.05,HOLD
110,12946.28,571.13,3,39409.97,HOLD
111,13317.14,13888.27,2,40522.55,SELL
112,13897.20,27785.47,1,41682.67,SELL
113,14217.73,42003.20,0,42003.20,SELL
114,13689.23,42003.20,0,42003.20,HOLD
115,13345.22,28657.98,1,42003.20,BUY
116,12828.02,15829.96,2,41486.00,BUY
117,12315.74,15829.96,2,40461.44,HOLD
118,11990.15,27820.11,1,39810.26,SELL
119,11510.25,16309.86,2,39330.36,BUY
120,11035.69,16309.86,2,38381.24,HOLD
121,11856.82,16309.86,2,40023.50,HOLD
122,12004.20,16309.86,2,40318.26,HOLD
123,10775.14,16309.86,2,37860.14,HOLD
124,10974.05,27283.91,1,38257.96,SELL
125,11177.68,38461.59,0,38461.59,SELL
126,11250.32,27211.27,1,38461.59,BUY
127,11031.27,16180.00,2,38242.54,BUY
128,11703.36,4476.64,3,39586.72,BUY
129,11718.38,16195.02,2,39631.78,SELL
130,12425.21,28620.23,1,41045.44,SELL
131,12698.61,28620.23,1,41318.84,HOLD
132,12863.01,41483.24,0,41483.24,SELL
133,12350.16,41483.24,0,41483.24,HOLD
134,11814.17,29669.07,1,41483.24,BUY
135,11660.53,41329.60,0,41329.60,SELL
136,11497.11,41329.60,0,41329.60,HOLD
137,11024.64,41329.60,0,41329.60,HOLD
138,10623.22,30706.38,1,41329.60,BUY
139,11051.27,30706.38,1,41757.65,HOLD
140,10088.83,40795.21,0,40795.21,SELL
141,10574.55,40795.21,0,40795.21,HOLD
142,10780.50,30014.71,1,40795.21,BUY
143,10319.54,30014.71,1,40334.25,HOLD
144,10779.95,30014.71,1,40794.66,HOLD
145,11006.21,19008.50,2,41020.92,BUY
146,11206.38,19008.50,2,41421.26,HOLD
147,11296.72,19008.50,2,41601.94,HOLD
148,10999.26,8009.24,3,41007.02,BUY
149,10642.10,18651.34,2,39935.54,SELL
150,10361.82,18651.34,2,39374.98,HOLD
151,10309.16,28960.50,1,39269.66,SELL
152,10589.59,39550.09,0,39550.09,SELL
153,10952.05,39550.09,0,39550.09,HOLD
154,11069.17,28480.92,1,39550.09,BUY
155,11500.33,16980.59,2,39981.25,BUY
156,11890.09,28870.68,1,40760.77,SELL
157,11876.82,16993.86,2,40747.50,BUY
158,11432.58,16993.86,2,39859.02,HOLD
159,11273.61,28267.47,1,39541.08,SELL
160,11319.98,16947.49,2,39587.45,BUY
161,11365.49,16947.49,2,39678.47,HOLD
162,11684.52,28632.01,1,40316.53,SELL
163,11953.37,16678.64,2,40585.38,BUY
164,11898.36,4780.28,3,40475.36,BUY
165,12026.55,4780.28,3,40859.93,HOLD
166,11986.82,4780.28,3,40740.74,HOLD
167,12082.57,16862.85,2,41027.99,SELL
168,12065.72,4797.13,3,40994.29,BUY
169,12209.58,4797.13,3,41425.87,HOLD
170,12624.06,4797.13,3,42669.31,HOLD
171,12729.74,4797.13,3,42986.35,HOLD
172,13194.95,17992.08,2,44381.98,SELL
173,13302.58,31294.66,1,44597.24,SELL
174,13561.84,31294.66,1,44856.50,HOLD
175,13366.97,31294.66,1,44661.63,HOLD
176,13764.25,17530.41,2,45058.91,BUY
177,13842.13,3688.28,3,45214.67,BUY
178,14317.09,3688.28,3,46639.55,HOLD
179,14041.95,3688.28,3,45814.13,HOLD
180,13914.81,17603.09,2,45432.71,SELL
181,13698.39,3904.70,3,44999.87,BUY
182,13473.03,3904.70,3,44323.79,HOLD
183,13532.43,17437.13,2,44501.99,SELL
184,13924.20,17437.13,2,45285.53,HOLD
185,13642.47,17437.13,2,44722.07,HOLD
186,13810.66,3626.47,3,45058.45,BUY
187,13222.56,3626.47,3,43294.15,HOLD
188,13025.11,16651.58,2,42701.80,SELL
189,13087.57,16651.58,2,42826.72,HOLD
190,13491.56,30143.14,1,43634.70,SELL
191,13157.33,16985.81,2,43300.47,BUY
192,12543.86,16985.81,2,42073.53,HOLD
193,13177.64,3808.17,3,43341.09,BUY
194,13506.02,3808.17,3,44326.23,HOLD
195,14033.79,3808.17,3,45909.54,HOLD
196,14214.13,3808.17,3,46450.56,HOLD
197,14135.00,3808.17,3,46213.17,HOLD
