DAY,Price,Cash,Shares,PortfolioValue,Action
0,8976.43,37348.70,0,37348.70,HOLD
1,9164.66,37348.70,0,37348.70,HOLD
2,9346.81,28001.89,1,37348.70,BUY
3,9088.04,18913.85,2,37089.93,BUY
4,9188.55,18913.85,2,37290.95,HOLD
5,9493.63,28407.48,1,37901.11,SELL
6,9675.80,28407.48,1,38083.28,HOLD
7,8940.49,37347.97,0,37347.97,SELL
8,8602.89,28745.08,1,37347.97,BUY
9,7930.43,20814.65,2,36675.51,BUY
10,6828.91,20814.65,2,34472.47,HOLD
11,7169.86,27984.51,1,35154.37,SELL
12,7642.86,35627.37,0,35627.37,SELL
13,7881.22,27746.15,1,35627.37,BUY
14,8308.79,19437.36,2,36054.94,BUY
15,8404.54,19437.36,2,36246.44,HOLD
16,8765.01,19437.36,2,36967.38,HOLD
17,8819.37,28256.73,1,37076.10,SELL
18,8752.68,37009.41,0,37009.41,SELL
19,9304.20,37009.41,0,37009.41,HOLD
20,9345.28,37009.41,0,37009.41,HOLD
21,9560.41,37009.41,0,37009.41,HOLD
22,9491.31,37009.41,0,37009.41,HOLD
23,9885.66,37009.41,0,37009.41,HOLD
24,9810.47,27198.94,1,37009.41,BUY
25,10194.06,27198.94,1,37393.00,HOLD
26,10447.01,37645.95,0,37645.95,SELL
27,10421.20,27224.75,1,37645.95,BUY
28,10217.31,17007.44,2,37442.06,BUY
29,10557.70,6449.74,3,38122.84,BUY
30,10920.37,17370.11,2,39210.85,SELL
31,10972.06,28342.17,1,39314.23,SELL
32,11245.44,39587.61,0,39587.61,SELL
33,11634.77,39587.61,0,39587.61,HOLD
34,10875.87,39587.61,0,39587.61,HOLD
35,10982.26,39587.61,0,39587.61,HOLD
36,10519.49,39587.61,0,39587.61,HOLD
37,11019.14,39587.61,0,39587.61,HOLD
38,11162.52,39587.61,0,39587.61,HOLD
39,11704.13,39587.61,0,39587.61,HOLD
40,11454.57,39587.61,0,39587.61,HOLD
41,11221.06,39587.61,0,39587.61,HOLD
42,10830.94,39587.61,0,39587.61,HOLD
43,11703.49,27884.12,1,39587.61,BUY
44,11814.89,16069.23,2,39699.01,BUY
45,11796.53,4272.70,3,39662.29,BUY
46,12263.93,4272.70,3,41064.49,HOLD
47,12453.21,4272.70,3,41632.33,HOLD
48,12465.42,4272.70,3,41668.96,HOLD
49,12695.31,16968.01,2,42358.63,SELL
50,12857.76,29825.77,1,42683.53,SELL
51,12867.34,16958.43,2,42693.11,BUY
52,13098.41,16958.43,2,43155.25,HOLD
53,13463.66,16958.43,2,43885.75,HOLD
54,12985.05,3973.38,3,42928.53,BUY
55,13761.66,17735.04,2,45258.36,SELL
56,13937.71,31672.75,1,45610.46,SELL
57,13530.96,45203.71,0,45203.71,SELL
58,13362.66,45203.71,0,45203.71,HOLD
59,12599.23,32604.48,1,45203.71,BUY
60,13272.50,32604.48,1,45876.98,HOLD
61,13278.78,45883.26,0,45883.26,SELL
62,12968.16,45883.26,0,45883.26,HOLD
63,13674.28,45883.26,0,45883.26,HOLD
64,13902.45,45883.26,0,45883.26,HOLD
65,13698.67,32184.59,1,45883.26,BUY
66,14064.28,18120.31,2,46248.87,BUY
67,13485.59,18120.31,2,45091.49,HOLD
68,13107.67,18120.31,2,44335.65,HOLD
69,13299.92,4820.39,3,44720.15,BUY
